Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Flames,CAN,48,70,89,83,72,83,79,74,1,935000
Pat Quinn,2,Coyotes,CAN,66,90,71,83,78,99,80,54,3,2000000
Andy Murray,3,Oilers,CAN,50,78,84,78,73,85,78,70,2,1575000
Barry Trotz,4,Red Wings,CAN,46,85,85,83,91,88,90,78,4,2250000
Farm Coach 1,5,,USA,50,25,25,25,25,25,25,25,1,5000000
Bob Gainey,6,,CAN,56,79,72,76,78,92,75,58,1,750000
Bob Hartley,7,Stars,CAN,49,86,69,74,80,83,81,88,2,1500000
Mark French,8,Hershey,CAN,38,68,58,69,60,60,66,75,3,650000
Brad Shaw,9,Albany,CAN,45,80,66,67,83,59,82,68,1,500000
Brian Sutter,10,Manitoba,CAN,53,66,77,68,66,92,83,80,1,1000000
Bruce Boudreau,11,Bruins,CAN,54,81,77,93,89,87,79,62,3,1400000
Bruce Cassidy,12,,CAN,44,66,71,68,66,72,80,98,3,500000
Bryan Murray,13,Toronto,CAN,67,81,73,68,71,99,78,52,1,935000
Bryan Trottier,14,,CAN,53,66,67,69,64,79,72,80,3,450000
Claude Julien,15,Canadiens,CAN,49,88,92,90,89,86,80,72,4,2750000
Claude Noel,16,,CAN,54,71,55,76,70,69,71,76,0,0
Craig Hartsburg,17,Binghamton,CAN,50,66,68,69,66,80,84,86,3,1000000
Craig MacTavish,18,Syracuse,CAN,51,67,74,78,72,86,77,68,3,1000000
Curt Fraser,19,Islanders,USA,51,93,79,61,64,86,77,68,1,1000000
Dan Marshall,20,,CAN,43,74,64,56,65,85,58,67,0,0
Darryl Sutter,21,Avalanche,CAN,51,88,84,71,78,86,85,84,1,980000
Dave Allison,22,,CAN,50,69,58,53,66,58,83,69,1,650000
Dave Baseggio,23,,CAN,41,50,71,72,56,51,72,65,2,400000
Dave Cameron,24,,CAN,51,75,50,53,78,63,68,67,3,650000
Dave King,25,Chicago,CAN,62,62,76,64,65,92,70,62,1,675000
Dave Lewis,26,,CAN,56,66,73,71,68,90,78,71,1,2300000
Dave Tippett,27,Kings,CAN,48,89,78,81,81,84,84,76,1,2000000
Don Hay,28,,CAN,55,66,69,66,66,68,69,76,1,850000
Don Lever,29,,CAN,57,58,73,71,79,92,86,64,1,650000
Duane Sutter,30,San Ant.,CAN,49,66,70,70,66,81,85,71,1,850000
Gerard Gallant,31,,CAN,46,69,70,70,77,82,86,94,1,1000000
Glen Hanlon,32,,CAN,52,76,71,66,70,88,83,82,4,850000
Greg Gilbert,33,,CAN,47,67,66,69,69,82,79,76,1,450000
Greg Ireland,34,,CAN,43,84,62,66,83,76,63,72,2,700000
Guy Carbonneau,35,,CAN,49,70,73,68,70,86,82,72,2,1250000
Guy Charron,36,,CAN,60,70,70,70,70,95,73,50,1,800000
Jacques Martin,38,Blue Jackets,CAN,57,69,81,79,78,90,80,56,2,2500000
Jim Schoenfeld,39,,CAN,57,66,70,70,66,89,81,72,1,850000
Joel Quenneville,40,Devils,CAN,51,75,88,89,80,86,79,68,3,950000
John Anderson,41,Milwaukee,CAN,51,70,70,87,71,86,77,68,3,650000
John Torchetti,42,Norfolk,USA,44,70,70,70,70,79,81,82,2,750000
John Tortorella,43,Lightning,USA,51,95,91,67,86,86,77,68,4,2250000
Ken Hitchcock,44,Thrashers,CAN,58,90,94,78,76,93,74,54,3,3333333
Kevin Constantine,45,,USA,51,74,68,64,70,86,78,68,2,1000000
Farm Coach 3,46,Houston,USA,50,25,25,25,25,25,25,25,1,5000000
Kjell Samuelsson,47,,SWE,51,70,74,56,73,80,77,68,1,1000000
Kurt Kleinendorst,48,,USA,49,70,71,72,76,84,78,72,1,700000
Larry Robinson,49,GrandRapid,CAN,58,68,75,70,66,90,80,70,3,1500000
Lindy Ruff,50,Sabres,CAN,49,76,83,85,86,95,82,72,5,1750000
Lorne Henning,51,,CAN,57,68,71,70,70,92,74,56,0,0
Lou Lamoriello,52,,USA,67,73,81,62,91,99,70,36,1,950000
Marc Crawford,53,Capitals,CAN,48,72,72,74,71,83,79,74,4,4000000
Mark Morris,54,Hamilton,USA,51,64,66,72,65,86,77,68,2,750000
Michel Therrien,55,Rockford,CAN,46,68,71,69,70,81,80,78,1,750000
Mike Babcock,56,Ducks,CAN,46,76,84,94,96,84,82,78,1,850000
Mike Haviland,57,,USA,42,75,72,72,64,77,84,86,2,500000
Mike Keenan,58,,CAN,60,77,76,81,81,95,66,50,0,1000000
Mike Kitchen,59,Hurricanes,CAN,53,72,77,70,74,89,83,80,2,1000000
Mike Sullivan,60,Philly,USA,41,69,66,72,68,72,81,88,2,1000000
Craig Berube,61,Bridgeport,CAN,45,76,69,64,72,65,70,70,3,725000
Pat Conacher,62,,CAN,50,65,70,76,73,78,63,66,0,0
