Name,Number,Team,Country,Age,Weight,Height,Position,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,CK,FG,DI,SK,ST,DU,PH,FO,PA,SC,DF,EX,LD,MO,PO,OV,Pro GP,Pro Shots,Pro G,Pro A,Pro Point,Pro PlusMinus,Pro Pim,Pro Shots Block,Pro Hits,Pro Hit Took,Pro PP,Pro SH,Pro GW,Pro GT,Pro Face Off Won,Pro Face Off Total,Pro Penalty Shots Score,Pro Penalty ShotsTotal,Pro Empty Net Goal,Pro Minutes Played,Pro Hat Trick,Farm GP,Farm Shots,Farm G,Farm A,Farm Point,Farm PlusMinus,Farm Pim,Farm Shots Block,Farm Hits, Farm Hit Took,Farm PP,Farm SH,Farm GW,Farm GT,Farm Face Off Won,Farm Face Off Total,Farm Penalty Shots Score,Farm Penalty ShotsTotal,Farm Empty Net Goal,Farm Minutes Played,Farm Hat Trick,Game in Row with a Goal,Game in Row with a Point,Game in Row without a Goal,Game in Row without a Point
Paul Kariya,1,Blue Jackets,CAN,34,180,70,2,3,False,False,False,False,False,6650000,,0,100,0,2,58,40,86,97,60,87,86,40,87,75,56,84,99,96,35,75,14,28,0,6,6,-2,0,1,4,20,0,0,0,0,4,12,0,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
Kyle Quincey,2,Sharks,CAN,24,207,74,4,1,False,False,False,False,False,550000,,0,100,0,2,83,43,76,74,78,80,80,40,82,69,67,64,59,99,85,70,20,16,2,5,7,-5,40,6,34,19,1,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0
Radim Vrbata,3,Avalanche,CZE,27,190,73,3,3,False,False,False,False,False,2100000,,1,100,0,2,50,50,83,80,70,85,70,41,68,72,65,71,68,42,38,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Schenn,4,Wild,CAN,19,216,74,4,2,True,False,False,False,False,850000,,0,100,0,2,97,64,74,71,83,86,60,40,66,61,76,44,46,65,90,67,4,3,0,1,1,-1,8,1,14,1,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Chris Chelios,5,Blackhawks,USA,47,191,72,4,1,False,False,False,False,True,4000000,,0,100,0,2,62,40,71,71,70,68,60,40,64,61,71,99,99,30,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Ward,6,Bruins,CAN,29,220,73,3,4,False,False,False,False,False,1500000,,0,100,0,2,63,43,82,74,85,83,71,43,70,69,73,48,58,35,5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuck Kobasew,7,Canadiens,CAN,27,192,72,3,3,False,False,False,False,False,2400000,,0,100,0,2,80,48,67,81,71,78,79,42,75,75,64,67,72,46,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Staal,8,Wild,CAN,21,220,76,2,4,False,False,False,False,False,3900000,,0,100,0,2,89,42,80,79,85,92,74,71,74,72,82,61,65,61,50,72,4,6,0,0,0,-5,10,3,11,1,0,0,0,0,3,6,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Jay McClement,9,Ducks,CAN,26,201,73,1,1,False,False,False,False,False,875000,,0,100,0,2,55,42,82,76,75,85,65,88,66,66,79,73,65,73,50,67,7,2,0,0,0,-3,0,0,0,8,0,0,0,0,58,103,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
Jeff Schultz,10,Rangers,CAN,23,221,78,4,1,False,False,False,False,False,800000,,0,100,0,2,64,42,83,69,85,80,61,40,67,60,83,67,59,63,70,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
