Name,Abbre,Morale,Points,GP,W,L,T,OTW,OTL,SOW,SOL,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PP Attemp,PP Goal,PK Attemp,PK GA,PK GF,Shots For,Shots Aga,Shots Block,Shots Period 1,Shots Period 2,Shots Period 3,Shots Period 4,Goals Period 1,Goals Period 2,Goals Period 3,Goals Period 4,Shutouts,Total Player Goal,Total Player Assist,Total Player Point,Total Pim,Total Hits,Face Off Won Offensif Zone,Face Off Won Defensif Zone, Face Off Won Neutral Zone,Face Off Total Offensif Zone,Face Off Total Defensif Zone, Face Off Total Neutral Zone,Total Empty Net Goal
Iowa,IOW,94,141,82,68,10,0,1,2,0,1,500,234,41,36,4,0,0,1,0,0,252,99,684,160,435,89,2,4252,2224,618,1394,1486,1367,8,202,169,128,3,4,500,924,1424,1166,2214,1307,2091,752,2460,3894,1448,0,
Chicago,CHI,0,56,82,22,51,0,1,2,2,4,321,415,41,11,27,0,0,0,0,2,158,216,548,102,627,150,3,2965,3857,1068,989,980,975,42,137,91,90,7,2,321,598,919,1558,2594,1668,1462,667,3420,3029,1414,1,
Providence,PRO,0,53,82,23,53,0,1,3,0,2,294,419,41,13,25,0,0,2,0,1,158,194,525,108,646,164,3,3014,3991,1153,967,953,1079,24,115,95,83,2,0,294,533,827,1731,2570,1877,1528,722,3562,2996,1430,2,
Portland,POR,98,143,82,67,9,0,2,0,1,3,492,236,41,34,4,0,0,0,0,1,245,106,641,184,462,78,3,3900,2384,690,1255,1339,1284,37,203,166,120,6,1,492,893,1385,1137,2172,1374,1941,771,2601,3566,1423,0,
Quad City,QCF,0,46,82,20,58,0,0,1,2,1,273,429,41,12,28,0,0,0,1,0,141,209,493,100,692,172,2,2865,3982,1124,915,920,1024,16,119,84,68,4,0,273,500,773,1692,2653,1677,1389,665,3623,2934,1400,1,
Albany,ALB,0,41,82,12,60,0,3,2,4,1,291,521,41,7,30,0,0,2,0,0,132,266,535,89,640,179,0,2907,4461,1236,972,922,978,50,121,87,76,12,0,291,552,843,1557,2666,1786,1364,708,3834,2891,1502,0,
Rockford,RCK,1,74,82,31,44,0,4,1,1,1,309,386,41,20,17,0,0,1,1,0,179,178,512,112,595,145,2,3288,3859,1022,1099,1119,1046,29,137,98,69,6,2,309,586,895,1379,2599,1693,1498,695,3548,3105,1422,0,
Lake Erie,LEM,29,95,82,41,33,0,4,2,1,1,373,352,41,20,16,0,0,1,1,1,204,176,577,143,562,118,3,3561,3360,950,1065,1216,1249,37,133,120,115,6,1,373,675,1048,1446,2486,1767,1775,786,3352,3351,1437,0,
Syracuse,SYR,67,122,82,58,20,0,0,1,2,1,441,258,41,32,8,0,0,0,1,0,224,117,634,184,499,101,4,3946,2809,824,1287,1345,1304,19,176,158,105,4,7,441,812,1253,1241,2423,1445,1698,649,3026,3606,1407,0,
Texas,TEX,19,92,82,39,33,0,4,5,0,1,388,333,41,19,17,0,0,4,0,0,200,171,579,139,589,126,3,3520,3465,956,1171,1209,1113,30,169,121,94,4,1,388,691,1079,1527,2574,1730,1707,754,3431,3387,1449,1,
GrandRapid,GRP,0,32,82,10,64,0,1,1,3,3,242,486,41,7,29,0,0,1,1,3,123,230,475,71,692,197,1,2600,4459,1267,835,847,900,43,94,79,65,11,0,242,460,702,1741,2625,1824,1311,679,3848,2674,1458,1,
Springfield,SPF,61,113,82,49,25,0,2,1,5,0,396,313,41,28,8,0,0,0,4,0,207,137,619,180,550,107,7,3671,3164,897,1172,1198,1279,37,171,124,94,9,1,396,713,1109,1420,2357,1611,1811,768,3187,3447,1390,1,
Rochester,ROC,32,102,82,46,28,0,1,3,1,3,455,370,41,28,12,0,0,1,0,0,230,166,636,157,612,157,10,4060,2983,851,1409,1320,1314,31,201,132,120,5,0,455,850,1305,1621,2734,1422,1772,731,2955,3760,1535,0,
Manchester,MAN,22,90,82,40,36,0,3,2,1,0,393,353,41,25,12,0,0,1,1,0,210,166,566,162,570,137,3,3493,3417,978,1207,1165,1110,14,171,118,100,4,1,393,722,1115,1526,2475,1645,1685,713,3310,3292,1464,0,
Houston,HOU,0,30,82,9,65,0,2,1,2,3,250,464,41,4,31,0,0,1,1,2,132,239,498,95,656,192,1,2648,4328,1302,871,883,860,55,92,87,67,8,1,250,472,722,1689,2564,1804,1284,697,3813,2746,1456,0,
Hamilton,HAM,5,45,82,17,56,0,2,5,0,2,287,490,41,7,26,0,0,5,0,2,153,243,498,106,644,164,2,2820,4412,1222,891,964,950,21,114,95,76,3,0,287,544,831,1665,2556,1828,1323,655,3823,2865,1434,1,
Milwaukee,MIL,0,71,82,31,43,0,0,3,1,4,314,384,41,14,24,0,0,2,1,0,160,203,572,116,565,144,4,3074,3688,1119,1061,1010,987,31,127,103,83,3,1,314,573,887,1405,2489,1826,1620,726,3535,3061,1398,0,
Lowell,LOW,7,78,82,34,41,0,2,3,1,1,398,436,41,17,21,0,0,1,0,1,191,216,602,146,569,146,2,3549,3641,1021,1182,1197,1156,20,161,136,98,5,0,398,739,1137,1434,2469,1623,1600,767,3279,3198,1532,0,
Bridgeport,BPT,19,92,82,39,33,0,3,4,1,2,379,376,41,18,19,0,0,1,0,1,175,197,559,139,560,133,3,3576,3382,967,1175,1171,1200,41,157,122,96,5,0,379,672,1051,1462,2421,1617,1823,780,3162,3374,1457,1,
Hartford,HAR,40,107,82,46,25,0,1,4,3,3,461,373,41,25,10,0,0,0,3,3,240,170,646,180,504,128,3,4093,2949,836,1320,1370,1377,44,182,160,115,9,0,461,851,1312,1275,2481,1371,1798,750,2852,3728,1530,3,
Binghamton,BNG,92,135,82,62,14,0,3,0,2,1,498,291,41,32,8,0,0,0,0,1,243,146,699,191,509,95,3,4253,2831,833,1383,1409,1444,30,210,162,121,8,2,498,904,1402,1283,2415,1563,2034,781,2929,3798,1436,0,
Philly,PHL,0,77,82,32,41,0,2,2,2,3,393,431,41,16,17,0,0,1,2,3,199,206,590,149,582,135,6,3583,3683,1037,1183,1165,1219,32,167,123,99,6,1,393,734,1127,1475,2618,1640,1620,698,3369,3320,1504,0,
San Ant.,SAR,7,81,82,37,40,0,2,1,0,2,351,398,41,16,21,0,0,1,0,1,157,206,567,130,577,137,7,3509,3412,982,1167,1155,1174,22,148,115,86,4,0,351,637,988,1478,2288,1568,1727,781,3196,3392,1491,0,
WB/Scrant.,WBS,49,106,82,45,28,0,5,2,2,0,424,308,41,26,12,0,0,1,0,0,226,149,602,147,594,119,4,3758,3225,933,1246,1190,1293,37,158,137,122,9,2,424,767,1191,1512,2612,1618,1791,708,3258,3469,1416,0,
Peoria,PEO,43,103,82,46,30,0,1,1,4,0,394,304,41,24,14,0,0,0,2,0,214,161,614,136,561,118,4,3740,3096,867,1286,1228,1209,31,186,121,82,10,2,394,711,1105,1393,2486,1618,1806,717,3259,3551,1420,1,
Worcester,WOR,75,128,82,59,16,0,3,3,0,1,448,263,41,29,9,0,0,1,0,1,217,125,598,179,512,91,4,4018,2701,803,1329,1336,1340,17,193,146,106,4,2,448,833,1281,1336,2576,1437,1840,674,2923,3686,1427,2,
Norfolk,NOR,89,134,82,61,14,0,3,1,2,1,522,296,41,31,6,0,0,1,1,1,259,142,675,157,493,113,6,4578,2616,783,1526,1503,1529,27,225,164,128,8,5,522,915,1437,1271,2343,1483,2320,850,2706,4025,1488,1,
Toronto,TOR,0,51,82,21,56,0,3,1,1,0,294,442,41,14,25,0,0,0,1,0,163,214,505,87,671,169,2,2889,4236,1204,937,1020,921,13,118,98,74,4,0,294,538,832,1716,2605,1914,1368,717,3830,2870,1445,2,
Manitoba,MAN,23,95,82,43,32,0,1,3,1,2,332,336,41,23,15,0,0,2,0,1,170,167,586,133,583,115,6,3369,3448,954,1078,1131,1156,12,122,114,94,3,5,332,601,933,1436,2508,1738,1742,679,3401,3361,1364,0,
Hershey,HER,2,37,82,12,62,0,3,3,2,0,284,500,41,9,28,0,0,1,1,0,166,254,534,100,618,163,2,2869,4305,1217,996,932,921,27,120,96,63,6,0,284,534,818,1488,2758,1681,1339,710,3730,2846,1523,0,
