Name,Number,Team,Country,Age,Weight,Height,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,SK,DU,ST,SZ,AG,RB,SC,HS,RT,EX,LD,MO,PO,OV,Pro GP,Pro Minutes Played,Pro W,Pro L,Pro OTL,Pro Shutouts,Pro GA,Pro SA,Pro PIM,Pro A,Pro PenalityShots Shots, Pro PenalityShots Goals,Pro Empty Net Goal,Farm GP,Farm Minutes Played,Farm W,Farm L,Farm OTL,Farm Shutouts,Farm GA,Farm SA,Farm PIM,Farm A,Farm PenalityShots Shots, Farm PenalityShots Goals,Farm Empty Net Goal
Jonas Gustavsson,1,Blackhawks,SWE,25,180,75,3,False,False,False,False,False,5000000,,0,100,0,0,85,67,64,77,82,84,84,71,82,64,62,30,50,65,23,1086,4,15,0,0,59,543,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ondrej Pavelec,2,Sabres,CZE,21,200,74,2,True,False,False,False,False,750000,,0,100,0,2,73,60,75,82,72,73,74,69,72,62,57,99,63,60,14,803,8,4,1,0,35,351,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolai Khabibulin,3,Wild,RUS,36,209,73,1,False,False,False,False,False,7500000,,0,100,0,2,90,86,79,80,90,92,92,92,90,88,85,28,89,76,67,3578,33,23,4,4,186,1529,51,2,22,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Emery,4,Flyers,CAN,27,196,74,2,False,False,False,False,False,1750000,,0,100,0,2,84,74,78,79,82,85,85,83,85,72,61,99,50,68,14,627,6,3,0,0,27,243,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Miikka Kiprusoff,5,Ducks,FIN,32,184,73,5,False,False,False,False,False,7900000,,0,100,0,2,91,99,64,80,87,90,91,92,92,88,82,29,50,75,69,3904,39,23,3,1,183,1740,8,4,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Salak,6,Panthers,CZK,22,180,73,3,True,False,False,False,False,750000,,1,99,0,2,60,50,65,75,60,60,60,57,60,45,45,30,50,50,4,126,0,1,1,0,11,61,0,0,3,1,0,51,2525,30,9,1,0,168,1453,2,2,2,1,0
Jonathan Bernier,7,Blues,CAN,21,184,72,3,False,False,False,False,False,1150000,,3,100,0,0,70,70,64,78,70,70,70,62,70,62,60,42,80,58,1,12,0,1,0,0,2,6,0,0,0,0,0,58,3224,35,19,1,2,183,2045,4,5,11,3,1
Curtis McElhinney,8,Flyers,CAN,25,193,74,2,True,False,False,False,False,500000,,0,100,0,0,68,60,71,82,65,71,71,66,70,61,66,30,40,58,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1179,6,12,2,0,65,889,21,1,7,2,0
Kari Lehtonen,9,Sharks,FIN,26,215,76,1,False,False,False,False,False,2000000,,0,100,0,2,89,93,82,86,88,88,88,91,91,70,74,90,50,73,66,3865,39,22,4,4,172,1563,2,2,23,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Biron,10,Avalanche,CAN,32,180,75,3,False,False,False,False,False,4850000,,0,100,0,2,86,86,60,84,85,86,86,94,88,76,83,33,30,71,57,3225,22,25,7,5,151,1439,6,1,20,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Ellis,11,Thrashers,CAN,28,188,72,2,False,False,False,False,False,2000000,,0,100,0,2,82,74,68,78,81,80,83,84,81,65,73,89,40,66,25,1108,9,7,2,1,60,510,0,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Miller,12,Sabres,USA,28,172,74,1,False,False,False,False,False,2575000,,0,100,0,2,94,95,71,82,93,95,95,97,96,75,72,97,82,76,70,4181,48,14,7,5,176,1837,17,2,39,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Ersberg,13,Hurricanes,SWE,27,168,72,1,False,False,False,False,False,850000,,0,100,0,2,84,71,48,78,84,81,81,80,83,58,58,83,25,64,7,145,1,1,0,0,3,47,0,0,0,0,0,1,60,1,0,0,0,2,29,0,0,0,0,0
Jonathan Quick,14,Canucks,USA,23,216,73,2,True,False,False,False,False,500000,,0,100,0,2,91,86,84,82,91,90,92,91,92,58,58,55,59,72,64,3535,31,21,6,4,163,1607,6,2,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Drouin-Deslauriers,15,Predators,CAN,25,200,76,2,True,False,False,False,False,750000,,0,100,0,2,82,80,75,87,83,82,84,83,83,47,47,11,30,65,57,2609,14,22,4,0,154,1230,4,1,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Roloson,16,Coyotes,CAN,40,180,73,2,False,False,True,False,False,4000000,,0,100,0,2,87,90,60,80,86,88,88,93,87,84,89,25,1,72,80,4254,37,28,8,5,203,1946,2,3,46,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Mason,17,Kings,CAN,21,212,76,2,True,False,False,False,False,750000,,0,98,0,2,93,93,81,86,93,93,93,89,92,60,60,29,47,73,76,4365,43,22,8,6,204,1936,6,2,27,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Johnson,18,Canucks,USA,32,199,75,1,False,False,False,False,False,1100000,,1,100,0,0,77,68,74,84,77,77,77,81,77,72,68,32,5,64,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3359,39,11,4,5,186,2019,4,4,7,3,0
Ben Bishop,19,Kings,USA,22,205,79,2,True,False,False,False,False,850000,,4,100,0,0,61,54,77,92,61,61,61,60,61,47,47,62,60,53,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2104,23,11,1,1,123,1311,0,3,3,0,0
Peter Mannino,20,Hurricanes,USA,25,195,72,2,True,False,False,False,False,550000,,1,100,0,0,58,55,72,78,58,58,58,63,58,68,63,31,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,15,783,3,11,0,0,82,744,2,1,2,0,0
Tim Thomas,21,Hurricanes,USA,35,201,71,3,False,False,False,False,False,5250000,,0,100,0,2,93,94,75,76,95,95,95,98,96,82,81,71,80,77,82,4835,52,23,5,7,181,1763,0,7,43,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Crawford,22,Stars,CAN,25,188,74,4,False,False,False,False,False,900000,,3,100,0,0,70,69,68,82,70,70,70,65,70,65,62,33,55,59,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3669,33,25,5,3,229,2570,10,5,9,3,1
Johan Backlund,23,Islanders,SWE,28,198,74,3,False,False,False,False,False,805000,,0,100,0,0,66,61,68,81,64,65,64,66,67,66,46,50,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simeon Varlamov,24,Rangers,CAN,21,183,71,2,False,False,False,False,False,850000,,0,100,0,2,84,66,63,76,82,84,84,71,82,56,62,38,47,64,40,2052,12,16,4,1,110,1015,21,1,19,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Leighton,25,Sharks,CAN,28,186,75,2,False,False,False,False,False,800000,,1,100,0,0,71,46,66,84,71,71,71,40,71,68,64,45,25,57,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4129,52,14,2,2,218,2221,4,3,0,0,2
Peter Budaj,27,Ducks,SVK,26,200,73,2,False,False,False,False,False,1500000,,0,100,0,2,81,87,75,80,82,82,81,85,83,69,68,64,69,68,26,1021,9,4,1,1,38,429,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
John Curry,28,Blackhawks,USA,25,185,71,2,False,False,False,False,False,775000,,0,100,0,0,69,70,65,76,69,69,69,71,69,52,52,20,35,57,1,35,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Raycroft,29,Red Wings,CAN,29,185,72,1,False,False,False,False,False,2300500,,0,100,0,2,71,72,65,78,71,71,71,77,71,70,74,38,20,61,17,457,3,3,1,1,24,249,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Munce,30,Kings,CAN,24,185,74,1,False,False,False,False,False,1100000,,0,100,0,0,53,51,65,82,53,53,53,56,53,63,64,60,42,49,0,0,0,0,0,0,0,0,0,0,0,0,0,11,420,1,3,1,0,26,321,0,0,0,0,0
Mark Dekanich,31,Avalanche,CAN,23,192,72,1,False,False,False,False,False,850000,,5,100,0,0,66,63,71,78,66,66,66,65,66,32,32,27,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3362,36,19,1,1,235,2295,8,3,3,0,0
Patrick Lalime,32,Rangers,CAN,35,189,75,2,False,False,False,False,False,2300000,,0,100,0,1,73,70,69,84,73,73,73,78,73,76,75,30,76,63,3,59,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Smith,33,Senators,CAN,27,218,76,1,False,False,False,False,False,1950000,,0,100,0,2,90,96,84,86,91,90,90,88,91,66,69,25,66,73,80,3915,35,25,4,5,198,1630,4,5,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niklas Backstrom,34,Stars,FIN,31,189,73,1,False,False,False,False,False,3800000,,0,100,0,2,94,95,69,80,94,95,94,97,94,71,76,34,69,75,72,4022,38,21,7,1,190,1769,2,7,27,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Pogge,36,Blue Jackets,CAN,23,204,75,2,True,False,False,False,False,850000,,1,100,0,2,77,72,74,82,77,77,77,77,77,47,47,66,50,61,4,159,1,0,1,0,4,61,0,0,5,2,0,61,3395,43,10,2,6,157,1902,19,7,10,3,0
Cory Schneider,37,Ducks,USA,23,195,74,2,True,False,False,False,False,850000,,0,100,0,0,67,58,72,82,67,67,67,72,67,47,47,45,70,56,15,461,1,2,1,0,28,222,2,0,0,0,0,21,1214,20,1,0,1,49,550,4,1,0,0,0
Curtis Sanford,38,Maple Leafs,CAN,30,187,70,2,False,False,False,False,False,863155,,0,100,0,2,68,60,67,74,68,68,68,78,68,70,67,70,15,58,11,372,3,0,0,0,21,160,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Manny Legace,39,Flyers,CAN,36,200,70,3,False,False,False,False,True,4250000,,0,100,0,0,80,64,75,74,82,84,82,84,80,88,87,49,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu Garon,40,Canadiens,CAN,31,192,74,2,False,False,False,False,False,2300000,,0,100,0,2,78,64,71,82,77,82,82,81,80,76,78,32,25,67,37,1769,11,18,0,0,99,869,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yann Danis,41,Penguins,CAN,28,181,72,1,False,False,False,False,False,600000,,1,100,0,2,76,72,61,78,76,76,76,87,76,65,69,82,67,64,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3110,43,10,0,1,156,1777,2,2,9,0,1
Marek Schwarz,42,Coyotes,CZE,23,180,72,2,True,False,False,False,False,750000,,1,100,0,0,64,57,60,78,64,64,64,57,64,67,59,37,70,55,1,34,0,0,0,0,3,20,0,0,0,0,0,47,2592,28,13,1,0,161,1493,17,5,0,0,0
Roberto Luongo,44,Panthers,CAN,31,205,75,1,False,False,False,False,False,4526400,,0,100,0,2,97,97,77,84,94,96,96,97,97,79,79,63,74,78,73,4215,42,26,3,4,186,1839,2,1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Andersson,45,Red Wings,USA,28,180,74,1,False,False,False,False,False,800000,,0,100,0,2,91,83,67,82,92,91,91,93,93,60,60,61,74,72,34,1818,14,14,2,2,89,812,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johan Hedberg,46,Sharks,SWE,36,190,72,1,False,False,False,False,False,850000,,0,100,0,2,77,72,70,78,78,80,81,76,79,84,73,99,1,66,16,907,9,5,1,2,34,381,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Seamus Kotyk,47,Sharks,CAN,29,180,71,2,False,False,False,False,False,475000,,1,100,0,0,55,79,55,55,55,55,55,55,55,30,30,70,50,44,0,0,0,0,0,0,0,0,0,0,0,0,0,15,645,9,1,2,0,33,388,4,0,4,2,0
Tobias Stephan,48,Stars,CHE,25,180,74,2,True,False,False,False,False,550000,,0,100,0,0,66,59,60,82,66,66,66,63,66,68,63,33,68,57,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2536,24,15,2,0,162,1687,6,1,0,0,0
