"Name","Number","Team","Country","Age","Weight","Height","Position","Contract","Rookie","Protected","Available for Trade","No Apply Rerate","No Trade","Salary","Injury","Number Of Injury","Condition","Suspension","Status","CK","FG","DI","SK","ST","DU","PH","FO","PA","SC","DF","EX","LD","MO","PO","OV","Pro GP","Pro Shots","Pro G","Pro A","Pro Point","Pro PlusMinus","Pro Pim","Pro Shots Block","Pro Hits","Pro Hit Took","Pro PP","Pro SH","Pro GW","Pro GT","Pro Face Off Won","Pro Face Off Total","Pro Penalty Shots Score","Pro Penalty ShotsTotal","Pro Empty Net Goal","Pro Minutes Played","Pro Hat Trick","Farm GP","Farm Shots","Farm G","Farm A","Farm Point","Farm PlusMinus","Farm Pim","Farm Shots Block","Farm Hits"," Farm Hit Took","Farm PP","Farm SH","Farm GW","Farm GT","Farm Face Off Won","Farm Face Off Total","Farm Penalty Shots Score","Farm Penalty ShotsTotal","Farm Empty Net Goal","Farm Minutes Played","Farm Hat Trick","Game in Row with a Goal","Game in Row with a Point","Game in Row without a Goal","Game in Row without a Point"
"Paul Kariya",1,"Blue Jackets","CAN",34,180,70,2,3,"False","False","False","False","False",6650000,,0,100,0,2,58,40,86,97,60,87,86,40,87,75,56,84,99,65,35,75,35,90,12,15,27,2,8,3,9,57,4,0,2,0,23,60,0,3,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"Kyle Quincey",2,"Sharks","CAN",24,207,74,4,1,"False","False","False","False","False",550000,,0,100,0,2,83,43,76,74,78,80,80,40,82,69,67,64,59,70,85,70,31,25,3,13,16,9,59,27,44,7,2,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Radim Vrbata",3,"Avalanche","CZE",27,190,73,3,3,"False","False","False","False","False",2100000,,1,100,0,2,50,50,83,80,70,85,70,41,68,72,65,71,68,38,25,63,29,32,1,3,4,-11,17,3,20,20,0,0,0,0,11,32,0,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0
"Luke Schenn",4,"Wild","CAN",19,216,74,4,2,"True","False","False","False","False",850000,,0,100,0,2,97,64,74,71,83,86,60,40,66,61,76,44,46,53,90,67,34,13,1,5,6,-7,81,32,93,20,1,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Chris Chelios",5,"Blackhawks","USA",47,191,72,4,1,"False","False","False","False","True",4000000,,0,100,0,2,62,40,71,71,70,68,60,40,64,61,71,99,99,34,1,67,25,14,1,3,4,-12,4,30,11,16,1,0,0,0,0,0,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
"Joel Ward",6,"Bruins","CAN",29,220,73,3,4,"False","False","False","False","False",1500000,,0,100,0,2,63,43,82,74,85,83,71,43,70,69,73,48,58,46,5,66,33,83,6,10,16,-8,4,11,8,34,1,0,1,1,66,181,0,2,0,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"Chuck Kobasew",7,"Ducks","CAN",27,192,72,2,3,"False","False","False","False","False",2400000,,0,100,0,2,80,48,67,81,71,78,79,42,75,75,64,67,72,54,50,70,32,62,7,19,26,10,64,5,51,24,1,0,1,1,20,41,1,2,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"Jordan Staal",8,"Wild","CAN",21,220,76,2,4,"False","False","False","False","False",3900000,,0,100,0,2,89,42,80,79,85,92,74,71,74,72,82,61,65,53,50,72,34,84,9,17,26,2,48,11,99,41,4,0,1,0,41,89,0,1,0,717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"Jay McClement",9,"Ducks","CAN",26,201,73,1,1,"False","False","False","False","False",875000,,0,100,0,2,55,42,82,76,75,85,65,88,66,66,79,73,65,62,50,67,34,42,5,8,13,-5,2,7,2,90,0,0,1,0,359,672,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4
"Jeff Schultz",10,"Ducks","CAN",23,221,78,4,1,"False","False","False","False","False",800000,,0,100,0,2,64,42,83,69,85,80,61,40,67,60,83,67,59,62,70,68,26,12,0,1,1,1,26,19,21,7,0,0,0,0,0,0,0,0,0,320,0,8,28,3,5,8,5,2,11,3,17,3,0,0,0,0,0,0,0,0,190,0,0,0,27,24
