Name,Number,Team,Country,Age,Weight,Height,Position,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,CK,FG,DI,SK,ST,DU,PH,FO,PA,SC,DF,EX,LD,MO,PO,OV,Pro GP,Pro Shots,Pro G,Pro A,Pro Point,Pro PlusMinus,Pro Pim,Pro Shots Block,Pro Hits,Pro Hit Took,Pro PP,Pro SH,Pro GW,Pro GT,Pro Face Off Won,Pro Face Off Total,Pro Penalty Shots Score,Pro Penalty ShotsTotal,Pro Empty Net Goal,Pro Minutes Played,Pro Hat Trick,Farm GP,Farm Shots,Farm G,Farm A,Farm Point,Farm PlusMinus,Farm Pim,Farm Shots Block,Farm Hits, Farm Hit Took,Farm PP,Farm SH,Farm GW,Farm GT,Farm Face Off Won,Farm Face Off Total,Farm Penalty Shots Score,Farm Penalty ShotsTotal,Farm Empty Net Goal,Farm Minutes Played,Farm Hat Trick,Game in Row with a Goal,Game in Row with a Point,Game in Row without a Goal,Game in Row without a Point
Paul Kariya,1,Blue Jackets,CAN,34,180,70,2,3,False,False,False,False,False,6650000,,0,100,0,2,58,40,86,97,60,87,86,40,87,75,56,84,99,85,35,75,82,214,26,42,68,4,20,11,37,119,9,0,3,1,45,119,0,3,0,1465,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0
Kyle Quincey,2,Sharks,CAN,24,207,74,4,1,False,False,False,False,False,550000,,0,100,0,2,83,43,76,74,78,80,80,40,82,69,67,64,59,97,85,70,78,66,7,28,35,15,135,58,110,41,5,0,0,0,0,0,0,0,0,1420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0
Radim Vrbata,3,Avalanche,CZE,27,190,73,3,3,False,False,False,False,False,2100000,,1,100,0,2,50,50,83,80,70,85,70,41,68,72,65,71,68,42,38,66,75,129,10,19,29,-1,60,17,42,61,4,0,2,0,44,105,1,5,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
Luke Schenn,4,Wild,CAN,19,216,74,4,2,True,False,False,False,False,850000,,0,100,0,2,97,64,74,71,83,86,60,40,66,61,76,44,46,60,90,67,82,37,5,14,19,-2,212,62,234,39,2,0,0,0,0,0,0,0,0,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0
Chris Chelios,5,Blackhawks,USA,47,191,72,4,1,False,False,False,False,True,4000000,,0,100,0,2,62,40,71,71,70,68,60,40,64,61,71,99,99,30,1,67,74,47,4,7,11,-36,44,83,51,44,3,0,1,0,14,24,0,0,0,1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Joel Ward,6,Bruins,CAN,29,220,73,3,4,False,False,False,False,False,1500000,,0,100,0,2,63,43,82,74,85,83,71,43,70,69,73,48,58,35,5,66,82,143,9,18,27,-17,18,24,27,72,1,1,2,1,82,228,0,2,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Chuck Kobasew,7,Canadiens,CAN,27,192,72,3,3,False,False,False,False,False,2400000,,0,100,0,2,80,48,67,81,71,78,79,42,75,75,64,67,72,46,50,70,78,131,13,31,44,-1,128,12,126,65,4,0,2,2,35,100,2,3,0,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5
Jordan Staal,8,Wild,CAN,21,220,76,2,4,False,False,False,False,False,3900000,,0,100,0,2,89,42,80,79,85,92,74,71,74,72,82,61,65,56,50,72,82,166,16,31,47,8,118,23,241,75,6,0,3,1,90,175,1,3,0,1594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0
Jay McClement,9,Ducks,CAN,26,201,73,1,1,False,False,False,False,False,875000,,0,100,0,2,55,42,82,76,75,85,65,88,66,66,79,73,65,65,50,67,75,76,9,15,24,2,2,15,7,146,0,0,2,0,690,1272,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10
Jeff Schultz,10,Rangers,CAN,23,221,78,4,1,False,False,False,False,False,800000,,0,100,0,2,64,42,83,69,85,80,61,40,67,60,83,67,59,63,70,68,50,20,1,7,8,-11,28,39,24,26,1,0,0,0,0,0,0,0,0,694,0,31,119,11,29,40,15,8,41,33,34,10,0,1,1,0,0,0,0,0,641,0,0,0,9,3
Gilbert Brule,11,Thrashers,CAN,22,189,70,1,3,False,False,False,False,False,900000,,0,100,0,2,86,45,82,78,67,85,70,55,70,70,59,63,64,46,43,66,67,85,11,12,23,-5,52,9,93,85,4,0,0,1,272,730,0,0,0,1027,0,3,13,0,4,4,1,8,0,7,5,0,0,0,0,20,39,0,1,0,51,0,0,1,8,0
Nate Thompson,12,Flames,USA,25,207,72,1,2,True,False,False,False,False,850000,,0,100,0,0,89,71,61,72,78,69,60,75,61,61,73,54,57,30,55,63,29,10,1,1,2,-6,14,3,23,17,0,0,0,0,104,198,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8
Steve Bernier,13,Devils,CAN,24,225,74,3,4,False,False,False,False,False,2000000,,0,100,0,2,87,46,78,78,87,80,72,41,70,69,62,69,65,32,45,68,74,100,8,18,26,-6,68,16,107,49,4,0,1,0,22,77,0,0,0,1183,0,2,11,0,5,5,7,2,2,3,1,0,0,0,0,5,6,0,0,0,37,0,0,0,5,2
Niclas Wallin,14,Stars,SWE,35,220,75,4,2,False,False,False,False,False,1500000,,0,100,0,2,90,40,76,66,85,74,61,40,65,61,76,77,67,63,55,68,77,33,1,16,17,0,97,76,141,40,0,0,1,0,0,0,0,0,0,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,3
