Name,Position,Country,Rookie,Age,Weight,Height,Contract,Salary,Stats 1,Stats 2,Stats 3,Stats 4,Stats 5,Stats 6,Stats 7,Stats 8,Stats 9,Stats 10,Stats 11,Stats 12,Stats 13,Stats 14
Paul Kariya,2,CAN,N,34,180,70,3,6650000,58,40,86,97,60,87,86,40,87,75,56,84,99,35
Kyle Quincey,4,CAN,N,24,207,74,1,550000,83,43,76,74,78,80,80,40,82,69,67,64,59,85
Radim Vrbata,3,CZE,N,27,190,73,3,2100000,51,50,75,76,70,79,64,41,66,66,61,71,68,25
Luke Schenn,4,CAN,Y,19,216,74,2,850000,97,64,74,71,83,86,60,40,66,61,76,44,46,90
Chris Chelios,4,USA,N,47,191,72,1,4000000,62,40,71,71,70,68,60,40,64,61,71,99,99,1
Joel Ward,3,CAN,N,29,220,73,4,1500000,63,43,82,74,85,83,71,43,70,69,73,48,58,5
Chuck Kobasew,2,CAN,N,27,192,72,3,2400000,80,48,67,81,71,78,79,42,75,75,64,67,72,50
Jordan Staal,2,CAN,N,21,220,76,4,3900000,89,42,80,79,85,92,74,71,74,72,82,61,65,50
Jay McClement,1,CAN,N,26,201,73,1,875000,55,42,82,76,75,85,65,88,66,66,79,73,65,50
Jeff Schultz,4,CAN,N,23,221,78,1,800000,64,42,83,69,85,80,61,40,67,60,83,67,59,70
Gilbert Brule,3,CAN,N,22,189,70,3,900000,79,42,59,77,69,65,64,55,62,65,56,63,64,1
Nate Thompson,1,USA,Y,25,207,72,2,850000,89,71,61,72,78,69,60,75,61,61,73,54,57,55
Steve Bernier,3,CAN,N,24,225,74,4,2000000,87,46,78,78,87,80,72,41,70,69,62,69,65,45
Niclas Wallin,4,SWE,N,35,220,75,2,1500000,90,40,76,66,85,74,61,40,65,61,76,77,67,55
Alex Pietrangelo,4,CAN,Y,19,206,75,2,850000,54,40,84,76,78,76,65,40,65,59,56,44,46,95
Dan Fritsche,1,USA,N,24,204,73,3,1100000,71,42,79,69,77,75,66,61,66,65,60,64,63,1
Darren McCarty,3,CAN,N,37,210,73,3,600000,53,70,40,65,80,61,60,41,58,62,50,88,88,1
Trevor Daley,4,CAN,N,25,207,71,1,1250000,54,44,74,71,78,84,74,40,75,69,80,71,61,50
Dion Phaneuf,4,CAN,N,24,214,75,4,6750000,90,60,73,85,82,97,84,40,83,73,78,70,81,70
Brooks Laich,1,CAN,N,26,210,74,4,2200000,74,43,82,80,80,87,75,74,75,74,74,67,62,70
David Moss,3,USA,N,28,200,75,2,1400000,74,40,79,75,75,79,72,43,71,71,62,63,60,35
Ryan Getzlaf,1,CAN,N,23,221,76,3,5000000,84,48,63,89,85,91,92,78,93,81,68,72,66,35
Paul Stastny,1,CAN,N,23,205,72,4,6250000,55,40,84,88,77,91,82,83,83,74,72,60,62,45
Milan Jurcina,4,SVK,N,25,233,76,1,850000,90,40,72,66,91,78,60,40,65,61,72,74,62,70
Randy Jones,4,CAN,N,27,200,74,2,1500000,55,41,80,79,75,85,60,40,62,62,79,63,64,80
Mika Pyorala,1,FIN,N,28,190,72,2,1050000,61,40,79,70,61,75,65,67,63,60,60,56,58,50
Darren Helm,1,CAN,Y,22,172,71,2,630000,85,40,79,78,52,79,60,76,61,59,66,62,63,50
Patrick Kaleta,3,USA,N,22,195,71,2,625000,96,70,43,68,72,66,64,41,64,63,63,61,57,45
Alexandre Picard,2,CAN,N,24,210,74,3,825000,71,57,86,66,80,76,68,40,70,68,58,64,64,65
Brent Sopel,4,CAN,N,32,211,73,1,3100000,58,40,77,63,80,68,60,40,62,62,73,78,77,1
Jack Hillen,4,USA,Y,24,200,71,2,850000,59,40,81,65,75,76,60,40,65,61,57,57,57,45
Keith Yandle,4,USA,N,23,195,74,2,1300000,59,42,78,80,72,76,78,40,78,69,56,57,62,60
Andrew Ladd,2,CAN,N,24,198,74,1,1500000,79,42,77,79,74,81,80,42,79,71,70,63,65,60
Eric Fehr,3,CAN,N,24,212,76,2,900000,54,40,77,70,81,75,68,40,68,68,63,65,62,35
Mike Green,4,CAN,N,23,208,74,4,5750000,76,40,77,90,79,91,89,40,90,84,77,67,65,70
Brian Lee,4,USA,Y,22,202,74,2,850000,72,43,77,67,76,82,67,40,70,63,70,61,57,80
Colin Fraser,1,CAN,Y,24,188,73,2,500000,59,70,70,71,68,76,64,72,65,63,75,66,64,55
Dany Heatley,3,DEU,N,28,221,76,4,8500000,71,40,72,85,85,93,86,42,81,88,64,79,94,85
Henrik Zetterberg,1,SWE,N,29,195,71,4,7750000,60,40,80,90,72,88,89,87,86,85,76,81,82,65
Jared Ross,1,USA,Y,27,165,69,2,750000,53,40,75,67,45,70,60,51,64,64,58,60,57,60
Ilya Kovalchuk,2,RUS,N,26,230,73,1,7800000,57,45,81,93,90,94,92,42,89,92,56,74,86,45
Brian Gionta,3,USA,N,30,175,67,2,4000000,57,40,81,88,55,84,82,49,81,74,65,77,80,35
Dave Bolland,1,CAN,N,23,181,72,2,750000,64,40,76,84,61,83,80,73,75,72,77,66,68,45
Matt Gilroy,4,USA,N,25,205,74,3,2995000,59,43,84,70,75,76,63,40,65,63,61,45,50,50
