Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,ShootOut,Farm Play,Farm Visitor Team,Farm Visitor Score,Farm Home Team,Farm Home Score,Farm Overtime,Farm ShootOut
1,1,True,Capitals,4,Bruins,2,False,False,True,Hershey,4,Providence,8,False,False
2,1,True,Canadiens,4,Maple Leafs,6,False,False,True,Hamilton,7,Toronto,6,False,False
3,1,True,Sharks,6,Avalanche,1,False,False,True,Worcester,3,Lake Erie,1,False,False
4,1,True,Canucks,2,Flames,3,False,False,True,Manitoba,6,Quad City,2,False,False
5,2,True,Panthers,8,Blackhawks,3,False,False,True,Rochester,5,Rockford,10,False,False
6,2,True,Red Wings,3,Blues,4,True,False,True,GrandRapid,6,Peoria,9,False,False
7,2,True,Flyers,1,Hurricanes,2,True,True,True,Philly,8,Albany,2,False,False
8,2,True,Rangers,3,Penguins,7,False,False,True,Hartford,3,WB/Scrant.,8,False,False
9,3,True,Blackhawks,2,Panthers,5,False,False,True,Rockford,9,Rochester,8,True,False
10,3,True,Canucks,5,Avalanche,4,True,False,True,Manitoba,3,Lake Erie,1,False,False
11,3,True,Blues,0,Red Wings,6,False,False,True,Peoria,7,GrandRapid,2,False,False
12,3,True,Hurricanes,4,Bruins,0,False,False,True,Albany,3,Providence,6,False,False
13,3,True,Canadiens,1,Sabres,7,False,False,True,Hamilton,2,Portland,10,False,False
14,3,True,Flyers,3,Devils,2,True,True,True,Philly,4,Lowell,2,False,False
15,3,True,Penguins,5,Islanders,0,False,False,True,WB/Scrant.,4,Bridgeport,3,False,False
16,3,True,Senators,6,Rangers,3,False,False,True,Binghamton,6,Hartford,5,True,True
17,3,True,Maple Leafs,2,Capitals,1,False,False,True,Toronto,5,Hershey,6,True,False
18,3,True,Lightning,5,Thrashers,6,True,False,True,Norfolk,4,Chicago,6,False,False
19,3,True,Wild,2,Blue Jackets,1,False,False,True,Houston,2,Syracuse,6,False,False
20,3,True,Predators,3,Stars,6,False,False,True,Milwaukee,5,Texas,3,False,False
21,3,True,Flames,5,Oilers,2,False,False,True,Quad City,3,Springfield,5,False,False
22,3,True,Sharks,1,Ducks,3,False,False,True,Worcester,4,Iowa,9,False,False
23,3,True,Coyotes,1,Kings,7,False,False,True,San Ant.,6,Manchester,8,False,False
24,5,True,Rangers,3,Devils,2,False,False,True,Hartford,7,Lowell,6,True,False
25,5,True,Blue Jackets,2,Canucks,1,True,False,True,Syracuse,2,Manitoba,6,False,False
26,6,True,Senators,5,Maple Leafs,8,False,False,True,Binghamton,8,Toronto,6,False,False
27,6,True,Capitals,1,Flyers,6,False,False,True,Hershey,3,Philly,5,False,False
