Name,Abbre,Morale,Points,GP,W,L,T,OTW,OTL,SOW,SOL,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PP Attemp,PP Goal,PK Attemp,PK GA,PK GF,Shots For,Shots Aga,Shots Block,Shots Period 1,Shots Period 2,Shots Period 3,Shots Period 4,Goals Period 1,Goals Period 2,Goals Period 3,Goals Period 4,Shutouts,Total Player Goal,Total Player Assist,Total Player Point,Total Pim,Total Hits,Face Off Won Offensif Zone,Face Off Won Defensif Zone, Face Off Won Neutral Zone,Face Off Total Offensif Zone,Face Off Total Defensif Zone, Face Off Total Neutral Zone,Total Empty Net Goal
Iowa,IOW,53,8,10,4,6,0,0,0,0,0,35,38,5,2,3,0,0,0,0,0,17,20,89,13,63,12,0,492,337,104,166,111,186,29,14,8,12,1,0,35,65,100,190,261,189,265,73,373,497,165,0,
Chicago,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Providence,PRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Portland,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quad City,QCF,0,0,4,0,4,0,0,0,0,0,13,24,2,0,2,0,0,0,0,0,6,12,29,5,31,9,0,143,175,47,64,42,37,0,7,4,2,0,0,13,25,38,100,99,91,92,35,165,172,67,0,
Albany,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rockford,RCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lake Erie,LEM,99,32,21,16,5,0,0,0,0,0,100,67,11,9,2,0,0,0,0,0,55,34,147,39,178,24,0,793,826,248,246,259,279,9,40,28,29,3,1,100,182,282,472,567,486,426,187,936,849,364,0,
Syracuse,SYR,0,4,6,2,4,0,0,0,0,0,23,26,3,1,2,0,0,0,0,0,10,12,41,8,54,10,0,194,325,85,50,71,57,16,7,9,6,1,0,23,43,66,136,195,152,105,54,318,215,105,0,
Texas,TEX,15,4,6,2,4,0,0,0,0,0,31,36,3,2,1,0,0,0,0,0,19,18,53,19,42,10,0,264,284,75,98,82,84,0,17,8,6,0,0,31,58,89,100,159,108,134,64,251,263,117,0,
