Name,Number,Team,Country,Age,Weight,Height,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,SK,DU,ST,SZ,AG,RB,SC,HS,RT,EX,LD,MO,PO,OV,Pro GP,Pro Minutes Played,Pro W,Pro L,Pro OTL,Pro Shutouts,Pro GA,Pro SA,Pro PIM,Pro A,Pro PenalityShots Shots, Pro PenalityShots Goals,Pro Empty Net Goal,Farm GP,Farm Minutes Played,Farm W,Farm L,Farm OTL,Farm Shutouts,Farm GA,Farm SA,Farm PIM,Farm A,Farm PenalityShots Shots, Farm PenalityShots Goals,Farm Empty Net Goal
Jonas Gustavsson,1,Rangers,SWE,26,180,75,2,False,False,False,False,False,5000000,,2,100,0,2,82,79,66,79,85,87,84,83,83,66,64,54,50,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ondrej Pavelec,2,Ducks,CZE,22,200,74,1,True,False,False,False,False,750000,,0,100,0,2,89,83,75,82,89,91,89,91,92,64,59,43,63,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolai Khabibulin,3,Blues,RUS,37,209,73,3,False,False,False,False,True,3000000,,0,100,0,2,85,80,79,80,84,90,86,88,86,90,87,99,89,74,12,750,7,3,2,0,28,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Emery,4,Avalanche,CAN,28,196,74,1,False,False,False,False,False,1750000,,0,100,0,2,85,76,78,79,84,86,85,87,85,74,63,63,50,70,7,358,2,4,0,1,24,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miikka Kiprusoff,5,Penguins,FIN,33,184,73,4,False,False,False,False,False,7900000,,0,100,0,2,93,97,64,80,92,94,93,94,94,90,84,31,50,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Salak,6, ,CZK,23,180,73,0,True,False,False,False,False,750000,,0,100,0,2,60,50,65,75,60,60,60,57,60,47,47,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Bernier,7,Blues,CAN,22,184,72,2,False,False,False,False,False,1150000,,0,100,0,0,74,70,64,78,76,77,74,73,72,64,62,58,80,62,0,0,0,0,0,0,0,0,0,0,0,0,0,16,755,9,4,0,0,57,477,0,1,0,0,1
Curtis McElhinney,8,Flyers,CAN,26,193,74,1,True,False,False,False,False,500000,,0,100,0,0,78,66,71,82,78,81,80,79,80,63,68,30,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kari Lehtonen,9,Sharks,FIN,27,215,76,2,False,False,False,False,False,2900000,,0,100,0,2,87,83,82,85,87,88,87,90,90,72,76,90,50,73,21,1267,11,7,3,0,65,541,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Biron,10,Predators,CAN,33,180,75,2,False,False,False,False,False,4850000,,0,100,0,2,84,79,60,84,85,86,86,89,88,78,85,46,30,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Ellis,11,Thrashers,CAN,29,188,72,1,False,False,False,False,False,2000000,,0,100,0,2,86,76,68,78,85,83,84,86,85,67,75,43,40,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Miller,12,Sabres,USA,29,172,74,6,False,False,False,False,False,7950000,,0,100,0,2,96,94,71,82,94,95,94,97,98,79,80,78,82,78,10,616,4,5,1,0,36,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Ersberg,13,Rangers,SWE,28,168,72,1,False,False,False,False,False,850000,,0,100,0,0,82,71,48,78,82,80,80,83,83,62,62,76,25,65,0,0,0,0,0,0,0,0,0,0,0,0,0,4,96,0,1,0,0,8,76,0,0,0,0,0
Jonathan Quick,14,Canucks,USA,24,216,73,1,True,False,False,False,False,500000,,0,100,0,2,89,93,84,82,92,89,93,90,93,60,60,79,59,73,2,120,0,2,0,0,9,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Drouin-Deslauriers,15,Wild,CAN,26,200,76,1,True,False,False,False,False,750000,,0,100,0,2,81,80,75,87,82,81,83,81,83,49,49,34,30,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Roloson,16,Bruins,CAN,41,180,73,1,False,False,False,False,False,4000000,,0,100,0,2,88,82,60,80,86,88,87,92,87,86,91,30,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steve Mason,17,Canadiens,CAN,22,212,76,1,True,False,False,False,False,750000,,0,100,0,2,89,92,81,86,88,91,90,87,88,62,62,68,47,72,1,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brent Johnson,18,Wild,USA,33,199,75,2,False,False,False,False,False,1800000,,0,100,0,2,85,75,74,84,85,86,84,85,83,74,70,32,5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Bishop,19,Kings,USA,23,205,79,1,True,False,False,False,False,850000,,1,100,0,0,61,54,77,92,61,61,61,60,61,49,49,22,60,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Mannino,20,Hurricanes,USA,26,195,72,1,True,False,False,False,False,550000,,0,100,0,0,58,55,72,78,58,58,58,63,58,70,65,48,52,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Thomas,21,Flyers,USA,36,201,71,2,False,False,False,False,False,5250000,,0,100,0,2,94,88,75,76,95,92,94,95,94,88,88,99,80,78,22,1312,16,5,1,2,57,585,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Crawford,22,Stars,CAN,26,188,74,3,False,False,False,False,False,900000,,2,100,0,2,72,69,68,82,73,73,77,74,76,67,64,46,55,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johan Backlund,23,Islanders,SWE,29,198,74,2,False,False,False,False,False,805000,,1,100,0,0,66,61,68,81,64,65,64,66,67,68,48,65,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,93,0,1,0,0,6,59,0,0,0,0,0
Simeon Varlamov,24,Capitals,CAN,22,183,71,1,False,False,False,False,False,850000,,0,100,0,2,93,83,77,78,91,91,90,91,92,60,64,67,47,72,5,304,2,3,0,0,16,156,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Leighton,25,Sharks,CAN,29,186,75,1,False,False,False,False,False,800000,,0,100,0,2,83,72,66,84,85,81,86,86,86,70,66,99,25,69,2,43,0,0,0,0,2,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anton Kudobin,26,Flames,KZA,24,176,71,3,True,False,False,False,False,600000,,2,100,0,0,64,62,61,61,68,65,66,67,68,56,45,13,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,4,168,0,2,0,0,18,120,0,0,0,0,0
