Name,Number,Team,Country,Age,Weight,Height,Position,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,CK,FG,DI,SK,ST,DU,PH,FO,PA,SC,DF,EX,LD,MO,PO,OV,Pro GP,Pro Shots,Pro G,Pro A,Pro Point,Pro PlusMinus,Pro Pim,Pro Shots Block,Pro Hits,Pro Hit Took,Pro PP,Pro SH,Pro GW,Pro GT,Pro Face Off Won,Pro Face Off Total,Pro Penalty Shots Score,Pro Penalty ShotsTotal,Pro Empty Net Goal,Pro Minutes Played,Pro Hat Trick,Farm GP,Farm Shots,Farm G,Farm A,Farm Point,Farm PlusMinus,Farm Pim,Farm Shots Block,Farm Hits, Farm Hit Took,Farm PP,Farm SH,Farm GW,Farm GT,Farm Face Off Won,Farm Face Off Total,Farm Penalty Shots Score,Farm Penalty ShotsTotal,Farm Empty Net Goal,Farm Minutes Played,Farm Hat Trick,Game in Row with a Goal,Game in Row with a Point,Game in Row without a Goal,Game in Row without a Point
Paul Kariya,1,Blue Jackets,CAN,35,180,70,2,2,False,False,False,False,False,6650000,,0,100,0,2,53,40,80,93,60,87,77,40,79,73,59,86,99,50,65,73,3,4,1,2,3,1,0,0,0,5,1,0,1,0,6,19,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
Kyle Quincey,2,Blackhawks,CAN,25,207,74,4,2,False,False,False,False,False,3100000,,0,100,0,2,78,48,65,74,78,88,76,40,77,68,75,68,63,50,15,71,7,11,1,2,3,-5,14,10,6,4,1,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Radim Vrbata,3,Red Wings,CZE,28,190,73,3,2,False,False,False,False,False,2100000,,0,100,0,2,50,50,86,80,70,80,71,41,69,73,66,73,70,50,28,68,8,14,2,2,4,4,0,2,1,9,0,0,0,0,2,3,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Luke Schenn,4,Avalanche,CAN,20,216,74,4,1,True,False,False,False,False,850000,,0,100,0,2,93,56,82,71,83,86,65,40,66,64,74,53,53,50,40,69,8,7,3,3,6,3,26,6,25,4,1,0,1,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Bryan Bickell,5,Blackhawks,CAN,24,225,76,2,3,False,False,False,False,False,542000,,0,100,0,1,78,56,68,62,83,61,65,50,58,58,56,65,60,50,50,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,3,1,0,0,0,0,3,5,0,0,0,16,0,0,0,0,0
Joel Ward,6,Bruins,CAN,30,220,73,3,3,False,False,False,False,False,1500000,,0,100,0,2,57,43,86,74,85,83,70,43,71,69,73,50,60,50,49,67,8,18,1,4,5,4,0,1,1,16,0,0,0,0,1,6,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
Chuck Kobasew,7,Canadiens,CAN,28,192,72,3,2,False,False,False,False,False,2400000,,0,100,0,0,72,44,80,78,71,78,68,42,67,69,65,69,74,50,40,67,5,4,0,2,2,-3,4,3,2,4,0,0,0,0,1,4,0,0,0,81,0,3,19,3,3,6,-3,0,0,5,8,2,0,0,0,12,34,0,1,0,61,0,2,3,0,0
Jordan Staal,8,Wild,CAN,22,220,76,2,3,False,False,False,False,False,3900000,,0,100,0,2,81,42,78,82,85,92,73,83,73,72,86,63,67,50,45,73,8,19,0,3,3,1,8,2,12,9,0,0,0,0,9,12,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
Jay McClement,9,Ducks,CAN,27,201,73,1,1,False,False,False,False,False,1100000,,0,100,0,2,64,42,86,78,75,85,67,84,68,66,82,75,67,50,55,69,8,8,1,4,5,1,17,3,0,18,0,0,0,1,83,161,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Jeff Schultz,10,Capitals,CAN,24,221,78,4,4,False,False,False,False,False,2750000,,0,100,0,2,67,42,82,69,85,80,69,40,75,64,84,71,63,50,71,71,8,13,4,6,10,8,4,12,6,4,0,0,1,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
