Name,Abbre,Morale,Points,GP,W,L,T,OTW,OTL,SOW,SOL,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PP Attemp,PP Goal,PK Attemp,PK GA,PK GF,Shots For,Shots Aga,Shots Block,Shots Period 1,Shots Period 2,Shots Period 3,Shots Period 4,Goals Period 1,Goals Period 2,Goals Period 3,Goals Period 4,Shutouts,Total Player Goal,Total Player Assist,Total Player Point,Total Pim,Total Hits,Face Off Won Offensif Zone,Face Off Won Defensif Zone, Face Off Won Neutral Zone,Face Off Total Offensif Zone,Face Off Total Defensif Zone, Face Off Total Neutral Zone,Total Empty Net Goal
Iowa,IOW,61,116,82,45,21,0,2,2,8,4,411,298,41,23,9,0,0,0,6,2,216,139,661,132,458,93,1,3605,2718,855,1175,1189,1197,77,152,152,97,15,3,411,755,1166,1272,2072,1457,1794,721,2909,3590,1419,3,
Chicago,CHI,0,51,82,20,54,0,1,0,2,5,284,401,41,11,29,0,0,0,1,0,150,196,560,124,684,162,3,2835,3730,1118,967,871,978,43,108,86,87,4,0,284,531,815,1752,2380,1881,1497,681,3732,3023,1390,2,
Providence,PRO,1,56,82,20,53,0,5,2,2,0,314,426,41,12,24,0,0,0,1,0,170,207,583,126,678,165,1,3152,3922,1150,1092,1017,1022,25,112,113,82,8,0,314,596,910,1664,2737,1922,1584,730,3849,3263,1459,2,
Portland,POR,2,76,82,32,42,0,3,2,1,2,344,387,41,19,16,0,0,2,1,2,188,166,602,131,593,116,5,3484,3277,933,1117,1178,1173,24,142,101,97,4,2,344,648,992,1614,2426,1642,1792,701,3283,3528,1414,1,
Quad City,QCF,2,82,82,33,37,0,3,4,1,4,349,358,41,18,17,0,0,2,1,1,184,184,630,137,649,142,3,3406,3357,905,1072,1154,1150,49,136,110,99,5,3,349,656,1005,1605,2673,1790,1790,699,3565,3528,1375,0,
Albany,ALB,0,50,82,22,56,0,0,1,2,1,292,405,41,12,27,0,0,1,1,0,151,205,535,107,739,185,3,3035,3810,1020,1014,1028,979,24,112,91,87,4,0,292,557,849,1839,2438,1957,1601,727,3888,3151,1367,1,
Rockford,RCK,0,60,82,24,50,0,4,2,0,2,326,432,41,14,25,0,0,1,0,1,171,213,584,124,697,182,1,3253,3696,1079,1131,1017,1091,20,135,92,95,4,0,326,621,947,1778,2515,1816,1666,778,3591,3321,1485,0,
Lake Erie,LEM,34,98,82,36,30,0,3,4,7,2,364,341,41,19,12,0,0,2,4,2,181,163,616,142,658,140,7,3307,3378,946,1127,1082,1054,80,130,129,95,16,1,364,666,1030,1675,2387,1846,1766,703,3564,3454,1399,1,
Syracuse,SYR,23,93,82,43,34,0,1,1,1,2,353,330,41,24,16,0,0,0,0,1,183,167,633,139,614,126,2,3158,3438,964,1065,1012,1074,19,136,115,100,3,2,353,674,1027,1608,2417,1780,1597,687,3602,3295,1392,0,
Texas,TEX,45,108,82,49,26,0,1,1,2,3,405,322,41,25,12,0,0,1,1,2,203,160,638,158,560,111,3,3552,2995,843,1114,1227,1185,42,155,138,109,4,1,405,757,1162,1547,2315,1522,1819,684,3082,3641,1405,0,
GrandRapid,GRP,0,55,82,22,53,0,2,1,2,2,293,400,41,11,24,0,0,1,1,2,148,195,580,114,658,151,3,2856,3579,1039,988,921,939,22,106,107,76,5,0,293,553,846,1635,2422,1833,1529,702,3603,3085,1418,2,
Springfield,SPF,4,76,82,30,43,0,4,1,3,1,317,377,41,20,15,0,0,1,2,1,175,182,607,135,640,143,7,3150,3656,1022,1024,1031,1078,26,114,119,77,10,2,317,594,911,1749,2547,1847,1667,701,3638,3357,1407,0,
Rochester,ROC,21,93,82,41,33,0,2,4,1,1,357,352,41,19,18,0,0,2,1,0,175,179,595,125,673,141,3,3293,3291,885,1173,1036,1058,34,145,116,93,4,1,357,670,1027,1765,2574,1661,1661,653,3427,3448,1392,0,
Manchester,MAN,2,79,82,33,40,0,1,4,3,1,333,366,41,23,15,0,0,2,1,0,174,156,583,130,590,110,2,3206,3636,1032,1071,1031,1072,45,128,107,94,7,0,333,615,948,1593,2337,1767,1675,694,3574,3346,1407,2,
Houston,HOU,22,93,82,40,33,0,1,3,3,2,371,311,41,23,12,0,0,2,3,1,196,147,634,155,599,122,1,3605,3077,900,1159,1253,1175,33,149,118,100,6,1,371,697,1068,1523,2415,1706,1757,663,3330,3634,1379,5,
Hamilton,HAM,32,101,82,42,28,0,5,1,0,6,404,363,41,22,11,0,0,1,0,4,210,170,636,170,552,116,3,3627,3339,941,1184,1208,1199,56,164,122,113,8,1,404,751,1155,1465,2403,1609,1846,791,3337,3616,1502,0,
Milwaukee,MIL,0,53,82,22,53,0,0,3,2,2,291,423,41,12,26,0,0,1,2,0,150,209,550,110,721,168,3,2962,3808,1094,935,1015,999,26,109,94,86,3,0,291,543,834,1776,2542,1920,1587,713,3827,3116,1416,2,
Lowell,LOW,80,132,82,58,13,0,3,3,2,3,464,308,41,24,10,0,0,2,2,1,216,166,701,187,503,110,4,3742,2763,788,1099,1286,1327,47,161,153,145,8,1,464,860,1324,1341,2189,1418,1941,700,2901,3788,1486,0,
Bridgeport,BPT,60,119,82,54,20,0,2,2,1,3,397,290,41,29,9,0,0,1,0,2,193,138,712,139,502,93,3,3369,2671,755,1078,1123,1153,27,167,120,107,3,1,397,717,1114,1365,2121,1567,1978,750,2971,3499,1380,2,
Hartford,HAR,29,97,82,37,30,0,4,3,4,4,372,345,41,22,14,0,0,1,2,1,184,154,573,125,670,119,5,3363,3495,1019,1149,1081,1087,73,157,111,96,15,0,372,697,1069,1729,2454,1753,1648,676,3703,3370,1422,3,
Binghamton,BNG,65,120,82,53,20,0,1,4,4,0,482,335,41,25,11,0,0,3,1,0,245,169,657,144,547,108,5,3991,3103,918,1302,1366,1291,45,196,167,114,8,2,482,898,1380,1471,2380,1559,1959,745,3124,3779,1501,0,
Philly,PHL,0,42,82,15,58,0,0,3,3,3,271,404,41,9,29,0,0,1,1,1,135,201,565,91,743,155,4,2934,3927,1133,950,957,996,51,105,89,74,7,1,271,519,790,1849,2533,2032,1567,695,3909,3106,1370,1,
San Ant.,SAR,0,60,82,23,49,0,3,0,1,6,319,416,41,12,25,0,0,0,0,2,164,204,550,133,752,155,0,2994,3690,1104,976,1053,927,62,110,112,93,6,0,319,605,924,1793,2500,1926,1604,722,3732,3147,1438,1,
WB/Scrant.,WBS,30,92,82,36,35,0,6,1,3,1,354,361,41,22,14,0,0,1,1,0,191,177,630,109,547,120,6,3236,3226,850,1121,1022,1060,47,154,105,86,11,1,354,653,1007,1474,2227,1478,1592,686,3308,3353,1435,0,
Peoria,PEO,91,135,82,63,14,0,2,1,2,0,457,258,41,34,5,0,0,1,0,0,231,124,676,163,530,97,5,4009,2778,743,1244,1356,1398,18,171,149,133,5,1,457,835,1292,1340,2249,1454,1894,725,3069,3845,1437,1,
Worcester,WOR,32,102,82,42,27,0,3,6,2,2,419,375,41,26,9,0,0,3,2,0,223,175,638,148,560,157,3,3751,3010,885,1167,1261,1276,62,150,151,113,6,1,419,785,1204,1495,2436,1439,1891,791,2965,3746,1514,0,
Norfolk,NOR,46,108,82,44,25,0,4,3,3,3,346,311,41,22,11,0,0,1,3,2,174,148,653,124,554,105,3,3201,2797,827,1016,1107,1042,53,139,124,76,8,1,346,640,986,1524,2081,1514,1768,697,3009,3495,1372,1,
Toronto,TOR,0,69,82,24,45,0,4,3,4,2,330,412,41,14,22,0,0,1,1,1,168,205,580,115,687,156,2,3026,3648,1087,1007,999,998,42,118,99,105,12,0,330,618,948,1792,2584,1846,1580,723,3661,3224,1466,0,
Manitoba,MAN,3,78,82,32,39,0,2,5,1,3,363,386,41,18,17,0,0,3,1,1,199,193,670,117,603,144,0,3408,3446,996,1083,1087,1210,47,137,121,102,4,1,363,687,1050,1549,2430,1687,1760,749,3416,3477,1506,3,
Hershey,HER,48,111,82,50,24,0,1,3,2,2,398,287,41,26,11,0,0,2,1,1,196,144,682,148,553,110,2,3599,2848,857,1155,1205,1227,26,151,129,115,6,1,398,752,1150,1450,2321,1632,1750,685,3252,3596,1391,1,
