Name,Number,Team,Country,Age,Weight,Height,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,SK,DU,ST,SZ,AG,RB,SC,HS,RT,EX,LD,MO,PO,OV,Pro GP,Pro Minutes Played,Pro W,Pro L,Pro OTL,Pro Shutouts,Pro GA,Pro SA,Pro PIM,Pro A,Pro PenalityShots Shots, Pro PenalityShots Goals,Pro Empty Net Goal,Farm GP,Farm Minutes Played,Farm W,Farm L,Farm OTL,Farm Shutouts,Farm GA,Farm SA,Farm PIM,Farm A,Farm PenalityShots Shots, Farm PenalityShots Goals,Farm Empty Net Goal
Jonas Gustavsson,1,Rangers,SWE,26,180,75,2,False,False,False,False,False,5000000,,2,100,0,2,82,79,66,79,85,87,84,83,83,66,64,54,50,68,6,363,3,3,0,0,24,179,0,1,0,0,0,43,2472,24,14,3,0,165,1769,0,1,20,7,1
Ondrej Pavelec,2,Ducks,CZE,22,200,74,1,True,False,False,False,False,750000,,0,100,0,2,89,83,75,82,89,91,89,91,92,64,59,43,63,72,21,1127,8,6,4,1,58,491,2,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikolai Khabibulin,3,Blues,RUS,37,209,73,3,False,False,False,False,True,3000000,,0,100,0,2,85,80,79,80,84,90,86,88,86,90,87,91,89,74,69,4014,39,26,3,6,171,1534,15,5,25,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Emery,4,Avalanche,CAN,28,196,74,1,False,False,False,False,False,1750000,,0,100,0,2,85,76,78,79,84,86,85,87,85,74,63,70,50,70,50,2948,26,18,5,2,141,1293,21,3,19,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Miikka Kiprusoff,5,Penguins,FIN,33,184,73,4,False,False,False,False,False,7900000,,0,100,0,2,93,97,64,80,92,94,93,94,94,90,84,31,50,77,69,3948,31,29,5,1,214,1734,4,3,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Salak,6, ,CZK,23,180,73,0,True,False,False,False,False,750000,,0,100,0,2,60,50,65,75,60,60,60,57,60,47,47,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Bernier,7,Blues,CAN,22,184,72,2,False,False,False,False,False,1150000,,0,100,0,0,74,70,64,78,76,77,74,73,72,64,62,52,80,62,0,0,0,0,0,0,0,0,0,0,0,0,0,82,4543,63,9,1,1,232,2531,23,6,4,1,0
Curtis McElhinney,8,Flyers,CAN,26,193,74,1,True,False,False,False,False,500000,,0,100,0,0,78,66,71,82,78,81,80,79,80,63,68,30,40,65,0,0,0,0,0,0,0,0,0,0,0,0,0,20,828,1,7,0,0,37,653,0,0,3,0,1
Kari Lehtonen,9,Sharks,FIN,27,215,76,2,False,False,False,False,False,2900000,,0,100,0,2,87,83,82,85,87,88,87,90,90,72,76,83,50,73,63,3709,38,18,6,3,159,1488,6,1,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Biron,10,Predators,CAN,33,180,75,2,False,False,False,False,False,4850000,,0,100,0,2,84,79,60,84,85,86,86,89,88,78,85,39,30,72,32,1275,10,9,3,0,75,549,4,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Ellis,11,Thrashers,CAN,29,188,72,1,False,False,False,False,False,2000000,,0,100,0,2,86,76,68,78,85,83,84,86,85,67,75,43,40,69,4,231,1,2,1,0,10,125,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Miller,12,Sabres,USA,29,172,74,6,False,False,False,False,False,7950000,,0,100,0,2,96,94,71,82,94,95,94,97,98,79,80,70,82,78,72,4346,41,22,9,3,183,1788,14,8,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Ersberg,13,Rangers,SWE,28,168,72,1,False,False,False,False,False,850000,,0,100,0,0,82,71,48,78,82,80,80,83,83,62,62,73,25,65,8,305,0,2,1,0,12,127,15,0,4,1,0,1,10,1,0,0,0,1,8,0,0,0,0,0
Jonathan Quick,14,Canucks,USA,24,216,73,1,True,False,False,False,False,500000,,0,100,0,2,89,93,84,82,92,89,93,90,93,60,60,77,59,73,71,4051,47,18,3,3,165,1850,42,5,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
