Name,Number,Team,Country,Age,Weight,Height,Position,Contract,Rookie,Protected,Available for Trade,No Apply Rerate,No Trade,Salary,Injury,Number Of Injury,Condition,Suspension,Status,CK,FG,DI,SK,ST,DU,PH,FO,PA,SC,DF,EX,LD,MO,PO,OV,Pro GP,Pro Shots,Pro G,Pro A,Pro Point,Pro PlusMinus,Pro Pim,Pro Shots Block,Pro Hits,Pro Hit Took,Pro PP,Pro SH,Pro GW,Pro GT,Pro Face Off Won,Pro Face Off Total,Pro Penalty Shots Score,Pro Penalty ShotsTotal,Pro Empty Net Goal,Pro Minutes Played,Pro Hat Trick,Farm GP,Farm Shots,Farm G,Farm A,Farm Point,Farm PlusMinus,Farm Pim,Farm Shots Block,Farm Hits, Farm Hit Took,Farm PP,Farm SH,Farm GW,Farm GT,Farm Face Off Won,Farm Face Off Total,Farm Penalty Shots Score,Farm Penalty ShotsTotal,Farm Empty Net Goal,Farm Minutes Played,Farm Hat Trick,Game in Row with a Goal,Game in Row with a Point,Game in Row without a Goal,Game in Row without a Point
Paul Kariya,1,Blue Jackets,CAN,35,180,70,2,2,False,False,False,False,False,6650000,,0,100,0,2,53,40,80,93,60,87,77,40,79,73,59,86,99,53,65,73,82,188,22,34,56,-12,4,14,26,127,5,0,3,4,99,281,1,11,0,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Kyle Quincey,2,Predators,CAN,25,207,74,4,2,False,False,False,False,False,3100000,,0,100,0,2,78,48,65,74,78,88,76,40,77,68,75,68,63,35,15,71,78,87,13,32,45,2,142,106,155,66,4,1,2,0,1,1,0,0,0,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
Radim Vrbata,3,Canadiens,CZE,28,190,73,3,2,False,False,False,False,False,2100000,,1,100,0,2,50,50,86,80,70,80,71,41,69,73,66,73,70,63,28,68,72,108,12,25,37,-4,11,12,17,73,1,0,2,1,32,67,1,2,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Luke Schenn,4,Avalanche,CAN,20,216,74,4,1,False,False,False,False,False,850000,,0,100,0,2,93,56,82,71,83,86,65,40,66,64,74,53,53,81,40,68,82,64,10,24,34,17,219,70,179,46,3,0,2,0,0,0,0,0,0,1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
Bryan Bickell,5,Islanders,CAN,24,225,76,2,3,False,False,False,False,False,542000,,2,100,0,0,86,54,74,68,85,84,72,50,72,71,63,65,65,35,50,68,2,5,1,0,1,0,2,0,4,3,1,0,1,0,3,4,0,0,0,33,0,27,128,17,20,37,6,24,10,75,46,10,0,3,1,60,119,1,2,0,475,1,0,6,1,0
Joel Ward,6,Kings,CAN,30,220,73,2,3,False,False,False,False,False,1500000,,0,100,0,2,57,43,86,74,85,83,70,43,71,69,73,50,60,55,49,67,81,117,19,14,33,-3,31,21,20,64,4,0,3,0,25,91,1,1,0,1210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5
Chuck Kobasew,7,Predators,CAN,28,192,72,3,2,False,False,False,False,False,2400000,,0,100,0,2,72,44,80,78,71,78,68,42,67,69,65,69,74,84,40,67,72,134,17,22,39,6,30,18,82,98,1,0,1,0,18,42,0,1,0,1062,1,11,66,10,12,22,4,10,1,17,30,5,0,0,2,39,89,0,0,0,231,1,0,0,15,1
Jordan Staal,8,Wild,CAN,22,220,76,2,3,False,False,False,False,False,3900000,,1,100,0,2,81,42,78,82,85,92,73,83,73,72,86,63,67,44,45,73,80,171,17,36,53,25,59,27,125,112,4,0,5,1,250,465,1,3,0,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2
Jay McClement,9,Ducks,CAN,27,201,73,1,1,False,False,False,False,False,1100000,,0,100,0,2,64,42,86,78,75,85,67,84,68,66,82,75,67,44,55,69,82,125,13,25,38,-1,25,31,30,190,5,0,2,1,839,1585,0,0,0,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
Jeff Schultz,10,Capitals,CAN,24,221,78,4,4,False,False,False,False,False,2750000,,0,100,0,2,67,42,82,69,85,80,69,40,75,64,84,71,63,83,71,71,82,94,13,33,46,22,39,99,62,74,8,0,0,0,1,1,0,0,0,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
