Name,Position,Country,Rookie,Age,Weight,Height,Contract,Salary,Stats 1,Stats 2,Stats 3,Stats 4,Stats 5,Stats 6,Stats 7,Stats 8,Stats 9,Stats 10,Stats 11,Stats 12,Stats 13,Stats 14
Paul Kariya,2,CAN,N,35,180,70,2,6650000,53,40,80,93,60,87,77,40,79,73,59,86,99,65
Kyle Quincey,4,CAN,N,25,207,74,2,3100000,78,48,65,74,78,88,76,40,77,68,75,68,63,15
Radim Vrbata,3,CZE,N,28,190,73,2,2100000,50,50,86,80,70,80,71,41,69,73,66,73,70,28
Luke Schenn,4,CAN,N,20,216,74,1,850000,93,56,82,71,83,86,65,40,66,64,74,53,53,40
Bryan Bickell,2,CAN,N,24,225,76,3,542000,78,56,68,62,83,61,65,50,58,58,56,65,60,50
Joel Ward,2,CAN,N,30,220,73,3,1500000,57,43,86,74,85,83,70,43,71,69,73,50,60,49
Chuck Kobasew,3,CAN,N,28,192,72,2,2400000,72,44,80,78,71,78,68,42,67,69,65,69,74,40
Jordan Staal,2,CAN,N,22,220,76,3,3900000,81,42,78,82,85,92,73,83,73,72,86,63,67,45
Jay McClement,1,CAN,N,27,201,73,1,1100000,64,42,86,78,75,85,67,84,68,66,82,75,67,55
Jeff Schultz,4,CAN,N,24,221,78,4,2750000,67,42,82,69,85,80,69,40,75,64,84,71,63,71
Gilbert Brule,3,CAN,N,23,189,70,2,900000,86,54,81,79,67,85,72,83,72,72,61,65,66,60
Nate Thompson,1,USA,Y,26,207,72,1,850000,83,81,76,72,78,69,63,73,66,61,79,56,59,40
Steve Bernier,3,CAN,N,25,225,74,3,2000000,86,46,85,78,87,80,70,41,67,70,66,71,67,65
Niclas Wallin,4,SWE,N,36,220,75,1,1500000,93,40,79,66,85,80,61,40,63,61,77,81,71,60
Alex Pietrangelo,4,CAN,Y,20,206,75,1,850000,52,40,79,77,78,78,65,40,65,64,61,48,50,55
Dan Fritsche,1,USA,N,25,204,73,2,1100000,71,42,79,69,77,75,63,61,64,62,63,66,65,55
Ilkka Pikkarainen,3,FIN,N,29,215,72,2,500000,72,42,66,67,68,64,60,45,56,57,62,73,55,50
Trevor Daley,4,CAN,N,26,207,71,3,3000000,52,45,87,71,78,86,74,40,72,67,80,75,65,50
Dion Phaneuf,4,CAN,N,25,214,75,3,6750000,96,62,77,85,82,97,76,40,77,73,78,74,85,45
Brooks Laich,2,CAN,N,27,210,74,3,2200000,74,40,82,80,80,84,77,68,77,76,77,69,64,78
David Moss,2,USA,N,29,200,75,1,1400000,74,40,84,75,75,79,67,43,67,67,65,65,62,1
Ryan Getzlaf,1,CAN,N,24,221,76,2,5000000,96,57,61,89,85,91,89,78,92,75,68,74,70,25
Paul Stastny,1,CAN,N,24,205,72,3,6250000,55,40,77,88,77,91,87,84,92,73,72,62,64,50
Milan Jurcina,4,SVK,N,26,233,76,2,1300000,91,40,82,66,91,80,60,40,65,61,73,78,70,70
Randy Jones,4,CAN,N,28,200,74,1,1500000,65,41,77,77,75,79,70,40,72,67,69,67,68,45
Mika Pyorala,1,FIN,N,29,190,72,0,1050000,56,40,83,70,61,75,65,67,63,60,66,58,60,70
Darren Helm,2,CAN,Y,23,172,71,1,630000,95,40,88,80,59,85,67,84,67,66,77,64,65,55
Patrick Kaleta,3,USA,N,23,195,71,1,625000,96,74,58,72,72,73,66,41,64,68,68,63,59,50
Alexandre Picard,2,CAN,N,25,210,74,2,825000,71,75,86,66,80,76,68,40,62,58,65,66,66,50
Brent Sopel,4,CAN,N,33,211,73,4,2000000,57,40,81,66,80,75,63,40,64,62,78,82,81,50
Jack Hillen,4,USA,Y,25,200,71,1,850000,54,40,75,66,75,83,68,40,74,63,68,61,61,10
Keith Yandle,4,USA,N,24,195,74,1,1300000,51,44,83,86,72,83,77,40,79,72,65,61,66,1
Andrew Ladd,2,CAN,N,25,198,74,1,1950000,75,58,82,79,74,81,72,50,72,71,68,65,67,1
Eric Fehr,3,CAN,N,25,212,76,1,900000,56,40,84,72,81,76,73,40,71,75,68,67,64,25
Mike Green,4,CAN,N,24,208,74,3,5750000,84,40,71,91,79,91,89,40,95,79,75,69,69,60
Brian Lee,4,USA,Y,23,202,74,1,850000,72,43,79,72,76,82,66,40,67,63,67,65,61,45
Colin Fraser,1,CAN,Y,25,188,73,1,500000,66,65,83,71,68,76,66,79,67,64,75,68,66,55
Dany Heatley,3,DEU,N,29,221,76,3,8500000,69,40,74,85,85,93,86,42,83,88,65,81,82,35
Henrik Zetterberg,2,SWE,N,30,195,71,3,7750000,57,40,84,90,72,91,86,85,87,80,77,83,84,45
Jared Ross,1,USA,Y,28,165,69,1,750000,53,40,75,67,45,70,60,51,64,64,58,62,59,35
Ilya Kovalchuk,2,RUS,N,27,230,73,5,10000000,56,45,83,95,90,94,92,40,88,93,58,76,88,50
Brian Gionta,3,USA,N,31,175,67,1,4000000,57,40,83,88,55,84,77,59,73,81,76,79,82,1
Dave Bolland,1,CAN,N,24,181,72,1,750000,66,40,72,84,61,80,70,81,71,68,85,68,70,65
Matt Gilroy,4,USA,N,26,205,74,2,2995000,64,45,87,78,75,86,67,40,67,64,73,51,54,85
Samuel Pahlsson,1,SWE,N,32,204,72,2,2650000,88,40,82,77,77,83,64,88,65,60,86,86,81,1
Matt Cooke,2,CAN,N,33,205,71,1,1750000,94,64,68,79,77,79,69,64,67,71,82,78,67,35
Evander Kane,1,CAN,Y,19,176,73,3,850000,78,51,69,80,75,81,69,78,66,72,67,47,47,25
Sergei Shirokov,2,RUS,N,24,195,70,3,850000,45,40,76,70,61,62,66,42,53,52,56,52,45,50
Brenden Morrow,2,CAN,N,31,205,71,1,3000000,98,50,64,88,77,89,74,42,76,72,72,84,85,45
David Jones,3,CAN,N,25,210,74,1,725000,76,40,80,70,80,78,69,45,68,70,76,64,61,55
Nick Boynton,4,CAN,N,31,225,77,1,2800000,72,75,61,71,87,77,66,40,66,64,71,81,82,5
Jason Strudwick,2,CAN,N,35,225,76,1,800000,68,68,78,62,87,72,60,40,62,58,70,79,70,1
Derek MacKenzie,1,CAN,N,29,180,71,1,863155,68,40,88,75,60,75,63,77,64,61,68,72,65,35
Dan Jancevski,4,CAN,N,28,212,75,1,700000,67,44,69,56,81,68,55,40,59,50,63,75,68,60
Benn Ferriero,3,USA,Y,23,191,70,2,725000,60,45,84,72,61,71,64,66,64,63,68,47,47,40
Tyler Bozak,1,CAN,Y,24,180,73,3,1850000,76,40,84,76,69,76,72,86,74,70,58,47,47,61
