Team Number,Prospect Name
11,Luca Cunti
7,Taylor Hall
4,Justin Vaive
4,Devin Didiomete
4,Ivan Telegin
4,Tony Lucia
4,Matt Glasser
1,Joey Leach
4,Dustin Jeffrey
4,Niklas Lucenius
15,Stephen Silas
4,Matt Watkins
4,Nicolas Blanchard
24,Brock Bradford
4,David Skokan
4,Nick Larson
4,Paul Byron
4,Tony Lagerstrom
4,Matt Butcher
4,Travis Erstad
4,Corey Tropp
4,Vili Sopanen
16,Peter Olvecky
4,Ryan Maki
4,Philippe Gogulla
4,Matt Generous
24,Andrew Orpik
20,Tyler Sequin
24,Bradley Eidsness
13,John Ramage
4,Joseph Fallon
24,Nick Eno
24,Dan Dunn
12,Kevin Lalande
24,Nino Niederreiter
4,Ian Cole
4,Kyle Lawson
9,Brian Salcido
4,Dennis Persson
4,Joseph Lavin
4,Jens Hellgren
24,Drew MacKenzie
4,Brett Bellemore
23,Patrick Davis
4,Josh Meyers
22,Maxim Chudinov
11,Rod Pelley
4,Brian Strait
4,Corbin McPherson
4,Radim Ostrcil
4,Michael Ward
27,Bill Arnold
13,Ryan Garlock
5,Jerome Gauthier-Leduc
14,Matt Kassian
27,Alexander Guptill
7,Troy Rutkowski
26,Carl Söderberg
13,Jonas Enlund
3,Wacey Rabbit
7,Erik Gudbranson
14,Chris Vande Velde
7,Steven Shipley
13,Kyle Kucharski
11,Adam Janosik
20,Adam Pineault
4,Danny Irmen
13,Mike Morris
9,Andreas Thuresson
14,Joey Hishon
13,Jason Clark
15,Brandon Archibald
29,Justin Shugg
13,Dustin Collins
24,Joakim Nordstrom
24,Mattias Modig
3,Ryan Johansen
6,Stefan Ridderwall
24,Brian Foster
27,Adam Polasek
30,Johan Fransson
4,Wes ONeill
7,Brian Lee
7,Alex Biega
13,Grant McNeill
13,Matt Nickerson
13,Jeremy Swanson
9,Eric Gryba
30,Jeff May
19,Austin Levi
13,Riley Emmerson
21,Emil Axelsson
3,Julian Melchiori
13,Michael Chaput
26,Yasin Cisse
16,Joonas Donskoi
16,Kevin Gravel
13,Mike Hoeffel
13,Ryan Watson
13,Matt Fillier
13,Frederik Cabana
13,Nico Sacchetti
13,Randy Cameron
13,Paul Carey
13,Jarmo Jokila
13,Denis Stasyuk
13,Sergei Korostin
13,Stefan Legein
13,John Hecimovic
13,Carson McMillan
13,Denis Yachmenev
13,Tyler Plante
13,Chris Beckford-Tseu
13,Brad Phillips
13,Mikko Vuorio
13,Colby Cohen
13,Michael Caruso
13,Derrick Lapoint
30,Joe Finley
13,Justin Braun
1,Cam Fowler
13,Martin Tuma
22,Rejean Beauchemin
30,Troy Mattila
30,Christoph Gawlik
20,Tomas Kana
30,Leo Komarov
30,Jordan Fulton
30,Brent Gwidt
30,Lukas Vantuch
30,Stephen Dixon
30,Andreas Valdix
30,Igor Ignatouchkin
30,Andrew Joudrey
30,Jakub Koreis
30,Josh Beaulieu
30,Juuso Puustinen
8,Brady Calla
30,Jim Mckenzie
30,Steve Werner
30,Patric Blomdahl
30,Janick Steinmann
30,Niklas Olausson
30,Maxime Daigneault
30,Michael Dupont
30,Tomas Kudelka
30,R.J. Anderson
30,T.J. Miller
17,Pierre-Luc Lessard
30,Alexander Budkin
30,Vaclav Lesak
30,Chris Peluso
30,Pavel Voroshnin
30,Mihail Rybalko
23,Johan Ryno
5,Dwight King
3,Patrick Maroon
8,Ryan Thang
6,Dick Axelsson
20,Colin Greening
14,Nicklas Danielsson
20,Johan Harju
16,Corey Locke
9,Casey Pierro-Zabotel
6,Nick Spaling
6,Michael Carman
3,Jonathan Matsumoto
7,Oliver Ekman-Larsson
21,Jaden Schwartz
20,Chris Hickey
11,Tyler Ruegsegger
8,Brayden Schenn
27,Magnus Paajarvi-Svensson
17,Francois Bouchard
17,Mario Kempe
6,Colton Sceviour
7,Nick Palmieri
9,Dana Tyrell
3,Harrison Reed
3,Morten Madsen
6,Dan Collins
17,Nazem Kadri
3,Jonathan Filewich
14,Brian Day
6,Jakub Kovar
8,Lukas Mensator
1,Jack Campbell
3,Carl Gunnarsson
14,Jordan Bendfeld
7,Jordan Schroeder
9,Jesse Dudas
28,Jeff Skinner
15,Simon Despres
11,Daniel Rahimi
9,T.J. Brennan
11,Brett Connolly
18,Vladimir Tarasenko
2,Alexander Burmistrov
