Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,ShootOut,Farm Play,Farm Visitor Team,Farm Visitor Score,Farm Home Team,Farm Home Score,Farm Overtime,Farm ShootOut
1,1,True,Rangers,4,Flyers,1,False,False,True,Hartford,4,Philly,1,False,False
2,1,True,Lightning,1,Hurricanes,5,False,False,True,Norfolk,3,Albany,5,False,False
3,1,True,Flames,4,Avalanche,3,True,False,True,Quad City,5,Lake Erie,4,False,False
4,1,True,Canucks,4,Oilers,1,False,False,True,Manitoba,5,Springfield,4,False,False
5,1,True,Blackhawks,1,Wild,2,True,False,True,Rockford,0,Houston,4,False,False
6,1,True,Islanders,3,Devils,2,False,False,True,Bridgeport,7,Lowell,5,False,False
7,1,True,Red Wings,5,Predators,1,False,False,True,GrandRapid,5,Milwaukee,7,False,False
8,1,True,Blues,2,Blue Jackets,3,False,False,True,Peoria,5,Syracuse,7,False,False
9,1,True,Coyotes,2,Stars,4,False,False,True,San Ant.,7,Texas,3,False,False
10,1,True,Maple Leafs,5,Bruins,6,True,True,True,Toronto,7,Providence,3,False,False
11,1,True,Kings,4,Penguins,2,False,False,True,Manchester,4,WB/Scrant.,1,False,False
12,1,True,Sharks,3,Ducks,1,False,False,True,Worcester,1,Iowa,9,False,False
13,1,True,Capitals,1,Thrashers,3,False,False,True,Hershey,6,Chicago,2,False,False
14,2,True,Hurricanes,4,Panthers,1,False,False,True,Albany,3,Rochester,4,False,False
15,2,True,Maple Leafs,2,Senators,3,False,False,True,Toronto,4,Binghamton,5,True,True
16,2,True,Bruins,4,Sabres,3,False,False,True,Providence,2,Portland,4,False,False
17,2,True,Penguins,3,Canadiens,4,False,False,True,WB/Scrant.,3,Hamilton,9,False,False
18,2,True,Thrashers,5,Capitals,0,False,False,True,Chicago,3,Hershey,5,False,False
19,2,True,Kings,2,Sharks,1,False,False,True,Manchester,2,Worcester,6,False,False
20,2,True,Blue Jackets,5,Blues,0,False,False,True,Syracuse,2,Peoria,5,False,False
21,2,True,Stars,5,Coyotes,2,False,False,True,Texas,7,San Ant.,1,False,False
22,2,True,Oilers,4,Lightning,5,False,False,True,Springfield,5,Norfolk,6,False,False
23,2,True,Blackhawks,2,Red Wings,0,False,False,True,Rockford,7,GrandRapid,2,False,False
24,2,True,Flyers,2,Islanders,3,False,False,True,Philly,1,Bridgeport,5,False,False
25,2,True,Devils,2,Rangers,1,True,False,True,Lowell,6,Hartford,4,False,False
26,2,True,Avalanche,3,Flames,0,False,False,True,Lake Erie,4,Quad City,5,True,False
27,3,True,Oilers,2,Canucks,1,False,False,True,Springfield,4,Manitoba,7,False,False
28,3,True,Blues,3,Blackhawks,2,True,False,True,Peoria,7,Rockford,5,False,False
29,3,True,Canadiens,2,Maple Leafs,0,False,False,True,Hamilton,9,Toronto,4,False,False
30,3,True,Stars,3,Kings,2,False,False,True,Texas,6,Manchester,5,True,False
31,3,True,Bruins,2,Sabres,3,True,False,True,Providence,5,Portland,4,True,True
32,4,True,Hurricanes,2,Panthers,3,True,True,True,Albany,1,Rochester,7,False,False
33,4,True,Avalanche,5,Wild,4,True,True,True,Lake Erie,5,Houston,9,False,False
34,4,True,Canadiens,1,Senators,2,True,False,True,Hamilton,6,Binghamton,5,True,False
35,4,True,Red Wings,3,Predators,2,False,False,True,GrandRapid,6,Milwaukee,8,False,False
36,4,True,Sharks,4,Ducks,3,False,False,True,Worcester,2,Iowa,10,False,False
37,5,True,Devils,0,Flyers,6,False,False,True,Lowell,6,Philly,3,False,False
38,5,True,Thrashers,4,Capitals,2,False,False,True,Chicago,4,Hershey,3,True,True
39,5,True,Oilers,4,Canucks,3,False,False,True,Springfield,4,Manitoba,3,True,False
40,5,True,Panthers,5,Lightning,4,True,True,True,Rochester,3,Norfolk,6,False,False
41,5,True,Red Wings,2,Blue Jackets,1,False,False,True,GrandRapid,4,Syracuse,6,False,False
42,5,True,Islanders,2,Penguins,3,False,False,True,Bridgeport,3,WB/Scrant.,5,False,False
43,5,True,Stars,4,Rangers,3,False,False,True,Texas,1,Hartford,5,False,False
44,5,True,Avalanche,5,Flames,4,True,True,True,Lake Erie,0,Quad City,4,False,False
45,5,True,Kings,1,Coyotes,0,False,False,True,Manchester,8,San Ant.,4,False,False
46,5,True,Blues,2,Hurricanes,6,False,False,True,Peoria,4,Albany,3,False,False
47,5,True,Senators,2,Bruins,3,True,False,True,Binghamton,5,Providence,1,False,False
48,5,True,Ducks,2,Sharks,4,False,False,True,Iowa,7,Worcester,4,False,False
49,5,True,Sabres,2,Maple Leafs,3,True,False,True,Portland,3,Toronto,7,False,False
50,6,True,Bruins,0,Canadiens,4,False,False,True,Providence,5,Hamilton,11,False,False
51,6,True,Rangers,4,Devils,3,False,False,True,Hartford,7,Lowell,3,False,False
52,6,True,Penguins,0,Islanders,7,False,False,True,WB/Scrant.,4,Bridgeport,6,False,False
53,6,True,Panthers,2,Thrashers,1,False,False,True,Rochester,4,Chicago,1,False,False
54,6,True,Blue Jackets,5,Blackhawks,3,False,False,True,Syracuse,9,Rockford,2,False,False
55,6,True,Sharks,3,Kings,4,False,False,True,Worcester,6,Manchester,5,True,False
56,6,True,Canucks,5,Avalanche,4,False,False,True,Manitoba,2,Lake Erie,3,False,False
