Day,Visitor Team #,Visitor Team,Home Team #,Home Team,Visitor Team #,Visitor Team,Home Team #,Home Team
1,6,Carolina Hurricanes,15,Minnesota Wild ,-,-,-,-
1,16,Montreal Canadiens,28,Toronto Maple Leafs ,-,-,-,-
1,22,Philadelphia Flyers,24,Pittsburgh Penguins ,-,-,-,-
1,7,Chicago Blackhawks,8,Colorado Avalanche ,-,-,-,-
1,5,Calgary Flames,12,Edmonton Oilers ,-,-,-,-
2,15,Minnesota Wild,6,Carolina Hurricanes ,5,Abbotsford Heat,11,Grand Rapids Griffins
2,9,Columbus Blue Jackets,26,San Jose Sharks ,22,Adirondack Phantoms,21,Binghampton Senators
2,10,Dallas Stars,18,New Jersey Devils ,9,Springfield Falcons,3,Providence Bruins
2,1,Anaheim Ducks,11,Detroit Red Wings ,1,Syracuse Crunch,8,Lake Erie Monsters
2,30,Washington Capitals,2,Atlanta Thrashers ,2,Chicago Wolves,23,San Antonio Rampage
2,4,Buffalo Sabres,21,Ottawa Senators ,29,Manitoba Moose,25,Peoria Rivermen
3,23,Phoenix Coyotes,3,Boston Bruins ,13,Rochester Americans,28,Toronto Marlies
3,26,San Jose Sharks,9,Columbus Blue Jackets ,29,Manitoba Moose,7,Rockford IceHogs
3,18,New Jersey Devils,30,Washington Capitals ,22,Adirondack Phantoms,18,Albany Devils
3,16,Montreal Canadiens,24,Pittsburgh Penguins ,26,Worcester Sharks,19,Bridgeport Sound Tigers
3,21,Ottawa Senators,28,Toronto Maple Leafs ,6,Charlotte Checkers,20,Hartford Wolf Pack
3,10,Dallas Stars,19,New York Islanders ,14,Manchester Monarchs,4,Portland Pirates
3,20,New York Rangers,4,Buffalo Sabres ,3,Providence Bruins,9,Springfield Falcons
3,2,Atlanta Thrashers,27,Tampa Bay Lightning ,27,Norfolk Admirals,21,Binghampton Senators
3,1,Anaheim Ducks,17,Nashville Predators ,30,Hershey Bears,24,Wilkes-Barre/Scranton Penguins
3,22,Philadelphia Flyers,25,St.Louis Blues ,8,Lake Erie Monsters,1,Syracuse Crunch
3,11,Detroit Red Wings,7,Chicago Blackhawks ,5,Abbotsford Heat,17,Milwaukee Admirals
3,14,Los Angeles Kings,29,Vancouver Canucks ,15,Houston Aeros,12,Oklahoma City Barons
4,3,Boston Bruins,23,Phoenix Coyotes ,14,Manchester Monarchs,19,Bridgeport Sound Tigers
4,14,Los Angeles Kings,5,Calgary Flames ,26,Worcester Sharks,20,Hartford Wolf Pack
4,13,Florida Panthers,12,Edmonton Oilers ,6,Charlotte Checkers,9,Springfield Falcons
4,-,-,-,-,10,Dallas Stars,23,San Antonio Rampage
4,-,-,-,-,2,Chicago Wolves,12,Oklahoma City Barons
4,-,-,-,-,17,Milwaukee Admirals,25,Peoria Rivermen
4,-,-,-,-,30,Hershey Bears,13,Rochester Americans
4,-,-,-,-,11,Grand Rapids Griffins,7,Rockford IceHogs
5,20,New York Rangers,19,New York Islanders ,6,Charlotte Checkers,4,Portland Pirates
