Day,Visitor,Home
2,Calgary Flames,Detroit Red Wings
2,Philadelphia Flyers,Ottawa Senators
2,Columbus Blue Jackets,Boston Bruins
2,Anaheim Ducks,Colorado Avalanche
2,Atlanta Thrashers,Phoenix Coyotes
2,Vancouver Canucks,St.Louis Blues
3,Florida Panthers,Toronto Maple Leafs
3,Vancouver Canucks,Chicago Blackhawks
3,Philadelphia Flyers,New Jersey Devils
3,San Jose Sharks,New York Islanders
3,Carolina Hurricanes,New York Rangers
3,Los Angeles Kings,Buffalo Sabres
3,Boston Bruins,Columbus Blue Jackets
3,Tampa Bay Lightning,Ottawa Senators
3,Washington Capitals,Pittsburgh Penguins
3,Colorado Avalanche,Anaheim Ducks
3,Calgary Flames,Nashville Predators
3,Minnesota Wild,Edmonton Oilers
4,Los Angeles Kings,New York Islanders
4,San Jose Sharks,New York Rangers
4,Carolina Hurricanes,Columbus Blue Jackets
4,Dallas Stars,Phoenix Coyotes
4,Atlanta Thrashers,Edmonton Oilers
4,Nashville Predators,St.Louis Blues
4,Washington Capitals,Florida Panthers
4,Detroit Red Wings,Chicago Blackhawks
5,Carolina Hurricanes,Buffalo Sabres
5,Calgary Flames,Toronto Maple Leafs
6,Philadelphia Flyers,Pittsburgh Penguins
6,Chicago Blackhawks,St.Louis Blues
9,New York Rangers,New Jersey Devils
9,Pittsburgh Penguins,Carolina Hurricanes
9,New York Islanders,Buffalo Sabres
9,Washington Capitals,Ottawa Senators
9,Columbus Blue Jackets,Boston Bruins
9,Anaheim Ducks,Philadelphia Flyers
9,San Jose Sharks,Tampa Bay Lightning
9,Montreal Canadiens,Florida Panthers
9,Atlanta Thrashers,Nashville Predators
9,St.Louis Blues,Phoenix Coyotes
9,Minnesota Wild,Edmonton Oilers
9,Detroit Red Wings,Vancouver Canucks
9,Chicago Blackhawks,Calgary Flames
10,Toronto Maple Leafs,Montreal Canadiens
10,New Jersey Devils,Philadelphia Flyers
10,New York Rangers,New York Islanders
10,Florida Panthers,Washington Capitals
10,Boston Bruins,Los Angeles Kings
10,Columbus Blue Jackets,Buffalo Sabres
10,San Jose Sharks,Tampa Bay Lightning
10,Ottawa Senators,Anaheim Ducks
10,Nashville Predators,Atlanta Thrashers
10,Phoenix Coyotes,Dallas Stars
10,Colorado Avalanche,Edmonton Oilers
10,Detroit Red Wings,Vancouver Canucks
10,St.Louis Blues,Minnesota Wild
10,Chicago Blackhawks,Calgary Flames
11,Ottawa Senators,Toronto Maple Leafs
11,Buffalo Sabres,New York Islanders
11,Pittsburgh Penguins,Carolina Hurricanes
11,Columbus Blue Jackets,Los Angeles Kings
11,New York Rangers,Boston Bruins
11,Edmonton Oilers,Minnesota Wild
11,Philadelphia Flyers,Florida Panthers
11,Colorado Avalanche,Phoenix Coyotes
11,St.Louis Blues,Dallas Stars
13,Los Angeles Kings,Buffalo Sabres
13,Florida Panthers,Montreal Canadiens
