Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,20,3,27,4,False,False
2,1,True,2,2,19,4,False,False
3,1,True,24,5,4,3,False,False
4,1,True,6,4,30,2,False,False
5,2,True,25,4,9,1,False,False
6,2,True,12,3,5,2,False,False
7,2,True,26,4,14,1,False,False
8,2,True,1,3,8,1,False,False
9,3,True,20,0,27,1,False,False
10,3,True,2,0,19,2,False,False
11,3,True,24,1,4,3,False,False
12,3,True,6,1,30,2,False,False
13,4,True,25,4,9,3,False,False
14,4,True,12,2,5,8,False,False
15,4,True,26,2,14,1,True,False
16,4,True,1,3,8,2,True,False
17,5,True,27,5,20,1,False,False
18,5,True,19,5,2,3,False,False
19,5,True,4,2,24,1,False,False
20,5,True,30,6,6,1,False,False
21,6,True,9,2,25,3,False,False
22,6,True,5,2,12,3,False,False
23,6,True,14,0,26,2,False,False
24,6,True,8,3,1,2,False,False
25,7,True,27,7,20,4,False,False
26,7,True,19,5,2,4,True,False
27,7,True,4,2,24,1,True,False
28,7,True,30,5,6,4,True,False
29,8,True,9,1,25,5,False,False
30,8,True,5,1,12,3,False,False
31,8,True,14,0,26,2,False,False
32,8,True,8,1,1,2,False,False
35,9,True,24,2,4,1,True,False
36,9,True,6,1,30,3,False,False
38,10,True,12,4,5,5,True,False
40,10,True,1,0,8,5,False,False
43,11,True,4,2,24,1,True,False
46,12,True,5,3,12,5,False,False
48,12,True,8,7,1,6,True,False
56,14,True,1,1,8,3,False,False
57,15,True,30,0,27,2,False,False
58,15,True,4,3,19,2,False,False
59,16,True,25,5,8,3,False,False
60,16,True,12,1,26,2,False,False
61,17,True,30,3,27,0,False,False
62,17,True,4,1,19,2,False,False
63,18,True,25,1,8,2,False,False
64,18,True,12,4,26,3,True,False
65,19,True,27,3,30,2,False,False
66,19,True,19,3,4,2,True,False
67,20,True,8,3,25,2,True,False
68,20,True,26,0,12,2,False,False
69,21,True,27,2,30,4,False,False
70,21,True,19,1,4,3,False,False
71,22,True,8,2,25,4,False,False
72,22,True,26,5,12,1,False,False
73,23,True,30,2,27,4,False,False
74,23,True,4,3,19,2,False,False
75,24,True,25,2,8,1,False,False
76,24,True,12,0,26,1,False,False
77,25,True,27,2,30,3,True,False
78,25,True,19,3,4,2,False,False
79,26,True,8,3,25,6,False,False
80,26,True,26,1,12,0,False,False
81,27,True,30,2,27,1,True,False
82,27,True,4,3,19,5,False,False
85,29,True,30,5,19,1,False,False
86,30,True,25,3,26,2,False,False
87,31,True,30,3,19,2,False,False
88,32,True,25,3,26,2,True,False
89,33,True,19,1,30,2,False,False
90,34,True,26,3,25,1,False,False
91,35,True,19,2,30,3,False,False
92,36,True,26,3,25,2,True,False
94,38,True,25,3,26,5,False,False
96,40,True,26,1,25,7,False,False
98,42,True,25,3,26,4,True,False
99,43,True,26,4,30,1,False,False
100,44,True,26,1,30,2,False,False
101,45,True,30,4,26,2,False,False
102,46,True,30,1,26,3,False,False
103,47,True,26,1,30,3,False,False
104,48,True,30,2,26,1,True,False
