Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Crunch,SYR,Syracuse,Pacific Division,Western Conference,0,0,0,0,1314250,0,74,0,39,True,11,0,,L1,2,3,0,1,1,0,0,7,3,4,0,0,0,0,0,6,17,22,3,1,2,0,0,0,0,0,10,11,33,12,28,16,0,129,211,59,28,53,45,3,1,7,8,1,8327,9037,8049,3108,4318,5237,0,17,28,45,71,153,70,147,66,129,46,102,0,
2,IceCaps,STJ,St John's,Southeast Division,Eastern Conference,0,0,0,0,642500,0,25,0,18,True,27,0,,OTL1,0,3,0,0,1,0,0,4,0,4,0,0,0,0,0,0,9,16,2,0,2,0,0,0,0,0,7,10,15,8,35,12,0,131,119,34,38,34,57,2,1,3,5,0,5796,4971,3873,2531,3245,1469,0,9,14,23,147,49,38,89,33,94,23,68,1,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,0,0,0,0,451250,0,34,0,0,True,12,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,0,1321000,0,79,0,66,True,4,0,,L2,3,3,0,2,2,0,0,13,7,6,0,0,0,0,0,14,30,29,6,2,4,0,0,0,0,0,14,15,59,21,63,17,0,300,311,111,51,119,125,5,3,11,14,2,16599,16252,16135,8197,7859,8138,0,30,51,81,430,403,154,297,145,280,91,166,0,
5,Heat,ABH,Abbotsford,Northwest Division,Western Conference,0,0,0,0,337167,0,119,0,49,True,8,0,,L1,1,4,0,1,0,0,0,6,2,4,0,0,0,0,0,4,21,20,3,2,1,0,0,0,0,0,15,9,20,11,34,14,1,158,140,51,47,48,62,1,4,5,11,1,8491,6378,7005,4323,3784,2288,0,21,37,58,95,77,44,128,30,108,25,94,1,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,0,1243500,0,120,0,45,True,26,0,,L1,1,3,0,0,1,0,0,5,1,4,0,0,0,0,0,2,11,18,2,0,2,0,0,0,0,0,5,11,27,7,24,11,0,111,145,60,28,31,51,1,2,2,7,0,6495,6561,5640,2637,3328,3251,0,11,20,31,75,106,53,110,63,113,33,69,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,0,1047750,0,57,0,0,True,13,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Monsters,LEM,Lake  Erie,Northwest Division,Western Conference,0,0,0,0,796250,0,123,0,60,True,6,0,,L3,3,5,0,2,0,0,0,13,6,7,0,0,0,0,0,12,36,37,7,3,4,0,0,0,0,0,17,15,63,26,59,28,1,378,307,80,98,120,152,8,5,15,14,2,17441,16390,13873,7959,10229,5705,1,36,56,92,160,168,165,276,166,285,127,205,1,
9,Falcons,SPR,Springfield,Central Division,Western Conference,437,0,458,0,1208500,0,104,0,53,True,29,0,,L4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,7,16,2,0,2,0,0,0,0,0,4,8,19,4,22,13,0,112,124,37,29,58,25,0,2,2,3,0,4332,5829,4239,1797,3264,2593,0,7,12,19,63,87,67,95,77,108,40,62,0,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,0,405500,0,93,0,0,True,14,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
