Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProMinutePlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPMinutePlay,ProPKG,ProPKA,ProPKShots,ProPKMinutePlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmMinutePlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPMinutePlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKMinutePlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1580,Tommy Sestito,,15,USA,1987-07-01,228,77,False,True,False,False,3,True,False,False,False,False,True,True,False,0,550000,550000,550000,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,91,52,88,64,88,84,84,65,50,53,53,66,53,54,54,50,51,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,Kyle Quincey,,17,CAN,1985-07-01,207,73,False,False,False,True,1,False,False,False,False,False,True,True,False,0,3100000,0,0,0,0,0,0,0,0,0,,49,100,0,2,2,2,2,2,2,2,2,2,2,77,42,64,75,78,88,83,73,40,76,67,77,57,64,64,50,15,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,Radim Vrbata,,13,CZE,1981-07-01,191,71,False,False,True,False,1,False,False,False,False,False,True,True,False,0,2100000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,64,44,88,81,70,90,95,77,60,73,80,71,94,74,74,50,35,74,5,11,1,0,1,1,0,0,2,1,3,4,13,1,0,14,23,0,0,0,6608,0,1,0,4,1862,0,0,0,401,1,2,718,0,0,0,0,0,0,0,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,False
4,Luke Schenn,,8,CAN,1989-07-01,216,74,False,False,False,True,2,False,False,False,False,False,True,True,False,0,3250000,3250000,0,0,0,0,0,0,0,0,,13,100,0,3,3,3,3,3,3,3,3,3,3,99,53,87,75,82,88,95,68,40,70,65,79,59,60,60,50,49,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,Bryan Bickell,,19,CAN,1986-07-01,223,76,False,True,False,False,2,False,False,False,False,False,True,True,False,0,542000,542000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,93,48,84,69,87,86,95,71,45,70,72,67,71,58,58,50,45,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,Joel Ward,,27,CAN,1980-07-01,220,74,False,True,True,False,2,False,False,False,False,False,True,True,False,0,1500000,1500000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,64,43,86,68,84,87,95,69,80,69,68,75,68,65,70,50,59,70,5,1,0,0,0,-1,4,0,2,2,4,2,5,0,0,2,2,0,0,0,3271,0,0,0,0,0,0,0,0,1461,0,0,254,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,False
7,Chuck Kobasew,,17,CAN,1982-07-01,195,71,False,True,True,False,1,False,False,False,False,False,True,True,False,0,2400000,0,0,0,0,0,0,0,0,0,,13,100,0,2,2,2,2,2,2,2,2,2,2,64,46,85,76,70,87,68,66,60,64,66,68,68,65,65,50,27,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,Jordan Staal,,15,CAN,1988-07-01,220,75,True,False,False,False,2,False,False,False,False,False,True,True,False,0,3900000,3900000,0,0,0,0,0,0,0,0,,5,100,0,3,3,3,3,3,3,3,2,2,2,82,40,81,80,85,84,79,74,76,75,71,84,74,63,63,50,26,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,Jay McClement,,28,CAN,1983-07-01,190,73,True,False,False,False,3,False,False,False,False,False,True,True,False,0,1600000,1600000,1600000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,67,42,85,76,70,90,95,66,86,67,63,79,67,68,68,50,81,70,11,5,1,0,1,1,0,0,1,2,7,1,7,0,0,9,18,0,0,0,4636,0,0,0,0,0,0,0,0,831,5,2,432,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,False
10,Jeff Schultz,,11,CAN,1986-07-01,230,70,False,False,False,True,3,False,False,False,False,False,True,True,False,0,2750000,2750000,2750000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,59,40,88,68,90,88,85,65,40,66,61,77,54,60,60,50,36,70,5,3,0,3,3,3,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4428,0,0,0,1,154,0,0,0,739,0,2,281,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,False
11,Gilbert Brule,,7,CAN,1987-07-01,173,68,False,False,True,False,1,False,False,False,False,False,True,True,False,0,900000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,91,51,73,78,54,79,60,67,87,67,67,67,69,64,64,50,62,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,Nate Thompson,,13,USA,1984-07-01,206,72,True,False,False,False,4,False,False,False,False,False,True,True,False,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,78,68,84,68,77,84,95,67,89,68,65,77,67,65,65,50,64,69,5,14,1,1,2,0,0,0,1,0,5,8,7,0,0,23,38,0,0,0,4351,0,0,0,0,303,0,0,1,388,1,1,412,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False
13,Steve Bernier,,14,CAN,1985-07-01,200,72,False,False,True,False,2,False,False,False,False,False,True,True,False,0,2000000,2000000,0,0,0,0,0,0,0,0,,15,100,0,3,3,3,3,3,3,3,3,3,3,82,46,88,71,86,88,79,65,60,66,63,66,66,63,63,50,32,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
14,Carl Gunnarsson,,28,SWE,1986-07-01,196,74,False,False,False,True,3,True,False,False,False,False,True,True,False,0,1400000,1400000,1400000,0,0,0,0,0,0,0,,13,100,0,3,3,3,3,3,3,3,3,3,2,71,40,86,72,73,86,95,70,40,74,64,76,59,61,61,50,45,71,11,6,0,1,1,5,0,0,5,2,1,7,8,0,0,0,0,0,0,0,8854,0,0,0,0,36,0,0,0,1127,2,3,562,0,0,0,0,0,0,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,False
