Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,13,1,28,2,False,False
2,1,True,27,4,2,1,False,False
3,1,True,6,2,18,6,False,False
4,1,True,4,5,3,4,True,False
5,2,True,11,1,10,3,False,False
6,2,True,5,3,12,2,True,False
7,2,True,9,1,7,5,False,False
8,2,True,1,2,25,4,False,False
9,3,True,13,3,28,2,True,False
10,3,True,27,3,2,4,False,False
11,3,True,6,5,18,1,False,False
12,3,True,4,2,3,3,True,False
13,4,True,11,1,10,3,False,False
14,4,True,5,2,12,4,False,False
15,4,True,9,5,7,2,False,False
16,4,True,1,1,25,5,False,False
17,5,True,28,4,13,3,False,False
18,5,True,2,3,27,1,False,False
19,5,True,18,2,6,1,True,False
20,5,True,3,3,4,2,True,False
21,6,True,10,4,11,2,False,False
22,6,True,12,3,5,2,True,False
23,6,True,7,5,9,2,False,False
24,6,True,25,1,1,5,False,False
25,7,True,28,3,13,2,True,False
26,7,True,2,5,27,4,False,False
27,7,True,18,4,6,3,True,False
28,7,True,3,2,4,3,True,False
29,8,True,10,2,11,4,False,False
30,8,True,12,1,5,2,True,False
31,8,True,7,5,9,3,False,False
32,8,True,25,2,1,1,False,False
33,9,True,13,1,28,4,False,False
34,9,True,27,3,2,5,False,False
35,9,True,6,5,18,2,False,False
36,9,True,4,2,3,4,False,False
37,10,True,11,1,10,4,False,False
38,10,True,5,2,12,1,False,False
39,10,True,9,7,7,2,False,False
40,10,True,1,4,25,3,True,False
43,11,True,18,1,6,3,False,False
44,11,True,3,4,4,3,True,False
46,12,True,12,3,5,4,False,False
47,12,True,7,2,9,3,False,False
48,12,True,25,1,1,3,False,False
51,13,True,6,5,18,3,False,False
55,14,True,9,3,7,2,True,False
56,14,True,1,7,25,3,False,False
57,15,True,6,3,28,2,True,False
58,15,True,3,3,2,1,False,False
59,16,True,5,2,10,3,True,False
60,16,True,9,4,1,2,False,False
61,17,True,6,3,28,1,False,False
62,17,True,3,1,2,3,False,False
63,18,True,5,1,10,2,True,False
64,18,True,9,2,1,1,False,False
65,19,True,28,5,6,3,False,False
66,19,True,2,3,3,2,True,False
67,20,True,10,1,5,2,False,False
68,20,True,1,2,9,3,False,False
69,21,True,28,1,6,4,False,False
70,21,True,2,3,3,4,True,False
71,22,True,10,7,5,2,False,False
72,22,True,1,1,9,3,False,False
73,23,True,6,2,28,3,False,False
74,23,True,3,4,2,3,False,False
75,24,True,5,2,10,1,False,False
77,25,True,28,1,6,2,False,False
78,25,True,2,2,3,1,False,False
79,26,True,10,4,5,3,False,False
82,27,True,3,5,2,1,False,False
85,29,True,6,0,3,5,False,False
86,30,True,9,6,10,0,False,False
87,31,True,6,3,3,2,False,False
88,32,True,9,4,10,3,False,False
89,33,True,3,1,6,4,False,False
90,34,True,10,6,9,1,False,False
91,35,True,3,3,6,2,False,False
92,36,True,10,3,9,4,False,False
93,37,True,6,6,3,1,False,False
94,38,True,9,2,10,4,False,False
95,39,True,3,5,6,1,False,False
96,40,True,10,2,9,3,False,False
97,41,True,6,4,3,3,False,False
99,43,True,9,2,6,1,True,False
100,44,True,9,2,6,1,False,False
101,45,True,6,1,9,2,False,False
102,46,True,6,3,9,1,False,False
103,47,True,9,2,6,1,True,False
