Team Number,Prospect Name,Year,Overall Pick
11,Luca Cunti,0, 0 
7,Ryan Nugent Hopkins,2011, 1 
7,Gabriel Landeskog,2011, 2 
4,Justin Vaive,0, 0 
4,Ivan Telegin,2010, 91 
18,Adam Larsson,2011, 3 
4,Tony Lucia,0, 0 
14,Jonathan Huberdeau,2011, 4 
1,Joey Leach,2010, 92 
21,Ryan Strome,2011, 5 
4,Niklas Lucenius,0, 0 
15,Stephen Silas,2010, 93 
4,Matt Watkins,0, 0 
18,Nicolas Blanchard,0, 0 
26,Sean Couturier,2011, 6 
4,David Skokan,0, 0 
4,Nick Larson,0, 0 
23,Mika Zibanejad,2011, 7 
25,Dougie Hamilton,2011, 8 
17,Mark Scheifele,2011, 9 
9,Jonas Brodin,2011, 10 
4,Corey Tropp,0, 0 
4,Vili Sopanen,0, 0 
16,Peter Olvecky,0, 0 
1,Sven Baertschi,2011, 11 
15,Ryan Murphy,2011, 12 
24,Bradley Eidsness,0, 0 
13,John Ramage,2010, 94 
9,Joel Armia,2011, 13 
12,Kevin Lalande,0, 0 
28,Nathan Beaulieu,2011, 14 
24,Nino Niederreiter,2010, 3 
5,Duncan Siemens,2011, 15 
24,Kyle Lawson,0, 0 
9,Oscar Klefbom,2011, 16 
4,Dennis Persson,0, 0 
4,Joseph Lavin,0, 0 
15,Jamieson Oleksiak,2011, 17 
24,Drew MacKenzie,0, 0 
4,Brett Bellemore,0, 0 
22,Maxim Chudinov,2010, 95 
8,Jonathan Miller,2011, 18 
1,Mark McNeill,2011, 19 
14,Connor Murphy,2011, 20 
4,Corbin McPherson,0, 0 
12,Joe Morrow,2011, 21 
21,Bill Arnold,2010, 96 
13,Ryan Garlock,0, 0 
5,Jerome Gauthier-Leduc,2010, 97 
27,Alexander Guptill,2010, 98 
21,Troy Rutkowski,2010, 99 
21,Stefan Noesen,2011, 22 
26,Carl Soderberg,0, 0 
14,Tyler Biggs,2011, 23 
13,Jonas Enlund,0, 0 
3,Wacey Rabbit,0, 0 
22,Vladislav Namestnikov,2011, 24 
7,Erik Gudbranson,2010, 4 
10,Matthew Puempel,2011, 25 
5,Zach Philips,2011, 26 
1,Stuart Percy,2011, 27 
7,Steven Shipley,2010, 100 
22,Nicklas Jensen,2011, 28 
26,Tomas Jurco,2011, 29 
21,Adam Janosik,2010, 101 
21,Phillip Danault,2011, 30 
20,Adam Pineault,0, 0 
27,Brandon Saad,2011, 31 
18,Boone Jenner,2011, 32 
27,Victor Rask,2011, 33 
23,Joey Hishon,2010, 5 
13,Jason Clark,2010, 102 
9,Ty Rattie,2011, 34 
15,Brandon Archibald,2010, 103 
29,Justin Shugg,2010, 104 
15,Rocco Grimaldi,2011, 35 
24,Joakim Nordstrom,2010, 105 
24,Mattias Modig,0, 0 
3,Ryan Johansen,2010, 6 
6,Stefan Ridderwall,0, 0 
24,Brian Foster,0, 0 
27,Adam Polasek,2010, 106 
24,Johan Fransson,0, 0 
19,Alexander Khokhlachev,2011, 36 
30,Alex Biega,0, 0 
26,David Musil,2011, 37 
12,John Gibson,2011, 38 
5,Rickard Rakell,2011, 39 
12,Ryan Sproul,2011, 40 
18,Eric Gryba,0, 0 
3,Dmitri Jaskin,2011, 41 
30,Jeff May,0, 0 
19,Austin Levi,2010, 107 
13,Riley Emmerson,0, 0 
3,Julian Melchiori,2010, 108 
13,Michael Chaput,2010, 109 
26,Yasin Cisse,2010, 110 
16,Joonas Donskoi,2010, 111 
16,Kevin Gravel,2010, 112 
13,Mike Hoeffel,0, 0 
15,Matthew Nieto,2011, 42 
28,Magnus Hellberg,2011, 43 
13,Frederik Cabana,0, 0 
13,Nico Sacchetti,0, 0 
16,Lucas Lessio,2011, 44 
13,Randy Cameron,0, 0 
13,Paul Carey,0, 0 
22,Mario Lucia,2011, 45 
26,Scott Mayfield,2011, 46 
13,Sergei Korostin,0, 0 
13,Stefan Legein,0, 0 
5,Brett Ritchie,2011, 47 
13,Carson McMillan,0, 0 
8,Christopher Gibson,2011, 48 
13,Tyler Plante,0, 0 
16,Johan Sundstrom,2011, 49 
13,Brad Phillips,0, 0 
23,Xavier Ouellet,2011, 50 
13,Colby Cohen,0, 0 
13,Michael Caruso,0, 0 
13,Derrick Lapoint,0, 0 
4,Joe Finley,0, 0 
26,Adam Clendening,2011, 51 
28,Joel Edmundson,2011, 52 
22,Rejean Beauchemin,0, 0 
30,Christoph Gawlik,0, 0 
20,Tomas Kana,0, 0 
27,Miikka Salomaki,2011, 53 
30,Leo Komarov,0, 0 
30,Brent Gwidt,0, 0 
30,Lukas Vantuch,0, 0 
30,Stephen Dixon,0, 0 
30,Andreas Valdix,0, 0 
30,Andrew Joudrey,0, 0 
30,Josh Beaulieu,0, 0 
30,Juuso Puustinen,0, 0 
8,Brady Calla,0, 0 
30,Jim Mckenzie,0, 0 
30,Steve Werner,0, 0 
30,Niklas Olausson,0, 0 
21,Markus Granlund,2011, 54 
30,Maxime Daigneault,0, 0 
30,Michael Dupont,0, 0 
30,Tomas Kudelka,0, 0 
30,R.J. Anderson,0, 0 
30,T.J. Miller,0, 0 
30,Alexander Budkin,0, 0 
30,Chris Peluso,0, 0 
30,Pavel Voroshnin,0, 0 
8,William Karlsson,2011, 55 
23,Johan Ryno,0, 0 
19,Rasmus Bengtsson,2011, 56 
27,Samu Perhonen,2011, 57 
