Name,Country,Age,Contract,Salary,Physical,Defense,Offense,Discpline,Exp,Lead,Potential
Alain Vigneault,CAN,50,2,1250000,72,90,85,72,85,81,78
Pat Quinn,CAN,68,1,2000000,90,71,83,78,99,80,54
Andy Murray,CAN,52,0,1575000,78,84,78,73,86,78,70
Barry Trotz,CAN,48,2,2250000,85,87,82,91,90,90,78
André Tourigny,CAN,37,2,500000,68,65,69,66,58,72,75
Bob Gainey,CAN,56,1,750000,79,72,76,78,92,75,58
Bob Hartley,CAN,51,2,1500000,86,71,74,80,83,81,85
Mark French,CAN,40,1,650000,68,58,69,60,62,66,75
Brad Shaw,CAN,46,0,500000,80,66,67,83,69,82,68
Brian Sutter,CAN,54,0,1000000,66,77,68,66,92,83,80
Bruce Boudreau,CAN,56,1,1400000,81,77,93,88,88,80,62
Bruce Cassidy,CAN,44,3,500000,66,71,68,66,72,80,98
Bryan Murray,CAN,68,3,800000,81,73,68,71,99,78,52
Bryan Trottier,CAN,53,3,450000,66,67,69,64,79,72,80
Claude Julien,CAN,51,2,2750000,90,93,91,89,88,83,72
Claude Noel,CAN,54,2,750000,71,65,76,70,71,71,76
Craig Hartsburg,CAN,52,1,1000000,66,68,69,66,80,84,86
Craig MacTavish,CAN,53,1,1000000,69,74,78,72,86,77,70
Curt Fraser,USA,52,0,1000000,90,72,61,64,80,77,68
Dan Marshall,CAN,43,0,0,74,64,56,65,75,58,67
Darryl Sutter,CAN,53,3,2000000,88,84,71,78,86,85,84
Dave Allison,CAN,50,1,650000,69,58,53,66,62,83,69
Dave Baseggio,CAN,41,2,400000,50,71,72,56,55,72,65
Dave Cameron,CAN,51,3,650000,75,54,57,78,70,69,70
Dave King,CAN,64,1,850000,62,76,64,65,92,70,62
Dave Lewis,CAN,56,1,2300000,66,73,71,68,90,78,71
Dave Tippett,CAN,50,3,2750000,88,80,81,81,85,84,76
Don Hay,CAN,55,1,850000,66,69,66,66,74,69,76
Don Lever,CAN,57,1,650000,58,73,71,79,83,86,64
Duane Sutter,CAN,50,0,850000,66,70,70,66,80,85,71
Gerard Gallant,CAN,46,1,1000000,69,70,70,77,81,86,94
Glen Hanlon,CAN,52,4,850000,76,71,66,70,85,83,82
Greg Gilbert,CAN,47,1,450000,67,66,69,69,80,79,76
Greg Ireland,CAN,44,2,700000,84,62,66,83,75,63,72
Guy Carbonneau,CAN,49,2,1250000,70,73,68,70,84,82,72
Guy Charron,CAN,60,1,800000,70,70,70,70,85,73,50
John Hynes,CAN,35,3,685000,72,68,62,70,60,70,80
Jacques Martin,CAN,59,1,1900000,70,82,81,79,91,82,56
Jim Schoenfeld,CAN,58,1,850000,66,70,70,66,89,81,72
Joel Quenneville,CAN,53,1,950000,76,88,89,80,87,80,68
John Anderson,CAN,53,1,650000,70,68,72,66,82,77,68
John Torchetti,USA,46,0,750000,70,70,70,70,79,81,82
John Tortorella,USA,53,2,2250000,95,90,69,86,87,78,68
Ken Hitchcock,CAN,60,1,3333333,90,94,78,76,93,74,54
Kevin Constantine,USA,51,2,1000000,74,68,64,70,86,78,68
Ray Edwards 3,CAN,41,3,650000,76,68,65,60,65,68,75
Kjell Samuelsson,SWE,52,0,625000,70,74,56,73,77,77,68
Kurt Kleinendorst,USA,50,2,700000,70,71,72,76,78,78,72
Larry Robinson,CAN,60,1,1500000,68,75,70,66,90,80,70
Lindy Ruff,CAN,51,3,1750000,76,84,86,86,96,83,72
Lorne Henning,CAN,57,0,0,68,71,70,70,91,74,56
Marc Crawford,CAN,50,2,1250000,72,74,75,72,84,79,74
Mark Morris,USA,53,0,750000,64,66,72,65,79,77,68
Michel Therrien,CAN,47,1,850000,68,71,69,70,81,80,78
Mike Babcock,CAN,48,2,3300000,76,85,94,96,86,82,78
Mike Haviland,USA,43,3,650000,75,72,72,66,77,84,86
Mike Keenan,CAN,60,1,1250000,77,76,81,81,95,66,50
Mike Kitchen,CAN,55,2,700000,72,77,70,74,84,83,80
Mike Sullivan,USA,43,1,700000,69,66,72,68,72,81,88
Craig Berube,CAN,47,1,725000,76,69,64,72,65,70,70
Pat Conacher,CAN,50,0,0,65,70,76,73,78,63,66
Paul Maurice,CAN,44,1,2750000,85,88,84,95,84,82,86
Peter Laviolette,USA,47,1,1650000,78,78,78,91,82,87,96
Randy Carlyle,CAN,55,1,950000,73,79,82,71,89,76,64
Randy Cunneyworth,CAN,50,1,600000,70,66,74,68,78,76,74
Rick Wilson,CAN,59,2,1200000,66,70,70,68,85,80,68
Robbie Ftorek,USA,57,1,1100000,66,68,71,66,91,81,72
Rob Daum,CAN,51,5,5000000,55,68,66,56,77,68,62
Ron Low,CAN,59,1,1034000,66,71,70,67,93,80,68
Ron Wilson,CAN,56,2,1750000,84,81,82,86,91,80,78
Ross Yates,CAN,50,5,5000000,59,65,72,81,75,68,76
Roy Sommer,USA,52,3,700000,81,66,66,76,79,77,66
Ryan McGill,CAN,42,1,600000,65,68,69,78,76,83,90
Scott Arniel,CAN,49,1,750000,70,71,70,76,80,79,76
Scott Gordon,USA,48,1,825000,81,68,69,76,81,80,78
Steve Ludzik,CAN,48,1,450000,68,70,70,69,80,79,74
Steve Stirling,CAN,60,3,1600000,70,71,76,69,82,73,50
Ted Nolan,CAN,52,2,750000,88,76,72,69,86,80,68
Terry Murray,CAN,60,2,2500000,89,83,75,78,95,79,52
Todd Richards,USA,45,0,600000,72,76,66,67,72,78,84
Tom Renney,CAN,56,1,650000,72,74,73,82,90,80,62
Tom Rowe,USA,53,1,700000,58,70,64,74,78,83,64
Tony Granato,USA,46,0,1080000,68,75,76,70,80,85,80
Trent Yawney,CAN,44,1,450000,70,72,70,68,79,80,70
Wayne Gretzky,CAN,48,3,2000000,72,68,72,70,83,76,70
John Paddock,CAN,55,5,700000,70,70,70,70,89,75,60
Brent Sutter,CAN,49,3,1875000,73,90,80,87,83,79,76
Kevin Dineen,CAN,48,2,1500000,70,72,70,69,78,76,80
Don Waddell,USA,51,3,800000,72,75,60,66,82,71,65
Denis Savard,CAN,48,2,850000,68,62,68,70,74,76,70
Guy Boucher,CAN,41,3,2000000,65,80,73,72,75,75,85
Kirk Muller,CAN,45,2,700000,67,70,68,74,69,78,75
Lane Lambert,CAN,45,1,500000,73,65,69,70,76,78,80
Ken Gernander,USA,40,1,600000,64,70,72,69,72,73,79
Cory Clouston,CAN,41,3,800000,84,80,76,83,79,80,92
John Stevens,CAN,45,2,1200000,79,77,90,61,80,81,84
Bob Woods,CAN,41,3,500000,68,72,65,76,54,76,79
Mike Yeo,CAN,38,1,1000000,71,66,69,66,66,75,80
Glen Gulutzan,CAN,41,1,1250000,67,72,72,70,76,75,80
Barry Melrose,CAN,53,0,5000000,81,66,72,68,82,62,64
Peter DeBoer,CAN,43,2,750000,77,84,77,90,77,82,88
Benoit Groulx,CAN,42,2,700000,70,70,70,70,76,82,88
Bill Peters,CAN,44,2,750000,70,70,70,70,79,81,82
Butch Goring,CAN,60,0,5000000,68,66,64,69,90,75,50
Todd McLellan,CAN,44,1,1500000,84,86,85,85,79,82,86
Davis Payne,CAN,41,2,1500000,74,77,71,75,76,82,92
Craig Ramsay,USA,58,0,5000000,68,76,65,77,75,74,54
Dale Hunter,CAN,51,3,1000000,86,75,71,61,80,86,72
Dan Bylsma,USA,41,3,2500000,88,78,86,82,81,85,92
Darren Rumble,CAN,40,0,5000000,65,71,66,65,62,73,90
Don Granato,USA,42,1,5000000,68,71,72,69,75,82,86
Gord Dineen,CAN,47,0,5000000,69,72,71,68,75,86,92
Jack Capuano,USA,43,2,800000,71,73,71,74,76,81,84
Jeff Daniels,CAN,42,2,750000,70,71,70,70,76,82,88
Jeff Truitt,CAN,44,1,5000000,67,56,65,70,68,71,82
Jim Playfair,CAN,45,0,5000000,82,74,66,67,80,80,80
Joe Sacco,USA,42,3,1500000,74,74,75,77,76,81,90
Rick Tocchet,CAN,47,1,750000,86,68,73,74,80,80,80
Rob Murray,CAN,44,1,650000,70,70,70,70,77,82,86
Ulf Samuelsson,SWE,47,0,0,76,71,59,68,65,65,70
Ray Edwards,CAN,41,3,650000,72,68,64,70,68,75,80
Ray Edwards,CAN,41,3,650000,77,73,62,65,70,70,80
Paul MacLean,CAN,53,2,750000,74,68,73,69,79,76,75
