Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,7,7,11,5,False,False
2,1,True,26,1,14,7,False,False
3,1,True,29,4,12,12,False,False
4,2,True,17,5,9,8,False,False
5,2,True,4,10,3,1,False,False
6,2,True,16,10,28,9,False,False
7,2,True,2,3,6,5,False,False
8,2,True,23,7,10,12,False,False
9,3,True,27,6,30,3,False,False
10,3,True,22,8,18,11,False,False
11,3,True,20,5,19,10,False,False
12,3,True,15,4,8,12,False,False
13,3,True,16,8,21,11,False,False
14,3,True,26,2,1,3,True,True
15,3,True,5,10,24,6,False,False
16,3,True,2,8,13,4,False,False
17,3,True,7,7,25,9,False,False
18,3,True,12,11,29,6,False,False
19,3,True,28,10,4,3,False,False
20,4,True,11,4,17,11,False,False
21,4,True,14,11,23,5,False,False
22,4,True,12,8,5,3,False,False
23,4,True,18,8,20,14,False,False
24,4,True,24,5,22,12,False,False
25,4,True,8,11,15,4,False,False
26,4,True,6,6,27,5,True,False
27,4,True,9,11,7,7,False,False
28,4,True,10,2,26,10,False,False
29,4,True,21,9,3,3,False,False
30,5,True,30,0,2,2,False,False
31,5,True,28,10,16,5,False,False
32,5,True,10,4,1,6,False,False
33,5,True,6,7,13,2,False,False
34,5,True,25,3,19,11,False,False
35,5,True,3,6,4,10,False,False
36,5,True,14,10,29,3,False,False
37,5,True,11,5,23,6,False,False
38,5,True,9,10,17,9,False,False
39,6,True,16,5,21,9,False,False
40,6,True,8,9,15,3,False,False
41,6,True,22,8,20,5,False,False
42,6,True,12,4,5,3,True,True
43,6,True,30,3,27,6,False,False
44,6,True,24,9,18,4,False,False
45,6,True,7,3,25,6,False,False
46,6,True,1,0,26,2,False,False
47,6,True,13,8,2,5,False,False
48,6,True,4,2,28,4,False,False
49,7,True,27,6,6,5,True,False
50,7,True,11,2,9,4,False,False
51,8,True,23,2,10,11,False,False
52,8,True,26,5,14,6,False,False
53,8,True,19,8,22,5,False,False
54,8,True,29,5,8,11,False,False
55,8,True,18,4,24,5,True,True
56,8,True,2,2,30,3,True,False
57,8,True,15,5,12,11,False,False
58,8,True,17,5,7,6,False,False
59,8,True,3,5,16,10,False,False
60,8,True,25,4,11,8,False,False
61,8,True,6,6,13,2,False,False
62,9,True,23,5,1,9,False,False
63,9,True,24,5,20,6,False,False
64,9,True,28,6,21,3,False,False
65,9,True,15,2,5,7,False,False
66,9,True,18,1,19,8,False,False
67,9,True,16,2,4,9,False,False
68,9,True,25,6,9,12,False,False
69,9,True,30,2,27,5,False,False
70,9,True,26,8,10,5,False,False
71,9,True,7,6,22,7,False,False
72,9,True,8,8,3,5,False,False
73,10,True,1,5,14,12,False,False
74,10,True,11,7,17,4,False,False
75,10,True,12,7,29,8,False,False
76,10,True,6,5,2,6,True,True
77,10,True,4,4,28,3,False,False
78,10,True,27,9,13,3,False,False
79,10,True,20,3,21,11,False,False
80,10,True,5,11,9,6,False,False
81,11,True,8,2,15,4,False,False
82,11,True,22,6,24,10,False,False
83,11,True,19,8,18,5,False,False
84,11,True,7,4,25,6,False,False
85,11,True,26,8,23,2,False,False
86,11,True,6,2,30,4,False,False
87,11,True,3,4,16,7,False,False
88,12,True,9,1,11,2,False,False
89,12,True,29,4,12,3,False,False
90,12,True,5,4,8,3,False,False
91,12,True,17,7,7,5,False,False
92,12,True,10,2,26,3,False,False
93,12,True,22,2,20,9,False,False
94,12,True,1,4,14,5,True,False
95,12,True,18,2,19,5,False,False
96,12,True,4,4,28,6,False,False
97,12,True,13,2,2,6,False,False
98,12,True,21,1,27,7,False,False
99,12,True,30,6,25,5,True,False
100,13,True,27,2,6,6,False,False
101,13,True,16,7,3,3,False,False
102,13,True,29,5,15,4,False,False
103,13,True,1,15,23,4,False,False
104,14,True,19,7,24,3,False,False
105,14,True,26,8,10,7,True,False
106,14,True,12,3,5,2,False,False
107,14,True,7,4,17,10,False,False
108,14,True,21,3,4,5,False,False
109,14,True,9,9,11,2,False,False
110,14,True,2,3,30,4,False,False
111,14,True,15,4,8,6,False,False
112,14,True,22,5,18,2,False,False
113,14,True,13,5,6,8,False,False
114,14,True,28,8,16,1,False,False
115,14,True,25,10,20,4,False,False
116,15,True,12,6,29,8,False,False
117,15,True,14,7,1,1,False,False
118,15,True,20,6,22,4,False,False
119,15,True,25,3,7,4,False,False
120,16,True,23,1,26,2,False,False
121,16,True,4,3,3,1,False,False
122,16,True,1,6,10,4,False,False
123,16,True,16,4,21,2,False,False
124,16,True,15,2,5,4,False,False
125,16,True,24,5,19,4,False,False
126,16,True,27,9,13,3,False,False
127,16,True,11,4,17,7,False,False
128,16,True,8,3,14,10,False,False
129,16,True,18,0,9,11,False,False
130,17,True,29,1,12,8,False,False
131,17,True,6,5,2,6,True,False
132,17,True,3,3,28,4,True,False
133,17,True,27,9,30,5,False,False
134,17,True,26,6,23,3,False,False
135,17,True,20,3,24,7,False,False
136,17,True,19,7,22,2,False,False
137,17,True,9,3,25,1,False,False
138,17,True,21,2,4,3,False,False
139,17,True,7,7,18,3,False,False
140,18,True,17,2,11,3,True,False
141,18,True,15,4,8,3,False,False
142,18,True,14,4,1,5,True,True
143,18,True,5,8,29,0,False,False
144,18,True,10,6,16,15,False,False
145,18,True,13,7,6,3,False,False
146,19,True,8,7,12,8,False,False
147,19,True,30,1,27,2,False,False
148,19,True,5,8,15,1,False,False
149,19,True,9,5,7,0,False,False
150,19,True,23,2,26,4,False,False
151,20,True,4,4,21,1,False,False
152,20,True,28,4,3,1,False,False
153,20,True,24,3,20,2,False,False
154,20,True,13,6,2,8,False,False
155,20,True,18,0,19,5,False,False
156,20,True,1,7,10,6,False,False
157,20,True,26,3,14,4,False,False
158,20,True,25,4,17,2,False,False
159,20,True,6,8,22,4,False,False
160,20,True,16,7,29,2,False,False
161,21,True,9,0,11,2,False,False
162,21,True,15,2,5,3,True,False
163,21,True,1,8,23,4,False,False
164,21,True,27,4,30,3,False,False
165,21,True,2,4,13,1,False,False
166,21,True,19,3,24,1,False,False
167,21,True,3,0,28,3,False,False
168,21,True,12,3,8,7,False,False
169,21,True,16,3,4,10,False,False
170,21,True,22,1,18,3,False,False
171,21,True,17,1,25,3,False,False
172,22,True,11,3,7,7,False,False
173,22,True,30,4,6,6,False,False
174,22,True,21,2,9,3,False,False
175,23,True,2,3,27,2,True,False
176,23,True,10,1,1,4,False,False
177,23,True,15,2,12,6,False,False
178,23,True,14,3,26,1,False,False
179,24,True,28,4,16,3,True,True
180,24,True,29,4,15,3,True,False
181,24,True,22,2,20,3,True,False
182,24,True,6,3,13,2,False,False
183,25,True,19,3,24,1,False,False
184,25,True,8,1,5,5,False,False
185,25,True,4,7,3,1,False,False
186,25,True,25,3,17,4,True,False
187,25,True,26,4,23,2,False,False
188,25,True,28,1,21,4,False,False
189,25,True,14,8,10,4,False,False
190,25,True,20,7,18,2,False,False
191,25,True,7,3,11,5,False,False
192,25,True,2,3,30,1,False,False
193,25,True,9,6,29,1,False,False
194,25,True,27,2,1,1,False,False
195,26,True,1,2,14,3,True,False
196,26,True,22,1,19,9,False,False
197,26,True,15,2,12,7,False,False
198,26,True,6,5,2,4,False,False
199,26,True,5,7,8,2,False,False
200,26,True,16,5,4,6,False,False
201,26,True,9,7,25,2,False,False
202,26,True,13,2,27,3,False,False
203,26,True,11,5,7,3,False,False
204,26,True,21,1,26,7,False,False
205,26,True,30,5,3,0,False,False
206,27,True,16,3,28,6,False,False
207,27,True,20,10,22,4,False,False
208,27,True,29,6,15,3,False,False
209,27,True,23,2,6,5,False,False
210,27,True,18,4,10,11,False,False
211,28,True,17,1,9,2,False,False
212,28,True,18,1,24,7,False,False
213,28,True,8,2,5,8,False,False
214,28,True,20,3,19,4,False,False
215,28,True,27,3,13,2,False,False
216,28,True,23,3,14,4,True,False
217,28,True,3,2,21,1,True,False
218,28,True,7,0,11,3,False,False
219,28,True,2,2,25,1,True,False
220,28,True,30,5,12,3,False,False
221,29,True,4,4,16,3,True,False
222,29,True,25,4,17,5,True,True
223,29,True,3,1,28,7,False,False
224,30,True,15,4,29,1,False,False
225,30,True,24,8,20,2,False,False
226,31,True,1,8,23,2,False,False
227,31,True,19,3,22,0,False,False
228,31,True,30,5,2,1,False,False
229,32,True,5,3,8,1,False,False
230,32,True,20,5,18,4,False,False
231,32,True,21,4,4,3,False,False
232,32,True,10,8,26,2,False,False
233,32,True,27,1,6,3,False,False
234,32,True,11,2,7,4,False,False
235,32,True,17,1,9,6,False,False
236,32,True,14,5,1,2,False,False
237,32,True,13,3,30,5,False,False
238,32,True,12,10,16,9,False,False
239,32,True,25,2,15,4,False,False
240,33,True,2,2,27,1,True,True
241,33,True,22,5,24,12,False,False
242,33,True,23,1,10,6,False,False
243,33,True,28,3,3,0,False,False
244,33,True,5,6,29,2,False,False
245,33,True,12,1,19,6,False,False
246,33,True,9,2,17,1,False,False
247,33,True,20,5,13,4,True,False
248,33,True,21,0,14,7,False,False
249,33,True,6,2,4,1,True,True
250,33,True,8,6,18,2,False,False
251,34,True,25,8,11,2,False,False
252,34,True,26,6,23,2,False,False
253,34,True,30,3,28,2,True,True
254,34,True,16,3,1,4,False,False
255,34,True,15,3,7,6,False,False
256,34,True,29,2,2,3,True,False
257,34,True,24,6,22,1,False,False
258,35,True,4,2,21,1,False,False
259,35,True,10,4,5,8,False,False
260,35,True,12,6,8,2,False,False
261,35,True,18,2,20,7,False,False
262,36,True,13,1,6,9,False,False
263,36,True,7,1,9,6,False,False
264,36,True,19,2,27,3,False,False
265,36,True,17,2,25,1,False,False
266,36,True,3,4,30,3,True,False
267,37,True,14,5,26,2,False,False
268,37,True,8,2,12,5,False,False
269,37,True,5,3,15,1,False,False
270,37,True,4,4,16,3,False,False
271,37,True,22,2,24,5,False,False
272,38,True,1,2,10,1,False,False
273,38,True,21,1,28,4,False,False
274,38,True,25,2,11,5,False,False
275,38,True,14,3,23,0,False,False
276,38,True,5,9,29,3,False,False
277,38,True,20,4,19,6,False,False
278,38,True,2,6,13,4,False,False
279,38,True,16,6,3,3,False,False
280,38,True,9,6,17,3,False,False
281,38,True,24,5,18,0,False,False
282,38,True,6,5,7,4,True,True
283,39,True,4,4,21,0,False,False
284,39,True,2,2,27,4,False,False
285,39,True,13,0,30,3,False,False
286,39,True,15,4,12,6,False,False
287,39,True,20,8,22,3,False,False
288,39,True,23,3,26,6,False,False
289,39,True,29,7,8,8,False,False
290,39,True,25,0,1,7,False,False
291,39,True,11,0,9,7,False,False
292,39,True,3,2,6,4,False,False
293,39,True,7,7,10,2,False,False
294,40,True,16,2,14,3,False,False
295,40,True,24,1,5,2,False,False
296,40,True,28,2,4,5,False,False
297,40,True,12,6,15,1,False,False
298,40,True,22,0,19,3,False,False
299,40,True,18,4,17,5,True,True
300,40,True,30,1,8,8,False,False
301,40,True,27,3,26,4,True,False
302,41,True,23,8,2,5,False,False
303,41,True,19,3,20,4,True,True
304,41,True,11,4,25,2,False,False
305,41,True,3,2,16,9,False,False
