Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Crunch,SYR,Syracuse,Pacific Division,Western Conference,0,0,0,1211046,1314250,7870,74,82,70,False,10,0,X,W2,6,2,0,1,1,0,0,82,44,25,0,3,4,4,2,108,304,239,41,26,11,0,1,1,2,0,148,111,412,187,334,122,3,1695,1960,661,360,639,668,54,58,124,115,10,94055,105907,97804,40960,50679,59141,4,304,492,796,1309,1586,854,1444,822,1372,775,1228,1,
2,IceCaps,STJ,St John's,Southeast Division,Eastern Conference,0,0,0,643072,583000,3491,25,82,51,False,21,0,X,L5,4,6,0,0,0,0,0,82,36,34,0,4,5,2,1,90,355,336,41,14,19,0,2,4,1,1,172,183,343,192,332,178,5,2589,2113,677,692,910,965,29,39,146,164,7,100292,112359,84325,42897,69166,41851,2,355,587,942,1544,1375,621,1323,820,1683,806,1556,1,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,0,0,0,235524,373750,2238,34,82,34,False,22,0,E,W1,4,6,0,0,0,0,0,82,16,58,0,6,2,0,0,46,229,394,41,6,32,0,3,0,0,0,100,205,295,104,383,210,6,1613,2041,682,366,576,657,14,32,75,116,6,118392,94028,83667,48781,54504,35771,0,229,417,646,1293,1144,455,1210,485,1159,686,1574,0,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,1272636,862000,5162,79,82,81,False,8,0,Y,W1,5,4,0,0,0,1,0,82,49,23,0,3,0,3,4,114,327,207,41,25,10,0,1,0,2,3,175,112,401,182,351,113,9,2144,1964,643,557,796,777,35,65,130,126,8,96075,111598,89820,40423,59598,52169,6,327,512,839,1532,1870,948,1529,1003,1510,837,1303,1,
5,Heat,ABH,Abbotsford,Northwest Division,Western Conference,371,377,382,405898,337167,2019,119,82,81,False,2,0,Y,W6,9,1,0,0,0,0,0,82,59,16,0,2,1,3,1,130,379,196,41,28,11,0,1,0,0,1,177,107,355,220,374,122,13,2410,1969,666,629,873,895,31,55,147,172,6,105497,109603,81650,44306,66867,39445,8,379,643,1022,1257,1264,876,1659,791,1449,813,1496,0,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,1201475,1176000,7042,120,82,79,False,9,0,X,OTL1,7,2,0,0,1,0,0,82,48,19,0,1,6,6,2,118,353,249,41,26,10,0,0,1,3,1,179,119,413,218,323,132,9,2296,2077,635,538,826,909,58,53,155,138,16,95817,112132,90225,40876,61322,51517,5,353,563,916,1458,1892,808,1447,927,1561,837,1382,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,932278,1047750,6274,57,82,31,False,29,0,E,W1,3,7,0,0,0,0,0,82,18,59,0,1,0,1,3,43,219,381,41,10,27,0,1,0,1,2,114,187,288,100,355,192,7,1436,1941,669,323,527,574,27,13,107,97,3,113614,99599,83216,48505,59028,36556,0,219,410,629,959,1172,446,1143,396,1037,596,1499,4,
8,Monsters,LEM,Lake  Erie,Northwest Division,Western Conference,0,0,0,503791,656250,3930,123,82,71,False,1,0,X,W9,9,0,0,0,1,0,0,82,55,23,0,1,1,0,2,115,432,262,41,30,9,0,1,0,0,1,230,119,390,263,357,148,6,2864,1933,627,793,959,1107,11,52,156,223,3,100993,115562,79617,41981,72621,39467,6,432,733,1165,1376,1798,748,1458,924,1740,906,1631,2,
9,Falcons,SPR,Springfield,Central Division,Western Conference,437,0,458,756385,1208500,7237,104,82,92,False,19,0,Z,W3,6,3,0,1,0,0,0,82,57,15,0,4,1,4,1,132,359,219,41,30,6,0,1,1,2,1,186,108,391,199,338,114,11,2039,1793,612,528,703,795,29,60,146,145,11,99463,105165,92627,43458,53989,51731,7,359,558,917,1372,1588,850,1405,833,1351,883,1422,1,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,463929,480500,2877,93,82,46,False,5,0,E,SOW1,6,3,0,0,0,1,0,82,37,35,0,1,7,1,1,86,386,352,41,20,16,0,0,5,0,0,206,183,366,242,322,170,9,2537,1990,667,639,916,973,16,63,173,148,3,105048,108464,83123,42810,65239,41385,3,386,659,1045,1398,1553,579,1059,868,1604,924,1628,1,
