Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProMinPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmMinPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1,Jonas Gustavsson,,24,SWE,1984-07-01,192,75,1,False,False,False,False,False,True,True,False,0,5000000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,2,2,2,2,2,2,2,2,85,81,81,82,87,88,86,86,88,87,79,65,65,50,58,81,15,40471,4,6,0,0,27,315,143,2,0,0,0,9,72,2,1,1,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,Ondrej Pavelec,,1,CZE,1987-07-01,200,74,1,False,False,False,False,False,True,True,False,0,2250000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,88,85,85,82,91,90,90,90,92,90,81,59,59,50,69,83,43,145008,18,17,5,0,117,1116,461,0,0,18,7,40,42,0,3,2,1,0,0,3556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,Nikolai Khabibulin,,25,RUS,1973-07-01,196,73,2,False,False,False,False,False,True,True,False,0,3000000,3000000,0,0,0,0,0,0,0,0,,0,100,0,3,3,2,2,2,2,2,2,2,2,83,80,80,80,82,85,84,85,83,85,92,94,94,50,63,82,24,84035,12,7,4,0,57,703,320,0,2,15,7,23,45,1,3,3,5,0,0,4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,Ray Emery,,11,CAN,1982-07-01,200,72,2,False,False,False,False,True,True,True,False,0,1500000,1500000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,89,76,76,79,86,87,89,89,89,88,84,69,69,50,20,80,4,9905,1,1,0,0,12,96,37,0,1,0,0,2,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,Miikka Kiprusoff,,20,FIN,1976-07-01,190,74,3,False,False,False,False,False,True,True,False,0,7900000,7900000,7900000,0,0,0,0,0,0,0,,0,98,0,3,2,2,2,2,2,2,2,2,2,92,90,90,80,93,92,94,92,92,86,91,85,85,50,30,87,70,245817,31,28,10,2,185,1987,875,8,2,51,13,70,13,2,10,9,1,779,1086,10528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,Alexander Salak,,0,CZK,1987-07-01,180,73,0,True,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,60,50,65,75,60,60,60,57,60,61,59,47,47,50,50,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,Jonathan Bernier,,25,CAN,1988-07-01,184,71,1,True,False,False,False,False,True,True,False,0,1150000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,87,80,80,74,86,88,89,87,87,88,64,57,57,50,62,78,12,43645,4,6,2,0,36,344,130,0,0,6,3,12,2,0,0,0,0,0,0,888,32,114934,27,3,2,3,67,692,294,2,4,3,1,32,0,0,1,3,4,0,0,3430,False
8,Curtis McElhinney,,22,CAN,1983-07-01,193,73,1,False,False,False,False,False,True,True,False,0,750000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,81,66,66,82,84,83,84,85,85,84,79,57,57,50,56,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,Kari Lehtonen,,9,FIN,1983-07-01,200,75,1,False,False,False,False,False,True,True,False,0,2900000,0,0,0,0,0,0,0,0,0,,0,99,0,3,3,3,3,3,3,3,3,3,2,92,80,80,85,92,89,89,93,93,90,77,67,67,50,53,84,67,237568,34,22,10,2,158,1864,813,4,8,43,14,66,16,1,8,6,5,257,257,11466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,Martin Biron,,17,CAN,1977-07-01,190,73,1,False,False,False,False,False,True,True,False,0,4850000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,87,79,79,84,87,87,88,89,88,88,86,77,77,50,37,83,20,64409,7,8,3,0,46,548,230,0,1,25,5,17,65,0,2,0,0,0,0,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
