Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProMinutePlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPMinutePlay,ProPKG,ProPKA,ProPKShots,ProPKMinutePlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmMinutePlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPMinutePlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKMinutePlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1580,Tommy Sestito,,15,USA,1987-07-01,228,77,False,True,False,False,3,True,False,False,False,False,True,True,False,0,550000,550000,550000,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,91,52,88,64,88,84,84,65,50,53,53,66,53,54,54,50,51,62,3,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1074,0,0,0,0,11,0,0,0,29,0,1,46,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,Kyle Quincey,,17,CAN,1985-07-01,207,73,False,False,False,True,1,False,False,False,False,False,True,True,False,0,3100000,0,0,0,0,0,0,0,0,0,Fractured Right Foot Injury,49,82,0,2,2,2,2,2,2,2,2,2,2,77,42,64,75,78,88,83,73,40,76,67,77,57,64,64,50,15,72,62,51,1,14,15,-4,121,5,82,21,20,110,115,0,0,2,4,0,0,0,81901,0,1,1,3,2645,0,0,3,12542,22,57,6370,0,1,0,0,0,0,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,True
3,Radim Vrbata,,13,CZE,1981-07-01,191,71,False,False,True,False,1,False,False,False,False,False,True,True,False,0,2100000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,2,2,2,2,64,44,88,81,70,90,95,77,60,73,80,71,94,74,74,50,34,74,84,175,15,27,42,-11,38,10,23,49,86,78,94,0,0,36,92,3,7,0,84529,0,7,9,34,15031,0,0,1,1563,45,17,9588,1,2,0,0,6,5,100,360,5810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,False
4,Luke Schenn,,8,CAN,1989-07-01,216,74,False,False,False,True,2,False,False,False,False,False,True,True,False,0,3250000,3250000,0,0,0,0,0,0,0,0,,13,99,0,3,3,3,3,2,2,2,2,2,2,99,53,87,75,82,88,95,68,40,70,65,79,59,60,60,50,49,74,79,117,8,22,30,-33,48,10,112,53,43,207,168,0,0,0,0,0,0,0,130501,0,7,12,27,19460,0,0,7,14220,48,78,10561,0,1,0,0,1,0,70,70,6525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,False
5,Bryan Bickell,,19,CAN,1986-07-01,223,76,False,True,False,False,2,False,False,False,False,False,True,True,False,0,542000,542000,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,93,48,84,69,87,86,95,71,45,70,72,67,71,58,58,50,45,70,57,66,5,1,6,-1,14,0,8,25,41,93,35,2,0,9,19,1,1,0,38907,0,1,0,1,1509,1,0,1,4736,10,13,2735,0,0,0,1,0,1,0,75,2895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,Joel Ward,,27,CAN,1980-07-01,220,74,False,True,True,False,2,False,False,False,False,False,True,True,False,0,1500000,1500000,0,0,0,0,0,0,0,0,,0,100,0,3,2,2,2,2,2,2,2,2,2,64,43,86,68,84,87,95,69,80,69,68,75,68,65,70,50,59,70,82,96,9,11,20,11,39,5,23,13,53,104,91,1,0,24,40,0,0,0,66921,0,0,0,1,3162,0,0,5,9588,12,23,5138,0,0,0,1,0,3,455,505,4720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,False
7,Chuck Kobasew,,17,CAN,1982-07-01,195,71,False,True,True,False,1,False,False,False,False,False,True,True,False,0,2400000,0,0,0,0,0,0,0,0,0,Torso Injury,13,88,0,2,2,2,2,2,2,2,2,2,2,64,46,85,76,70,87,68,66,60,64,66,68,68,65,65,50,27,66,82,118,6,10,16,-9,20,0,25,40,81,66,104,2,0,15,41,0,1,0,71937,0,0,1,5,3129,0,1,3,6438,18,15,6665,0,0,0,0,2,0,10,35,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,True
8,Jordan Staal,,15,CAN,1988-07-01,220,75,True,False,False,False,2,False,False,False,False,False,True,True,False,0,3900000,3900000,0,0,0,0,0,0,0,0,,5,98,0,3,3,3,3,3,3,3,2,2,2,82,40,81,80,85,84,79,74,76,75,71,84,74,63,63,50,26,74,79,224,23,29,52,8,56,10,37,61,131,140,163,5,0,569,1117,2,7,0,97288,0,5,10,20,12853,0,1,7,15002,52,35,12974,0,0,2,1,2,5,175,325,9530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,False
9,Jay McClement,,28,CAN,1983-07-01,190,73,True,False,False,False,3,False,False,False,False,False,True,True,False,0,1600000,1600000,1600000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,2,67,42,85,76,70,90,95,66,86,67,63,79,67,68,68,50,80,70,77,97,7,8,15,6,6,0,19,29,57,68,96,1,1,148,279,0,0,0,46311,0,0,1,0,726,0,0,3,8846,11,11,4458,0,0,0,0,1,2,0,0,4150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,False
10,Jeff Schultz,,11,CAN,1986-07-01,230,70,False,False,False,True,3,False,False,False,False,False,True,True,False,0,2750000,2750000,2750000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,2,2,2,2,59,40,88,68,90,88,85,65,40,66,61,77,54,60,60,50,34,70,80,40,1,8,9,-7,15,5,72,16,19,52,94,0,0,0,0,0,0,0,75578,0,0,0,1,2714,0,0,1,9419,9,46,4488,0,1,1,0,0,1,60,70,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,False
11,Gilbert Brule,,7,CAN,1987-07-01,173,68,False,False,True,False,1,False,False,False,False,False,True,True,False,0,900000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,91,51,73,78,54,79,60,67,87,67,67,67,69,64,64,50,57,65,13,16,1,3,4,6,0,0,0,6,8,10,8,0,0,3,4,0,0,0,5797,0,0,0,0,236,0,0,0,63,6,0,652,0,0,0,0,0,0,0,0,1050,1,5,2,1,3,2,0,0,0,1,4,1,1,1,0,0,1,0,0,0,1420,0,1,0,1,225,0,0,0,245,1,0,246,0,0,0,0,0,1,0,1,1,0,0,0,625,False
12,Nate Thompson,,13,USA,1984-07-01,206,72,True,False,False,False,4,False,False,False,False,False,True,True,False,0,1000000,1000000,1000000,1000000,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,2,2,2,2,78,68,84,68,77,84,95,67,89,68,65,77,67,65,65,50,64,69,82,123,7,11,18,-15,28,10,25,43,70,133,135,1,1,357,644,1,1,0,67283,0,0,0,1,837,0,0,3,9320,15,22,5968,0,0,1,0,0,1,220,220,4205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,False
13,Steve Bernier,,14,CAN,1985-07-01,200,72,False,False,True,False,2,False,False,False,False,False,True,True,False,0,2000000,2000000,0,0,0,0,0,0,0,0,,15,100,0,3,3,3,3,3,3,3,3,3,3,82,46,88,71,86,88,79,65,60,66,63,66,66,63,63,50,32,67,67,112,10,7,17,0,20,10,21,28,60,108,59,3,1,29,68,0,1,0,53892,0,1,0,5,3110,0,0,1,1568,12,18,4430,0,0,2,0,2,2,0,0,4810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,False
14,Carl Gunnarsson,,28,SWE,1986-07-01,196,74,False,False,False,True,3,True,False,False,False,False,True,True,False,0,1400000,1400000,1400000,0,0,0,0,0,0,0,,13,100,0,3,3,3,3,3,3,3,3,3,2,71,40,86,72,73,86,95,70,40,74,64,76,59,61,61,50,30,71,67,66,1,10,11,7,26,10,60,26,30,56,85,0,0,0,0,0,0,0,77881,0,0,0,4,8690,0,0,0,11060,15,39,6100,0,0,2,1,0,0,270,270,2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False
15,Alex Pietrangelo,,9,CAN,1990-07-01,206,75,False,False,False,True,4,True,False,False,False,False,True,True,False,0,5000000,5000000,5000000,5000000,0,0,0,0,0,0,,0,97,0,3,3,3,3,3,3,3,3,3,2,58,45,88,78,77,87,95,75,40,79,71,74,65,58,58,50,55,72,82,191,6,33,39,-3,32,10,98,78,78,107,162,3,0,0,0,0,1,0,128719,0,3,14,28,17687,0,0,5,16820,64,69,16309,0,0,2,2,0,3,240,415,6725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False
16,Dan Fritsche,,0,USA,1985-07-01,204,73,True,False,False,False,0,False,False,False,False,True,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,71,42,79,69,77,75,75,63,61,64,62,63,62,66,65,50,50,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
