Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,22,4,3,2,False,False
2,1,True,16,5,28,6,True,False
3,1,True,24,0,29,2,False,False
4,2,True,1,5,4,4,True,True
5,2,True,20,3,14,4,True,True
6,2,True,27,4,6,2,False,False
7,2,True,17,2,9,1,False,False
8,2,True,21,3,11,2,False,False
9,2,True,7,5,10,4,True,False
10,3,True,20,2,1,3,False,False
11,3,True,4,1,14,2,False,False
12,3,True,27,3,3,1,False,False
13,3,True,22,2,18,4,False,False
14,3,True,21,2,28,3,True,True
15,3,True,6,3,30,5,False,False
16,3,True,9,2,15,3,True,False
17,3,True,13,3,19,2,False,False
18,3,True,17,1,25,4,False,False
19,3,True,10,2,7,5,False,False
20,3,True,11,5,8,4,False,False
21,3,True,24,5,5,7,False,False
22,3,True,23,4,26,1,False,False
23,4,True,16,1,2,5,False,False
24,4,True,24,2,12,5,False,False
25,5,True,8,2,3,3,True,False
26,5,True,6,1,18,3,False,False
27,5,True,15,3,19,5,False,False
28,5,True,5,4,25,3,True,True
29,5,True,29,1,9,3,False,False
30,5,True,27,4,30,3,False,False
31,5,True,23,5,10,3,False,False
32,6,True,13,3,24,2,False,False
33,6,True,15,3,21,2,True,True
34,7,True,8,3,9,2,False,False
35,7,True,3,1,6,4,False,False
36,7,True,29,1,22,3,False,False
37,8,True,14,6,18,1,False,False
38,8,True,27,4,19,5,False,False
39,8,True,30,2,24,1,False,False
40,8,True,29,4,11,2,False,False
41,8,True,5,3,16,4,False,False
42,8,True,8,3,21,2,False,False
43,8,True,12,4,15,3,True,True
44,8,True,23,1,17,4,False,False
45,8,True,2,2,7,7,False,False
46,8,True,25,4,10,2,False,False
47,9,True,6,0,4,3,False,False
48,9,True,26,5,1,4,True,True
49,10,True,8,1,16,2,False,False
50,10,True,20,2,19,4,False,False
51,10,True,14,5,22,4,True,True
52,10,True,2,1,23,3,False,False
53,10,True,4,4,24,2,False,False
54,10,True,5,2,28,3,True,False
55,10,True,21,3,30,2,False,False
56,10,True,27,2,13,3,True,True
57,10,True,9,0,10,2,False,False
58,10,True,11,7,15,6,False,False
59,10,True,18,3,17,1,False,False
60,10,True,3,2,7,1,False,False
61,10,True,29,1,12,4,False,False
62,10,True,25,2,26,4,False,False
63,11,True,25,4,1,3,False,False
64,12,True,8,3,28,4,False,False
65,12,True,13,2,27,3,False,False
66,12,True,24,4,2,5,True,True
67,12,True,17,1,12,2,True,False
68,12,True,1,2,26,1,False,False
69,13,True,6,2,3,3,False,False
70,13,True,10,3,9,4,False,False
71,13,True,13,3,30,2,True,True
72,13,True,4,2,16,1,False,False
73,13,True,22,1,21,2,False,False
74,13,True,24,4,15,3,True,False
75,13,True,12,1,5,3,False,False
76,13,True,7,0,23,1,False,False
77,13,True,20,2,29,4,False,False
78,13,True,25,6,14,2,False,False
79,14,True,2,4,28,3,True,False
80,15,True,28,4,3,2,False,False
81,15,True,30,1,22,3,False,False
82,15,True,16,2,24,4,False,False
83,15,True,4,4,13,2,False,False
84,15,True,2,3,21,2,False,False
85,15,True,19,4,27,3,True,True
86,15,True,20,3,5,5,False,False
87,15,True,7,2,8,1,False,False
88,15,True,15,1,12,3,False,False
89,15,True,14,2,23,3,False,False
90,15,True,17,0,29,1,False,False
91,16,True,26,2,18,5,False,False
92,16,True,9,0,11,3,False,False
93,16,True,6,5,25,1,False,False
94,16,True,10,2,1,4,False,False
95,17,True,17,4,5,1,False,False
96,17,True,15,3,29,1,False,False
97,17,True,26,1,3,3,False,False
98,17,True,28,5,16,0,False,False
99,17,True,9,4,21,5,False,False
100,17,True,25,4,22,2,False,False
101,17,True,18,1,24,3,False,False
102,17,True,4,7,27,2,False,False
103,17,True,6,2,2,3,True,True
104,17,True,11,3,30,2,False,False
105,17,True,19,1,13,7,False,False
106,17,True,8,5,7,0,False,False
107,17,True,20,3,12,0,False,False
108,17,True,10,4,14,3,True,True
109,18,True,23,3,1,4,True,False
110,19,True,28,1,22,2,False,False
111,19,True,13,2,16,3,True,True
112,19,True,20,2,2,4,False,False
113,20,True,27,4,4,5,False,False
114,20,True,21,4,6,1,False,False
115,20,True,11,2,9,4,False,False
116,20,True,24,3,19,4,False,False
117,20,True,26,1,17,3,False,False
118,20,True,1,1,7,3,False,False
119,20,True,29,2,12,4,False,False
120,20,True,10,4,23,3,False,False
121,20,True,18,8,14,5,False,False
122,21,True,22,4,16,3,False,False
123,21,True,8,6,5,3,False,False
124,21,True,25,3,29,2,True,False
125,22,True,16,3,3,6,False,False
126,22,True,9,3,4,2,True,False
127,22,True,28,3,20,2,True,False
128,22,True,2,0,22,4,False,False
129,22,True,19,2,24,1,True,True
130,22,True,13,4,21,1,False,False
131,22,True,1,6,15,4,False,False
132,22,True,27,4,17,1,False,False
133,22,True,14,2,10,3,True,True
134,22,True,30,2,12,4,False,False
135,22,True,18,2,23,3,True,False
136,23,True,7,2,6,3,True,True
137,23,True,26,2,11,1,True,False
138,23,True,25,1,5,4,False,False
139,23,True,12,2,8,3,False,False
140,24,True,21,3,20,2,True,False
141,24,True,13,3,4,2,False,False
142,24,True,3,3,16,4,True,True
143,24,True,26,2,19,4,False,False
144,24,True,6,3,22,1,False,False
145,24,True,2,3,27,2,False,False
146,24,True,24,1,28,2,False,False
147,24,True,18,2,10,3,False,False
148,24,True,11,2,15,3,False,False
149,24,True,1,2,17,1,True,False
150,24,True,9,1,7,4,False,False
151,24,True,14,2,23,5,False,False
152,24,True,30,4,29,2,False,False
153,25,True,1,1,9,2,False,False
154,25,True,28,4,21,3,False,False
155,25,True,14,0,8,4,False,False
156,25,True,25,1,12,2,False,False
157,26,True,26,2,20,3,True,False
158,26,True,2,1,13,2,True,True
159,26,True,17,2,7,3,False,False
160,27,True,21,2,3,3,False,False
161,27,True,27,4,6,5,False,False
162,27,True,1,4,30,3,False,False
163,27,True,15,3,11,2,False,False
164,27,True,29,0,5,3,False,False
165,28,True,22,3,4,4,False,False
166,28,True,28,3,18,2,False,False
167,28,True,23,1,8,2,False,False
168,29,True,28,1,9,2,True,True
169,29,True,2,3,19,2,False,False
170,29,True,1,0,20,1,False,False
171,29,True,18,3,22,4,False,False
172,29,True,5,3,11,4,False,False
173,29,True,7,1,13,2,True,True
174,29,True,29,2,15,4,False,False
175,29,True,17,4,23,6,False,False
176,29,True,12,4,14,2,False,False
177,29,True,24,1,26,4,False,False
178,30,True,30,3,6,2,True,False
179,30,True,5,1,4,4,False,False
180,30,True,16,1,21,0,False,False
181,30,True,7,2,27,6,False,False
182,30,True,29,4,25,2,False,False
183,30,True,8,2,10,3,False,False
184,31,True,1,5,11,2,False,False
185,31,True,2,2,18,0,False,False
186,31,True,30,5,19,2,False,False
187,31,True,16,2,20,3,True,False
188,31,True,4,1,21,4,False,False
189,31,True,9,3,22,1,False,False
190,31,True,3,4,28,3,False,False
191,31,True,25,2,15,3,True,True
192,31,True,12,1,23,3,False,False
193,31,True,24,2,14,3,True,False
194,31,True,17,3,26,4,True,True
195,32,True,10,2,6,3,False,False
196,32,True,27,3,13,2,True,False
197,32,True,29,0,7,1,False,False
198,32,True,2,4,20,3,True,False
199,32,True,5,3,8,4,False,False
200,33,True,19,5,3,2,False,False
201,33,True,14,1,26,3,False,False
202,34,True,2,2,4,1,False,False
203,34,True,6,3,18,1,False,False
204,34,True,13,4,28,5,False,False
205,34,True,10,4,30,3,True,True
206,34,True,8,1,11,4,False,False
207,34,True,12,2,16,4,False,False
208,34,True,7,3,25,2,True,True
209,34,True,15,2,5,5,False,False
210,34,True,17,4,14,3,False,False
211,35,True,20,2,21,1,False,False
212,35,True,22,1,27,4,False,False
213,35,True,17,3,1,4,False,False
214,36,True,12,1,3,3,False,False
215,36,True,7,1,9,3,False,False
216,36,True,28,3,25,2,False,False
217,36,True,13,1,2,2,False,False
218,36,True,19,2,8,4,False,False
219,36,True,16,2,23,1,True,True
220,36,True,29,2,14,1,False,False
221,36,True,15,3,26,5,False,False
222,37,True,30,2,18,5,False,False
223,37,True,6,4,20,3,False,False
224,37,True,10,2,24,1,False,False
225,37,True,21,3,4,2,False,False
226,37,True,12,1,11,0,True,False
227,37,True,5,0,7,2,False,False
228,37,True,29,1,1,4,False,False
229,38,True,4,4,3,1,False,False
230,38,True,24,2,6,3,False,False
231,38,True,2,3,9,2,True,True
232,38,True,10,4,11,1,False,False
233,38,True,16,3,17,0,False,False
234,38,True,21,4,28,2,False,False
235,38,True,18,5,30,3,False,False
236,38,True,27,2,25,1,False,False
237,38,True,5,1,8,2,True,True
238,38,True,15,3,14,4,False,False
239,38,True,23,3,26,2,False,False
240,39,True,22,3,13,4,True,True
241,39,True,12,1,7,2,False,False
242,39,True,15,3,1,2,False,False
243,39,True,19,3,29,1,False,False
244,40,True,22,2,6,3,True,False
