Number,Transaction
20001,[2011-09-28 21:39:49] - Mikael Samuelsson from Blue Jackets has scored a Hat Trick!
20002,[2011-09-28 21:39:49] - Game 84 - Shaone Morrisonn from Wild is injured  (Torn Right MCL) and is out for 2 months.
20003,[2011-09-28 21:39:49] - Mikko Koivu from Canadiens is injured from Exhaustion.
20004,[2011-09-28 21:39:49] - Loui Eriksson from Maple Leafs has scored a Hat Trick!
20005,[2011-09-28 21:39:49] - Game 89 - Evander Kane from Blackhawks is injured  (Sprained Left Finger) and is out for the game.
20006,[2011-09-28 21:39:49] - Claude Giroux from Blues has scored a Hat Trick!
20007,[2011-09-28 21:39:49] - Bruins lines for next game are empty. Current rosters/lines are not erased.
20008,[2011-09-28 21:39:49] - Sabres lines for next game are empty. Current rosters/lines are not erased.
20009,[2011-09-28 21:39:49] - Americans lines for next game are empty. Current rosters/lines are not erased.
20010,[2011-09-28 21:39:49] - Flames lines for next game are empty. Current rosters/lines are not erased.
20011,[2011-09-28 21:39:49] - Heat lines for next game are empty. Current rosters/lines are not erased.
20012,[2011-09-28 21:39:49] - Hurricanes lines for next game are empty. Current rosters/lines are not erased.
20013,[2011-09-28 21:39:49] - Checkers lines for next game are empty. Current rosters/lines are not erased.
20014,[2011-09-28 21:39:49] - Blackhawks lines for next game are empty. Current rosters/lines are not erased.
20015,[2011-09-28 21:39:49] - Avalanche lines for next game are empty. Current rosters/lines are not erased.
20016,[2011-09-28 21:39:49] - Monsters lines for next game are empty. Current rosters/lines are not erased.
20017,[2011-09-28 21:39:49] - Stars lines for next game are empty. Current rosters/lines are not erased.
20018,[2011-09-28 21:39:49] - Red Wings lines for next game are empty. Current rosters/lines are not erased.
20019,[2011-09-28 21:39:49] - Griffins lines for next game are empty. Current rosters/lines are not erased.
20020,[2011-09-28 21:39:49] - City Barons lines for next game are empty. Current rosters/lines are not erased.
20021,[2011-09-28 21:39:49] - Panthers lines for next game are empty. Current rosters/lines are not erased.
20022,[2011-09-28 21:39:49] - Rampage lines for next game are empty. Current rosters/lines are not erased.
20023,[2011-09-28 21:39:49] - Monarchs lines for next game are empty. Current rosters/lines are not erased.
20024,[2011-09-28 21:39:49] - Wild lines for next game are empty. Current rosters/lines are not erased.
20025,[2011-09-28 21:39:49] - Bulldogs lines for next game are empty. Current rosters/lines are not erased.
20026,[2011-09-28 21:39:49] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20027,[2011-09-28 21:39:49] - Devils lines for next game are empty. Current rosters/lines are not erased.
20028,[2011-09-28 21:39:49] - Devils lines for next game are empty. Current rosters/lines are not erased.
20029,[2011-09-28 21:39:49] - Islanders lines for next game are empty. Current rosters/lines are not erased.
20030,[2011-09-28 21:39:49] - Sound Tigers lines for next game are empty. Current rosters/lines are not erased.
20031,[2011-09-28 21:39:49] - Whale lines for next game are empty. Current rosters/lines are not erased.
20032,[2011-09-28 21:39:49] - Senators lines for next game are empty. Current rosters/lines are not erased.
20033,[2011-09-28 21:39:49] - Flyers lines for next game are empty. Current rosters/lines are not erased.
20034,[2011-09-28 21:39:49] - Coyotes lines for next game are empty. Current rosters/lines are not erased.
20035,[2011-09-28 21:39:49] - Penguins lines for next game are empty. Current rosters/lines are not erased.
20036,[2011-09-28 21:39:49] - Lightning lines for next game are empty. Current rosters/lines are not erased.
20037,[2011-09-28 21:39:49] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20038,[2011-09-28 21:39:49] - Marlies lines for next game are empty. Current rosters/lines are not erased.
20039,[2011-09-28 21:39:49] - Wolves lines for next game are empty. Current rosters/lines are not erased.
20040,[2011-09-28 21:39:49] - Bears lines for next game are empty. Current rosters/lines are not erased.
20041,[2011-09-28 21:41:10] - Arturs Kulda was added to Sharks.
20042,[2011-09-28 21:42:10] - Zach Boychuk was added to Flames.
20043,[2011-09-28 21:42:11] - TRADE : From Flames to Senators : Y:2012-RND:1-CGY.
20044,[2011-09-28 21:42:11] - TRADE : From Senators to Flames : Zach Boychuk (65)- John Gaudreau (P).
20045,[2011-09-28 21:42:41] - Keith Yandle was added to Devils.
