Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Avalanche,CAN,50,72,90,85,72,85,81,78,2,1250000
Pat Quinn,2,Coyotes,CAN,68,90,71,83,78,99,80,54,1,2000000
Andy Murray,3,,CAN,52,78,84,78,73,86,78,70,0,1575000
Barry Trotz,4,Red Wings,CAN,48,85,87,82,91,90,90,78,2,2250000
André Tourigny,5,Rivermen,CAN,37,68,65,69,66,58,72,75,2,500000
Bob Gainey,6,,CAN,56,79,72,76,78,92,75,58,1,750000
Bob Hartley,7,Flames,CAN,51,86,71,74,80,83,81,85,2,1500000
Mark French,8,Bears,CAN,40,68,58,69,60,62,66,75,1,650000
Brad Shaw,9,,CAN,46,80,66,67,83,69,82,68,0,500000
Brian Sutter,10,,CAN,54,66,77,68,66,92,83,80,0,1000000
Bruce Boudreau,11,Bruins,CAN,56,81,77,93,88,88,80,62,1,1400000
Bruce Cassidy,12,,CAN,44,66,71,68,66,72,80,98,3,500000
Bryan Murray,13,,CAN,68,81,73,68,71,99,78,52,0,935000
Bryan Trottier,14,,CAN,53,66,67,69,64,79,72,80,3,450000
Claude Julien,15,,CAN,51,90,93,91,89,88,83,72,2,2750000
Claude Noel,16,Admirals,CAN,54,71,65,76,70,71,71,76,2,750000
Craig Hartsburg,17,Senators,CAN,52,66,68,69,66,80,84,86,1,1000000
Craig MacTavish,18,,CAN,53,69,74,78,72,86,77,70,1,1000000
Curt Fraser,19,,USA,52,90,72,61,64,80,77,68,0,1000000
Dan Marshall,20,,CAN,43,74,64,56,65,75,58,67,0,0
Darryl Sutter,21,,CAN,53,88,84,71,78,86,85,84,0,1825000
Dave Allison,22,,CAN,50,69,58,53,66,62,83,69,1,650000
Dave Baseggio,23,,CAN,41,50,71,72,56,55,72,65,2,400000
Dave Cameron,24,,CAN,51,75,54,57,78,70,69,70,3,650000
Dave King,25,IceCaps,CAN,64,62,76,64,65,92,70,62,1,850000
Dave Lewis,26,,CAN,56,66,73,71,68,90,78,71,1,2300000
Dave Tippett,27,Hurricanes,CAN,50,88,80,81,81,85,84,76,3,2750000
Don Hay,28,,CAN,55,66,69,66,66,74,69,76,1,850000
Don Lever,29,,CAN,57,58,73,71,79,83,86,64,1,650000
Duane Sutter,30,,CAN,50,66,70,70,66,80,85,71,0,850000
Gerard Gallant,31,,CAN,46,69,70,70,77,81,86,94,1,1000000
Glen Hanlon,32,,CAN,52,76,71,66,70,85,83,82,4,850000
Greg Gilbert,33,,CAN,47,67,66,69,69,80,79,76,1,450000
Greg Ireland,34,Bruins,CAN,44,84,62,66,83,75,63,72,2,700000
Guy Carbonneau,35,,CAN,49,70,73,68,70,84,82,72,2,1250000
Guy Charron,36,,CAN,60,70,70,70,70,85,73,50,1,800000
John Hynes,37,City Barons,CAN,35,72,68,62,70,60,70,80,3,685000
Jacques Martin,38,Blue Jackets,CAN,59,70,82,81,79,91,82,56,1,1900000
Jim Schoenfeld,39,Pirates,CAN,58,66,70,70,66,89,81,72,1,850000
Joel Quenneville,40,Devils,CAN,53,76,88,89,80,87,80,68,1,950000
John Anderson,41,,CAN,53,70,68,72,66,82,77,68,1,650000
John Torchetti,42,,USA,46,70,70,70,70,79,81,82,0,750000
John Tortorella,43,Lightning,USA,53,95,90,69,86,87,78,68,2,2250000
Ken Hitchcock,44,Jets,CAN,60,90,94,78,76,93,74,54,1,3333333
Kevin Constantine,45,,USA,51,74,68,64,70,86,78,68,2,1000000
Ray Edwards,46,Unknown,CAN,41,76,68,65,60,65,68,75,3,650000
Kjell Samuelsson,47,,SWE,52,70,74,56,73,77,77,68,0,625000
Kurt Kleinendorst,48,Aeros,USA,50,70,71,72,76,78,78,72,2,700000
Larry Robinson,49,Griffins,CAN,60,68,75,70,66,90,80,70,1,1500000
Lindy Ruff,50,Sabres,CAN,51,76,84,86,86,96,83,72,3,1750000
Lorne Henning,51,,CAN,57,68,71,70,70,91,74,56,0,0
Lou Lamoriello,52,,USA,67,73,81,62,91,99,70,36,1,950000
Marc Crawford,53,Ducks,CAN,50,72,74,75,72,84,79,74,2,1250000
Mark Morris,54,,USA,53,64,66,72,65,79,77,68,0,750000
Michel Therrien,55,,CAN,47,68,71,69,70,81,80,78,0,750000
Mike Babcock,56,Flyers,CAN,48,76,85,94,96,86,82,78,2,3300000
Mike Haviland,57,IceHogs,USA,43,75,72,72,66,77,84,86,3,650000
Mike Keenan,58,,CAN,60,77,76,81,81,95,66,50,0,1000000
Mike Kitchen,59,Sharks,CAN,55,72,77,70,74,84,83,80,2,700000
Mike Sullivan,60,Phantoms,USA,43,69,66,72,68,72,81,88,1,700000
Craig Berube,61,Sound Tigers,CAN,47,76,69,64,72,65,70,70,1,725000
Pat Conacher,62,,CAN,50,65,70,76,73,78,63,66,0,0
Paul Maurice,63,Rangers,CAN,44,85,88,84,95,84,82,86,1,2750000
Peter Laviolette,64,Predators,USA,47,78,78,78,91,82,87,96,1,1650000
Randy Carlyle,65,Penguins,CAN,55,73,79,82,71,89,76,64,1,950000
Randy Cunneyworth,66,Rampage,CAN,50,70,66,74,68,78,76,74,1,600000
Rick Wilson,67,,CAN,59,66,70,70,68,85,80,68,2,1200000
Robbie Ftorek,68,,USA,57,66,68,71,66,91,81,72,1,1100000
Rob Daum,69,Monarchs,CAN,51,55,68,66,56,77,68,62,5,5000000
Ron Low,70,,CAN,59,66,71,70,67,93,80,68,1,1034000
Ron Wilson,71,Senators,CAN,56,84,81,82,86,91,80,78,2,1750000
Ross Yates,72,Kings,CAN,50,59,65,72,81,75,68,76,5,5000000
Roy Sommer,73,,USA,52,81,66,66,76,79,77,66,3,700000
Ryan McGill,74,Crunch,CAN,42,65,68,69,78,76,83,90,1,600000
Scott Arniel,75,Penguins,CAN,49,70,71,70,76,80,79,76,1,750000
Scott Gordon,76,Devils,USA,48,81,68,69,76,81,80,78,1,825000
Steve Ludzik,77,,CAN,48,68,70,70,69,80,79,74,1,450000
Steve Stirling,78,,CAN,60,70,71,76,69,82,73,50,3,1600000
Ted Nolan,79,Americans,CAN,52,88,76,72,69,86,80,68,2,750000
Terry Murray,80,Islanders,CAN,60,89,83,75,78,95,79,52,2,2500000
Todd Richards,81,,USA,45,72,76,66,67,72,78,84,0,600000
Tom Renney,82,Maple Leafs,CAN,56,72,74,73,82,90,80,62,1,975000
Tom Rowe,83,,USA,53,58,70,64,74,78,83,64,3,700000
Tony Granato,84,,USA,46,68,75,76,70,80,85,80,0,1080000
Trent Yawney,85,,CAN,44,70,72,70,68,79,80,70,1,450000
Wayne Gretzky,86,,CAN,48,72,68,72,70,83,76,70,3,2000000
John Paddock,87,,CAN,55,70,70,70,70,89,75,60,5,700000
Brent Sutter,88,Canucks,CAN,49,73,90,80,87,83,79,76,3,1875000
Kevin Dineen,89,,CAN,48,70,72,70,69,78,76,80,2,1500000
Don Waddell,90,,USA,51,72,75,60,66,82,71,65,3,800000
Denis Savard,91,,CAN,48,68,62,68,70,74,76,70,2,850000
Guy Boucher,92,Blues,CAN,41,65,80,73,72,75,75,85,3,2000000
Kirk Muller,93,Stars,CAN,45,67,70,68,74,69,78,75,2,700000
Lane Lambert,94,,CAN,45,73,65,69,70,76,78,80,1,500000
Ken Gernander,95,,USA,40,64,70,72,69,72,73,79,1,600000
Cory Clouston,96,Admirals,CAN,41,84,80,76,83,79,80,92,3,800000
John Stevens,97,Stars,CAN,45,79,77,90,61,80,81,84,2,1200000
Bob Woods,98,,CAN,41,68,72,65,76,54,76,79,3,500000
Mike Yeo,99,Marlies,CAN,38,71,66,69,66,66,75,80,2,750000
