Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,26,5,1,7,False,False
2,1,True,7,12,11,7,False,False
3,1,True,15,11,5,4,False,False
4,1,True,23,9,10,10,False,False
5,1,True,12,6,29,4,False,False
6,1,True,19,9,18,5,False,False
7,1,True,21,5,3,10,False,False
8,1,True,27,9,6,8,True,False
9,1,True,16,3,4,7,False,False
10,1,True,24,4,22,9,False,False
11,2,True,9,11,17,6,False,False
12,2,True,7,5,25,10,False,False
13,2,True,24,11,20,7,False,False
14,2,True,2,2,13,4,False,False
15,2,True,29,10,8,4,False,False
16,2,True,23,5,14,11,False,False
17,3,True,16,3,28,9,False,False
18,3,True,27,9,30,1,False,False
19,3,True,4,8,21,5,False,False
20,3,True,12,2,15,5,False,False
21,4,True,18,3,19,2,False,False
22,4,True,10,5,26,6,True,False
23,4,True,11,5,9,15,False,False
24,4,True,6,8,2,10,False,False
25,4,True,1,11,23,9,False,False
26,4,True,25,8,7,7,True,False
27,4,True,22,12,24,8,False,False
28,4,True,3,7,16,9,False,False
29,4,True,13,7,27,5,False,False
30,5,True,5,5,12,10,False,False
31,5,True,15,9,8,6,False,False
32,5,True,26,1,14,8,False,False
33,6,True,18,6,20,12,False,False
34,6,True,25,16,17,5,False,False
35,6,True,21,2,28,1,False,False
36,6,True,2,10,30,5,False,False
37,6,True,15,11,29,6,False,False
38,6,True,3,11,4,9,False,False
39,6,True,22,3,19,6,False,False
40,6,True,23,1,1,12,False,False
41,6,True,13,11,6,4,False,False
42,6,True,7,7,9,12,False,False
43,7,True,26,7,10,6,False,False
44,7,True,25,10,11,3,False,False
45,7,True,12,7,5,5,False,False
46,7,True,28,10,16,4,False,False
47,8,True,19,9,24,1,False,False
48,8,True,2,3,27,10,False,False
49,8,True,4,8,3,2,False,False
50,8,True,22,4,18,10,False,False
51,8,True,30,8,13,6,False,False
52,8,True,16,1,21,12,False,False
53,9,True,8,10,15,5,False,False
54,9,True,17,10,7,4,False,False
55,9,True,14,14,23,3,False,False
56,9,True,29,7,12,8,False,False
57,9,True,9,10,25,3,False,False
58,9,True,1,5,26,3,False,False
59,9,True,20,10,22,13,False,False
60,9,True,30,14,2,2,False,False
61,10,True,30,10,6,9,True,True
62,10,True,17,4,11,5,False,False
63,10,True,4,8,28,2,False,False
64,10,True,29,11,5,5,False,False
65,10,True,14,10,10,7,False,False
66,10,True,19,6,20,4,False,False
67,10,True,12,4,8,3,False,False
68,10,True,16,6,3,8,False,False
69,10,True,18,7,24,10,False,False
70,10,True,27,10,13,3,False,False
71,11,True,28,2,21,5,False,False
72,11,True,14,2,1,8,False,False
73,11,True,25,4,9,10,False,False
74,11,True,7,6,17,9,False,False
75,11,True,26,11,23,3,False,False
76,11,True,29,7,15,16,False,False
77,11,True,27,10,2,1,False,False
78,11,True,19,4,22,5,False,False
79,11,True,24,9,18,4,False,False
80,12,True,21,3,4,10,False,False
81,12,True,13,15,30,11,False,False
82,12,True,10,7,14,12,False,False
83,12,True,8,2,12,12,False,False
84,13,True,21,10,16,5,False,False
85,13,True,20,6,19,7,True,False
86,13,True,6,4,27,11,False,False
87,13,True,11,6,25,14,False,False
88,13,True,23,7,26,12,False,False
89,14,True,9,4,7,3,False,False
90,14,True,5,1,29,13,False,False
91,14,True,28,10,3,5,False,False
92,14,True,10,5,1,6,False,False
93,14,True,11,5,17,9,False,False
94,15,True,5,7,8,8,True,False
95,15,True,2,5,6,9,False,False
96,15,True,22,11,20,10,False,False
97,16,True,20,8,18,7,False,False
98,16,True,5,7,15,10,False,False
99,17,True,20,7,24,13,False,False
100,17,True,6,1,13,10,False,False
101,17,True,28,4,4,5,False,False
102,17,True,1,5,14,11,False,False
103,18,True,6,6,30,13,False,False
104,18,True,17,3,9,5,False,False
105,18,True,1,6,10,5,True,True
106,19,True,9,9,11,3,False,False
107,19,True,15,10,12,5,False,False
108,19,True,14,7,26,3,False,False
109,19,True,24,3,19,9,False,False
110,19,True,10,13,23,8,False,False
111,19,True,4,9,16,6,False,False
112,19,True,3,2,21,7,False,False
113,19,True,30,5,27,4,False,False
114,19,True,17,7,25,8,True,False
115,19,True,8,9,29,7,False,False
116,20,True,11,6,7,13,False,False
117,20,True,13,4,2,7,False,False
118,20,True,18,11,22,12,False,False
119,20,True,8,8,5,9,False,False
120,20,True,3,4,28,12,False,False
