Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Crunch,SYR,Syracuse,Pacific Division,Western Conference,0,0,0,0,1110750,0,74,8,56,False,7,0,X,SOW1,6,1,0,0,0,1,0,8,6,1,0,0,0,1,0,14,60,41,4,4,0,0,0,0,0,0,33,13,39,16,34,15,4,242,316,94,79,67,96,3,11,18,30,2,9647,10044,9409,3935,4662,5805,0,60,93,153,95,175,123,208,75,146,102,161,0,
2,IceCaps,STJ,St John's,Southeast Division,Eastern Conference,0,0,0,0,652500,0,25,8,49,False,25,0,X,W1,3,5,0,0,0,0,0,8,3,5,0,0,0,0,0,6,40,64,4,2,2,0,0,0,0,0,20,36,22,6,43,16,3,178,305,90,41,69,68,0,7,17,16,0,11793,8440,8567,5043,4585,3377,0,40,72,112,126,108,47,140,38,118,68,190,0,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,0,0,0,0,0,0,34,8,49,False,24,0,X,L3,3,5,0,0,0,0,0,8,3,5,0,0,0,0,0,6,49,66,4,2,2,0,0,0,0,0,25,29,33,19,34,16,0,251,235,69,66,100,85,0,10,28,11,0,9471,10559,8770,4499,5941,4283,0,49,89,138,119,147,57,125,77,171,104,225,1,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,0,1201500,0,79,8,56,False,5,0,Y,W5,7,1,0,0,0,0,0,8,7,1,0,0,0,0,0,14,64,36,4,3,1,0,0,0,0,0,31,21,46,21,32,12,2,283,274,86,89,80,114,0,19,24,21,0,9159,11007,8634,3523,5642,5340,0,64,95,159,120,253,110,175,118,171,118,178,1,
5,Heat,ABH,Abbotsford,Northwest Division,Western Conference,0,0,0,0,241000,0,109,8,47,False,27,0,X,W1,1,6,0,0,1,0,0,8,1,6,0,0,1,0,0,3,43,78,4,1,3,0,0,0,0,0,23,37,23,11,42,31,3,167,335,112,45,77,45,0,8,20,15,0,12015,8426,8390,4935,4437,3707,0,43,81,124,127,130,71,138,51,119,91,206,0,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,0,1148500,0,120,8,47,False,26,0,X,L2,1,5,0,0,1,0,1,8,1,5,0,0,1,0,1,4,49,79,4,1,1,0,0,1,0,1,30,35,37,20,39,25,1,273,330,105,81,81,108,7,13,19,17,2,11320,9643,8199,4894,5903,3506,0,49,90,139,184,115,63,172,57,155,84,215,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,0,1000000,0,57,8,48,False,20,0,X,W1,2,5,0,0,1,0,0,8,2,5,0,0,1,0,0,5,57,66,4,1,2,0,0,1,0,0,27,28,35,14,24,17,0,238,246,70,70,85,83,0,12,17,28,0,9292,11264,8329,4316,6998,4056,0,57,103,160,81,149,45,114,76,147,112,239,0,
8,Monsters,LEM,Lake  Erie,Northwest Division,Western Conference,0,0,0,0,351500,0,123,8,49,False,22,0,X,L1,2,5,0,1,0,0,0,8,2,5,0,1,0,0,0,6,50,63,4,0,3,0,1,0,0,0,21,30,32,13,44,20,2,269,304,82,81,102,84,2,10,22,17,1,10439,10283,8109,4431,6003,4013,0,50,95,145,98,149,111,191,82,147,124,197,0,
9,Falcons,SPR,Springfield,Central Division,Western Conference,0,0,0,0,256000,0,104,8,55,False,1,0,Y,W8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,16,76,34,4,4,0,0,0,0,0,0,42,19,34,25,32,8,3,341,197,69,71,139,131,0,10,36,30,0,10364,10457,7979,4191,6142,4116,0,76,135,211,127,141,91,167,79,154,107,221,0,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,0,862500,0,93,8,47,False,19,0,X,W1,2,4,0,0,1,0,1,8,2,4,0,0,1,0,1,6,58,64,4,1,2,0,0,0,0,1,28,32,31,16,36,21,0,365,240,70,98,160,104,6,17,27,14,1,9701,11528,8084,3895,7246,4191,0,58,92,150,106,167,63,118,114,202,128,202,0,
11,Griffins,GRP,Grand Rapids,Central Division,Western Conference,0,0,0,0,185000,0,49,8,47,False,29,0,X,L4,1,7,0,0,0,0,0,8,1,7,0,0,0,0,0,2,40,86,4,1,3,0,0,0,0,0,18,35,31,10,42,29,4,167,278,91,33,65,69,0,4,21,15,0,11351,9145,8304,4500,4963,3880,0,40,74,114,124,145,46,122,49,117,107,249,0,
