Number,Team,Transaction
1,1,[2008-07-06 17:02] - Paul Kariya was added to Anaheim.                                                                          
2,1,[2008-07-06 17:02] - Kyle Quincey was added to Anaheim.                                                                         
3,1,[2008-07-06 17:02] - Rob Globke was added to Anaheim.                                                                           
4,1,[2008-07-06 17:02] - Aaron Miller was added to Anaheim.                                                                         
5,1,[2008-07-06 17:02] - Chris Chelios was added to Anaheim.                                                                        
6,1,[2008-07-06 17:02] - Erik Rasmussen was added to Anaheim.                                                                       
7,1,[2008-07-06 17:02] - Chuck Kobasew was added to Anaheim.                                                                        
8,1,[2008-07-06 17:02] - Jordan Staal was added to Anaheim.                                                                         
9,1,[2008-07-06 17:02] - Jay McClement was added to Anaheim.                                                                        
10,1,[2008-07-06 17:02] - Jeff Schultz was added to Anaheim.                                                                         
11,1,[2008-07-06 17:02] - Gilbert Brule was added to Anaheim.                                                                        
12,1,[2008-07-06 17:02] - Mark Giordano was added to Anaheim.                                                                        
13,1,[2008-07-06 17:02] - Steve Bernier was added to Anaheim.                                                                        
14,1,[2008-07-06 17:02] - Niclas Wallin was added to Anaheim.                                                                        
15,1,[2008-07-06 17:02] - Jocelyn Thibault was added to Anaheim.                                                                     
16,1,[2008-07-06 17:02] - Marcel Hossa was added to Anaheim.                                                                         
17,1,[2008-07-06 17:02] - Dan Fritsche was added to Anaheim.                                                                         
18,1,[2008-07-06 17:02] - Darren McCarty was added to Anaheim.                                                                       
19,1,[2008-07-06 17:02] - Trevor Daley was added to Anaheim.                                                                         
20,1,[2008-07-06 17:02] - Dion Phaneuf was added to Anaheim.                                                                         
21,1,[2008-07-06 17:02] - Brooks Laich was added to Anaheim.                                                                         
22,1,[2008-07-06 17:02] - David Moss was added to Anaheim.                                                                           
23,1,[2008-07-06 17:02] - Ryan Getzlaf was added to Anaheim.                                                                         
24,1,[2008-07-06 17:02] - Paul Stastny was added to Anaheim.                                                                         
25,1,[2008-07-06 17:02] - Milan Jurcina was added to Anaheim.                                                                        
26,1,[2008-07-06 17:02] - Randy Jones was added to Anaheim.                                                                          
27,1,[2008-07-06 17:02] - Jiri Novotny was added to Anaheim.                                                                         
28,1,[2008-07-06 17:02] - Michael Holmqvist was added to Anaheim.                                                                    
29,1,[2008-07-06 17:02] - Karel Rachunek was added to Anaheim.                                                                       
30,1,[2008-07-06 17:02] - Alexandre Picard was added to Anaheim.                                                                     
31,1,[2008-07-06 17:02] - Brent Sopel was added to Anaheim.                                                                          
32,1,[2008-07-06 17:02] - Jack Hillen was added to Anaheim.                                                                          
33,1,[2008-07-06 17:02] - Mike Morrison was added to Anaheim.                                                                        
34,1,[2008-07-06 17:02] - Keith Yandle was added to Anaheim.                                                                         
35,1,[2008-07-06 17:02] - Andrew Ladd was added to Anaheim.                                                                          
36,1,[2008-07-06 17:02] - Eric Fehr was added to Anaheim.                                                                            
37,1,[2008-07-06 17:02] - Mike Green was added to Anaheim.                                                                           
38,1,[2008-07-06 17:02] - Nikolai Khabibulin was added to Anaheim.                                                                   
39,1,[2008-07-06 17:02] - Ben Clymer was added to Anaheim.                                                                           
40,2,[2008-07-06 17:02] - Steve Rucchin was added to Atlanta.                                                                        
41,2,[2008-07-06 17:02] - Dany Heatley was added to Atlanta.                                                                         
42,2,[2008-07-06 17:02] - Henrik Zetterberg was added to Atlanta.                                                                    
43,2,[2008-07-06 17:02] - Glen Wesley was added to Atlanta.                                                                          
44,2,[2008-07-06 17:02] - Ilya Kovalchuk was added to Atlanta.                                                                       
45,2,[2008-07-06 17:02] - Brian Gionta was added to Atlanta.                                                                         
46,2,[2008-07-06 17:02] - Jon Klemm was added to Atlanta.                                                                            
47,2,[2008-07-06 17:02] - Sergei Zubov was added to Atlanta.                                                                         
48,2,[2008-07-06 17:02] - Samuel Pahlsson was added to Atlanta.                                                                      
49,2,[2008-07-06 17:02] - Matt Cooke was added to Atlanta.                                                                           
50,2,[2008-07-06 17:02] - Bret Hedican was added to Atlanta.                                                                         
51,2,[2008-07-06 17:02] - Scott Parker was added to Atlanta.                                                                         
52,2,[2008-07-06 17:02] - Brenden Morrow was added to Atlanta.                                                                       
53,2,[2008-07-06 17:02] - Matthew Barnaby was added to Atlanta.                                                                      
54,2,[2008-07-06 17:02] - Nick Boynton was added to Atlanta.                                                                         
55,2,[2008-07-06 17:02] - Jason Strudwick was added to Atlanta.                                                                      
56,2,[2008-07-06 17:02] - Derek MacKenzie was added to Atlanta.                                                                      
57,2,[2008-07-06 17:02] - John Grahame was added to Atlanta.                                                                         
58,2,[2008-07-06 17:02] - JP Vigier was added to Atlanta.                                                                            
59,2,[2008-07-06 17:02] - Brad Norton was added to Atlanta.                                                                          
60,2,[2008-07-06 17:02] - Miikka Kiprusoff was added to Atlanta.                                                                     
61,2,[2008-07-06 17:02] - JS Aubin was added to Atlanta.                                                                             
62,2,[2008-07-06 17:02] - Ronald Petrovicky was added to Atlanta.                                                                    
63,2,[2008-07-06 17:02] - Jesse Boulerice was added to Atlanta.                                                                      
64,2,[2008-07-06 17:02] - Dean McAmmond was added to Atlanta.                                                                        
65,2,[2008-07-06 17:02] - Colin White was added to Atlanta.                                                                          
66,2,[2008-07-06 17:02] - Patrice Bergeron was added to Atlanta.                                                                     
67,2,[2008-07-06 17:02] - Petteri Nummelin was added to Atlanta.                                                                     
68,2,[2008-07-06 17:02] - Rob Blake was added to Atlanta.                                                                            
69,3,[2008-07-06 17:02] - Alex Brooks was added to Boston.                                                                           
70,3,[2008-07-06 17:02] - Tyler Arnason was added to Boston.                                                                         
71,3,[2008-07-06 17:02] - David Tanabe was added to Boston.                                                                          
72,3,[2008-07-06 17:02] - Eric Boguniecki was added to Boston.                                                                       
73,3,[2008-07-06 17:02] - Erik Cole was added to Boston.                                                                             
74,3,[2008-07-06 17:02] - Doug Weight was added to Boston.                                                                           
75,3,[2008-07-06 17:02] - Doug Murray was added to Boston.                                                                           
76,3,[2008-07-06 17:02] - Brendan Witt was added to Boston.                                                                          
77,3,[2008-07-06 17:02] - Jonathan Bernier was added to Boston.                                                                      
78,3,[2008-07-06 17:02] - Mathieu Dandenault was added to Boston.                                                                    
79,3,[2008-07-06 17:02] - Kevin Nastiuk was added to Boston.                                                                         
80,3,[2008-07-06 17:02] - Michal Handzus was added to Boston.                                                                        
81,3,[2008-07-06 17:02] - Aaron Ward was added to Boston.                                                                            
82,3,[2008-07-06 17:02] - Stanislav Chistov was added to Boston.                                                                     
83,3,[2008-07-06 17:02] - Kari Lehtonen was added to Boston.                                                                         
84,3,[2008-07-06 17:02] - Mark Recchi was added to Boston.                                                                           
85,3,[2008-07-06 17:02] - Paul Martin was added to Boston.                                                                           
86,3,[2008-07-06 17:02] - Peter Sejna was added to Boston.                                                                           
87,3,[2008-07-06 17:02] - Dick Tarnstrom was added to Boston.                                                                        
88,3,[2008-07-06 17:02] - Stephane Veilleux was added to Boston.                                                                     
89,3,[2008-07-06 17:02] - Fernando Pisani was added to Boston.                                                                       
90,3,[2008-07-06 17:02] - Vyacheslav Kozlov was added to Boston.                                                                     
91,3,[2008-07-06 17:02] - David Booth was added to Boston.                                                                           
92,3,[2008-07-06 17:02] - Craig MacDonald was added to Boston.                                                                       
93,3,[2008-07-06 17:02] - Mathias Tjarnqvist was added to Boston.                                                                    
94,3,[2008-07-06 17:02] - Lee Goren was added to Boston.                                                                             
95,3,[2008-07-06 17:02] - Daniel Cleary was added to Boston.                                                                         
96,3,[2008-07-06 17:02] - Martin Biron was added to Boston.                                                                          
97,3,[2008-07-06 17:02] - Richard Park was added to Boston.                                                                          
98,3,[2008-07-06 17:02] - Wayne Primeau was added to Boston.                                                                         
99,4,[2008-07-06 17:02] - Adam Mair was added to Buffalo.                                                                            
100,4,[2008-07-06 17:02] - Anton Volchenkov was added to Buffalo.                                                                     
101,4,[2008-07-06 17:02] - Derek Meech was added to Buffalo.                                                                          
102,4,[2008-07-06 17:02] - Jeff Giuliano was added to Buffalo.                                                                        
103,4,[2008-07-06 17:02] - Dainius Zubrus was added to Buffalo.                                                                       
104,4,[2008-07-06 17:02] - Chris Drury was added to Buffalo.                                                                          
105,4,[2008-07-06 17:02] - Andrew Peters was added to Buffalo.                                                                        
106,4,[2008-07-06 17:02] - Daniel Briere was added to Buffalo.                                                                        
107,4,[2008-07-06 17:02] - Derek Roy was added to Buffalo.                                                                            
108,4,[2008-07-06 17:02] - Blair Jones was added to Buffalo.                                                                          
109,4,[2008-07-06 17:02] - Marian Gaborik was added to Buffalo.                                                                       
110,4,[2008-07-06 17:02] - Henrik Tallinder was added to Buffalo.                                                                     
111,4,[2008-07-06 17:02] - Dan Paille was added to Buffalo.                                                                           
112,4,[2008-07-06 17:02] - Sidney Crosby was added to Buffalo.                                                                        
113,4,[2008-07-06 17:02] - Jochen Hecht was added to Buffalo.                                                                         
114,4,[2008-07-06 17:02] - Marc-Andre Bergeron was added to Buffalo.                                                                  
115,4,[2008-07-06 17:02] - Adam Dennis was added to Buffalo.                                                                          
116,4,[2008-07-06 17:02] - Jan Bulis was added to Buffalo.                                                                            
117,4,[2008-07-06 17:02] - Jay McKee was added to Buffalo.                                                                            
118,4,[2008-07-06 17:02] - Mike Weber was added to Buffalo.                                                                           
119,4,[2008-07-06 17:02] - Chris Pronger was added to Buffalo.                                                                        
120,4,[2008-07-06 17:02] - Mike Mottau was added to Buffalo.                                                                          
121,4,[2008-07-06 17:02] - Cody McLeod was added to Buffalo.                                                                          
122,4,[2008-07-06 17:02] - Ryan Miller was added to Buffalo.                                                                          
123,4,[2008-07-06 17:02] - Kevin Doell was added to Buffalo.                                                                          
124,4,[2008-07-06 17:02] - Drew Stafford was added to Buffalo.                                                                        
125,4,[2008-07-06 17:02] - Mark Mancari was added to Buffalo.                                                                         
126,4,[2008-07-06 17:02] - Sean Hill was added to Buffalo.                                                                            
127,4,[2008-07-06 17:02] - Clarke MaCarthur was added to Buffalo.                                                                     
128,4,[2008-07-06 17:02] - Antti Pihlström was added to Buffalo.                                                                      
129,4,[2008-07-06 17:02] - Jason Pomminville was added to Buffalo.                                                                    
130,4,[2008-07-06 17:02] - Erik Ersberg was added to Buffalo.                                                                         
131,4,[2008-07-06 17:02] - Paul Gaustad was added to Buffalo.                                                                         
132,4,[2008-07-06 17:02] - Thomas Vanek was added to Buffalo.                                                                         
133,4,[2008-07-06 17:02] - Pascal Pelletier was added to Buffalo.                                                                     
134,4,[2008-07-06 17:02] - Chris Minard was added to Buffalo.                                                                         
135,4,[2008-07-06 17:02] - Darryl Boyce was added to Buffalo.                                                                         
136,4,[2008-07-06 17:02] - Chris Thorburn was added to Buffalo.                                                                       
137,4,[2008-07-06 17:02] - Pete Vandermeer was added to Buffalo.                                                                      
138,4,[2008-07-06 17:02] - Michael Ryan was added to Buffalo.                                                                         
139,4,[2008-07-06 17:02] - Mike Wall was added to Buffalo.                                                                            
140,5,[2008-07-06 17:02] - Michael Ryder was added to Calgary.                                                                        
141,5,[2008-07-06 17:02] - Jeff Halpern was added to Calgary.                                                                         
142,5,[2008-07-06 17:02] - Christoph Schubert was added to Calgary.                                                                   
