Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,26,6,23,5,False,False
2,1,True,17,4,25,2,False,False
3,1,True,24,3,20,5,False,False
4,1,True,15,2,12,3,False,False
5,1,True,9,7,11,5,False,False
6,1,True,27,1,2,4,False,False
7,1,True,10,1,14,2,False,False
8,1,True,21,5,28,4,False,False
9,1,True,3,2,16,1,False,False
10,1,True,8,6,29,3,False,False
11,2,True,18,2,22,7,False,False
12,2,True,6,1,13,3,False,False
13,2,True,29,5,5,6,False,False
14,2,True,28,4,4,6,False,False
15,2,True,17,0,7,3,False,False
16,2,True,10,6,1,4,False,False
17,2,True,20,3,19,4,False,False
18,2,True,27,3,30,1,False,False
19,2,True,23,2,26,4,False,False
20,2,True,12,5,8,1,False,False
21,2,True,16,6,21,3,False,False
22,3,True,5,4,15,1,False,False
23,3,True,25,2,9,1,False,False
24,3,True,4,4,3,5,False,False
25,3,True,19,6,24,3,False,False
26,3,True,2,3,6,2,True,False
27,3,True,22,8,18,6,False,False
28,3,True,30,2,27,6,False,False
29,3,True,11,3,17,7,False,False
30,3,True,14,3,10,2,True,True
31,3,True,23,6,1,4,False,False
32,4,True,25,1,7,4,False,False
33,4,True,2,6,13,5,False,False
34,4,True,28,4,21,5,False,False
35,4,True,14,5,26,4,True,True
36,4,True,29,5,12,4,True,False
37,4,True,4,3,16,1,False,False
38,5,True,15,2,8,4,False,False
39,5,True,22,5,20,2,False,False
40,5,True,24,4,19,5,True,True
41,5,True,17,4,9,2,False,False
42,5,True,12,5,5,3,False,False
43,5,True,7,4,11,3,False,False
44,5,True,30,4,6,3,False,False
45,5,True,21,5,3,2,False,False
46,6,True,24,3,18,5,False,False
47,6,True,23,4,10,1,False,False
48,6,True,13,1,27,4,False,False
49,6,True,1,4,14,1,False,False
50,7,True,16,5,4,3,False,False
51,7,True,30,1,2,3,False,False
52,7,True,9,2,25,3,False,False
53,7,True,3,2,28,5,False,False
54,7,True,15,5,29,4,False,False
55,7,True,20,4,22,3,True,False
56,7,True,7,4,17,5,False,False
57,7,True,10,3,23,2,False,False
58,7,True,18,1,24,3,False,False
59,7,True,1,0,26,5,False,False
60,7,True,8,3,5,9,False,False
61,8,True,12,8,15,5,False,False
62,8,True,6,4,30,3,True,True
63,8,True,25,5,11,1,False,False
64,8,True,22,4,19,6,False,False
65,8,True,27,2,13,1,False,False
66,8,True,4,5,21,4,False,False
67,8,True,26,6,14,2,False,False
68,8,True,9,7,7,3,False,False
69,8,True,16,3,3,2,False,False
70,8,True,18,2,20,1,False,False
71,8,True,5,3,8,2,True,True
72,9,True,14,6,1,5,True,True
73,9,True,13,3,2,1,False,False
74,9,True,12,6,29,7,False,False
75,9,True,16,4,28,3,True,True
76,9,True,27,3,6,10,False,False
77,9,True,25,0,17,2,False,False
78,9,True,26,3,10,2,False,False
79,9,True,22,5,24,3,False,False
80,10,True,14,3,23,4,False,False
81,10,True,11,3,9,4,False,False
82,10,True,21,2,4,1,False,False
83,10,True,13,4,30,3,True,True
84,10,True,8,3,15,2,False,False
85,10,True,20,4,18,3,True,True
86,10,True,5,3,12,4,True,True
87,10,True,6,1,27,3,False,False
88,10,True,28,7,16,3,False,False
89,10,True,7,4,25,8,False,False
90,10,True,19,1,22,6,False,False
91,11,True,28,4,3,5,False,False
92,11,True,5,2,29,1,True,False
93,11,True,6,6,2,7,False,False
94,11,True,26,4,1,5,False,False
95,11,True,17,2,11,4,False,False
96,11,True,18,1,19,2,False,False
97,11,True,20,3,24,4,False,False
98,12,True,1,5,10,3,False,False
99,12,True,3,4,21,2,False,False
100,12,True,11,5,7,2,False,False
101,12,True,30,3,13,4,True,False
102,12,True,29,3,15,1,False,False
103,13,True,1,3,23,1,False,False
104,13,True,7,3,9,1,False,False
105,13,True,3,3,4,4,True,False
106,13,True,29,3,8,1,False,False
107,13,True,21,2,16,4,False,False
108,14,True,11,2,25,4,False,False
109,14,True,24,2,22,3,False,False
110,14,True,2,4,27,5,False,False
111,14,True,8,3,12,5,False,False
112,14,True,23,2,14,4,False,False
113,15,True,4,2,28,4,False,False
114,15,True,15,3,5,2,False,False
115,15,True,13,1,6,6,False,False
116,15,True,9,5,17,4,False,False
117,15,True,19,0,18,4,False,False
118,15,True,10,2,26,6,False,False
119,16,True,19,0,20,3,False,False
120,16,True,2,3,30,4,True,True
