Number,Transaction
20001,[2009-09-07 12:30] - Jonathan Cheechoo signed with Capitals for $3-500-000 for 3 year(s) with $0 in bonus.                      
20002,[2009-09-07 12:30] - Jeff Taffe signed with Capitals for $1-250-000 for 3 year(s) with $0 in bonus.                             
20003,[2009-09-07 12:30] - Matt Pettinger signed with Capitals for $1-150-000 for 2 year(s) with $0 in bonus.                         
20004,[2009-09-07 12:31] - Jason LaBarbera signed with Capitals for $1-000-000 for 2 year(s) with $0 in bonus.                        
20005,[2009-09-07 12:31] - Jeremy Colliton signed with Capitals for $650-000 for 1 year(s) with $0 in bonus.                          
20006,[2009-09-07 12:32] - Alexander Semin signed with Penguins for $6-500-000 for 5 year(s) with $7-500-000 in bonus.                
20007,[2009-09-07 12:32] - Curtis Joseph signed with Maple Leafs for $550-000 for 1 year(s) with $0 in bonus.                         
20008,[2009-09-07 12:32] - Rob Niedermayer signed with Penguins for $1-000-000 for 1 year(s) with $250-000 in bonus.                  
20009,[2009-09-07 12:33] - Patrick Rissmiller signed with Flyers for $500-000 for 3 year(s) with $100-000 in bonus.                   
20010,[2009-09-07 12:33] - Jason Strudwick signed with Senators for $800-000 for 2 year(s) with $400-000 in bonus.                    
20011,[2009-09-07 12:34] - Brian Rolston signed with Lightning for $3-500-000 for 2 year(s) with $1-500-000 in bonus.                 
20012,[2009-09-07 12:36] - Cory Sarich signed with Thrashers for $2-100-000 for 3 year(s) with $450-000 in bonus.                     
20013,[2009-09-07 12:36] - Darryl Sydor signed with Sabres for $800-000 for 1 year(s) with $200-000 in bonus.                         
20014,[2009-09-07 12:36] - Marian Hossa signed with Devils for $7-000-000 for 4 year(s) with $5-000-000 in bonus.                     
20015,[2009-09-07 12:37] - Stephen Valiquette signed with Blue Jackets for $650-000 for 3 year(s) with $450-000 in bonus.             
20016,[2009-09-07 12:38] - Jean-Sebastien Aubin retired from Sharks                                                                   
20017,[2009-09-07 12:38] - Jean-Sebastien Aubin was erased.                                                                           
