Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,22,0,19,2,False,False
2,1,True,4,2,27,1,False,False
3,1,True,28,1,21,2,True,False
4,1,True,18,2,6,1,False,False
5,2,True,25,0,1,1,False,False
6,2,True,5,1,11,0,False,False
7,2,True,23,1,12,3,False,False
8,2,True,29,1,26,2,False,False
9,3,True,22,1,19,2,True,False
10,3,True,4,2,27,1,False,False
11,3,True,28,1,21,2,True,False
12,3,True,18,0,6,1,True,False
13,4,True,25,1,1,0,False,False
14,4,True,5,1,11,0,False,False
15,4,True,23,0,12,1,True,False
16,4,True,29,1,26,2,False,False
17,5,True,19,1,22,2,False,False
18,5,True,27,2,4,1,True,False
19,5,True,21,0,28,2,False,False
20,5,True,6,0,18,2,False,False
21,6,True,1,2,25,0,False,False
22,6,True,11,1,5,2,True,False
23,6,True,12,2,23,0,False,False
24,6,True,26,2,29,0,False,False
25,7,True,19,1,22,0,False,False
26,7,True,27,0,4,1,False,False
27,7,True,21,2,28,0,False,False
28,7,True,6,1,18,0,False,False
29,8,True,1,2,25,1,True,False
30,8,True,11,0,5,1,True,False
31,8,True,12,1,23,2,False,False
32,8,True,26,1,29,2,False,False
33,9,True,22,3,19,2,True,False
34,9,True,4,0,27,2,False,False
35,9,True,28,0,21,2,False,False
36,9,True,18,0,6,1,True,False
37,10,True,25,1,1,0,False,False
39,10,True,23,1,12,4,False,False
40,10,True,29,1,26,2,False,False
41,11,True,19,4,22,1,False,False
42,11,True,27,0,4,2,False,False
44,11,True,6,1,18,0,True,False
45,12,True,1,1,25,2,False,False
53,14,True,25,0,1,3,False,False
57,15,True,4,1,19,0,False,False
58,15,True,6,2,21,0,False,False
59,16,True,5,0,1,1,False,False
60,16,True,26,1,12,2,False,False
61,17,True,4,2,19,1,False,False
62,17,True,6,1,21,0,True,False
63,18,True,5,0,1,1,True,False
64,18,True,26,0,12,1,True,False
65,19,True,19,2,4,0,False,False
66,19,True,21,1,6,0,True,False
67,20,True,1,0,5,1,False,False
68,20,True,12,0,26,1,True,False
69,21,True,19,0,4,1,False,False
70,21,True,21,1,6,2,True,False
71,22,True,1,0,5,1,False,False
72,22,True,12,0,26,3,False,False
73,23,True,4,1,19,2,False,False
74,23,True,6,2,21,1,True,False
75,24,True,5,1,1,2,True,False
76,24,True,26,2,12,0,False,False
77,25,True,19,2,4,1,True,False
79,26,True,1,0,5,1,False,False
80,26,True,12,0,26,1,False,False
81,27,True,4,1,19,0,False,False
83,28,True,5,1,1,0,False,False
85,29,True,4,3,6,2,False,False
86,30,True,5,1,26,0,True,False
87,31,True,4,0,6,2,False,False
88,32,True,5,3,26,2,False,False
89,33,True,6,0,4,1,False,False
90,34,True,26,1,5,0,False,False
91,35,True,6,0,4,1,True,False
92,36,True,26,3,5,2,False,False
93,37,True,4,1,6,3,False,False
94,38,True,5,2,26,1,False,False
95,39,True,6,0,4,1,False,False
96,40,True,26,1,5,0,False,False
98,42,True,5,0,26,1,False,False
99,43,True,4,0,26,1,False,False
100,44,True,4,0,26,1,False,False
101,45,True,26,0,4,2,False,False
102,46,True,26,0,4,1,True,False
103,47,True,4,0,26,2,False,False
104,48,True,26,0,4,2,False,False
105,49,True,4,2,26,0,False,False
