Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Crunch,SYR,Syracuse,Pacific Division,Western Conference,0,0,0,0,2066766,0,117,0,84,True,8,0,,L2,2,6,0,2,0,0,0,14,7,7,0,0,0,0,0,14,13,10,8,5,3,0,0,0,0,0,8,4,25,1,50,5,1,205,142,45,51,72,62,20,7,1,2,3,15557,32840,10865,5058,25538,6387,5,13,23,36,139,280,192,256,270,349,123,181,0,
2,IceCaps,STJ,St John's,Southeast Division,Eastern Conference,0,0,0,0,408000,0,42,0,0,True,14,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,0,0,0,0,625000,0,34,0,2,True,15,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,0,1329444,0,79,0,94,False,1,0,,W2,4,4,0,2,0,0,0,26,16,10,0,0,0,0,0,32,29,24,12,9,3,0,0,0,0,0,14,6,103,8,86,5,2,325,335,120,91,99,90,45,5,13,9,2,47535,40265,20099,12468,29052,9504,12,29,46,75,252,447,296,632,276,565,154,329,0,
5,Heat,ABH,Abbotsford,Northwest Division,Western Conference,260,653,687,0,810250,0,119,0,98,True,5,0,,L2,4,4,0,1,1,0,0,18,11,7,0,0,0,0,0,22,18,14,8,5,3,0,0,0,0,0,8,6,68,4,73,4,0,224,290,101,63,49,53,59,7,4,4,3,42837,26468,15926,10364,18298,7103,8,18,26,44,235,362,194,554,113,365,113,251,0,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,0,1230000,0,120,0,99,True,3,0,,L1,2,3,0,3,2,0,0,17,10,7,0,0,0,0,0,20,19,14,8,5,3,0,0,0,0,0,12,8,76,4,51,2,1,305,226,68,61,57,82,105,4,6,3,6,32977,41182,17800,9929,30798,9214,7,19,35,54,190,322,239,451,285,534,137,259,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,0,660683,0,57,0,0,True,16,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Monsters,LEM,Lake  Erie,Northwest Division,Western Conference,0,0,0,0,589667,0,125,0,12,True,17,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,Falcons,SPR,Springfield,Central Division,Western Conference,419,1459,1823,0,549000,0,104,0,11,True,18,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,0,391000,0,93,0,0,True,19,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,Griffins,GRP,Grand Rapids,Central Division,Western Conference,0,0,0,0,956333,0,82,0,61,True,29,0,,OTL2,0,2,0,0,2,0,0,4,0,4,0,0,0,0,0,0,1,5,2,0,2,0,0,0,0,0,0,2,28,0,13,1,0,89,58,22,14,17,18,40,1,0,0,0,7857,10935,4253,2381,8189,2289,0,1,2,3,74,100,61,100,90,162,28,59,0,
12,City Barons,OCB,Oklahoma,Northwest Division,Western Conference,0,0,0,0,788250,0,37,0,84,True,6,0,,L3,3,4,0,2,1,0,0,11,6,5,0,0,0,0,0,12,14,12,6,5,1,0,0,0,0,0,11,5,45,4,24,1,0,118,159,31,27,40,34,17,3,7,2,2,20922,16613,8966,5652,11631,4282,3,14,22,36,74,153,146,297,136,236,74,143,0,
13,Rampage,SAR,San Antonio,Southeast Division,Eastern Conference,0,0,0,0,427500,0,3,0,11,True,20,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,Monarchs,MAN,Manchester,Pacific Division,Western Conference,0,0,0,0,488025,0,99,0,2,True,21,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,Aeros,HOU,Houston,Northwest Division,Western Conference,0,0,0,0,933750,0,48,0,0,True,22,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,Bulldogs,HAM,Hamilton,Northeast Division,Eastern Conference,0,0,0,0,1168167,0,114,0,27,True,23,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,Admirals,MIL,Milwaukee,Central Division,Western Conference,0,0,0,0,312500,0,96,0,0,True,24,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,Devils,ALB,Albany,Orr Division,Eastern Conference,0,0,0,0,1094000,0,52,0,57,True,9,0,,OTL2,2,1,0,0,3,0,0,6,2,4,0,0,0,0,0,4,4,5,3,1,2,0,0,0,0,0,2,2,19,2,24,0,0,75,111,34,22,10,18,25,2,1,1,0,14616,12616,6888,3879,8789,3325,1,4,7,11,71,147,96,200,75,171,40,99,0,
19,Sound Tigers,BPT,Bridgeport,Orr Division,Eastern Conference,0,0,0,0,1935194,0,61,0,87,True,2,0,,L1,4,4,0,1,1,0,0,13,7,6,0,0,0,0,0,14,19,14,7,3,4,0,0,0,0,0,9,9,37,1,82,7,0,207,158,50,69,65,53,20,5,8,4,2,21753,23470,10135,6133,17350,5185,3,19,31,50,173,318,158,321,151,317,86,173,0,
20,Whale,CON,Connecticut,Orr Division,Eastern Conference,0,0,0,0,489167,0,115,0,17,True,25,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,Senators,BNG,Binghamton,Northeast Division,Eastern Conference,0,0,0,0,912500,0,18,0,84,True,4,0,,OTL2,2,2,0,3,3,0,0,10,5,5,0,0,0,0,0,10,11,11,6,3,3,0,0,0,0,0,7,7,29,1,44,1,0,183,220,62,38,39,46,60,3,2,3,3,23901,23079,10537,5942,17024,5278,3,11,21,32,186,273,143,323,154,304,76,156,0,
22,Phantoms,ADP,Adirondack,Orr Division,Eastern Conference,1213,1747,1469,0,1098658,0,60,0,58,True,12,0,,L1,1,3,0,1,1,0,0,6,2,4,0,0,0,0,0,4,7,12,3,1,2,0,0,0,0,0,3,6,45,5,19,1,0,75,111,48,15,32,16,12,1,5,0,1,12037,9938,4995,3027,6919,2323,0,7,13,20,38,113,74,146,77,159,44,88,0,
23,Pirates,POR,Portland,Pacific Division,Western Conference,0,0,0,0,1115583,0,39,0,48,True,30,0,,L1,1,3,0,0,1,0,0,5,1,4,0,0,0,0,0,2,4,11,2,1,1,0,0,0,0,0,2,3,11,1,20,2,0,59,61,24,13,28,17,1,1,3,0,0,7658,7694,3674,2035,5486,1854,0,4,7,11,40,107,38,94,55,111,26,63,0,
24,Penguins,WBS,Wilkes-Barre Scranton,Orr Division,Eastern Conference,0,0,0,0,1106750,0,75,0,21,True,26,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,Rivermen,PEO,Peoria,Central Division,Western Conference,0,0,0,0,990000,0,5,0,42,True,10,0,,L1,3,3,0,0,1,0,0,7,3,4,0,0,0,0,0,6,5,9,3,1,2,0,0,0,0,0,3,5,11,3,12,0,0,54,121,24,22,16,14,2,4,0,1,0,16294,5093,4637,3157,3166,1651,2,5,9,14,26,107,28,169,28,105,8,82,0,
26,Sharks,WOR,Worcester,Pacific Division,Western Conference,0,0,0,0,1378083,0,59,0,96,True,7,0,,L2,5,4,0,0,1,0,0,25,15,10,0,0,0,0,0,30,30,23,14,10,4,0,0,0,0,0,19,11,90,7,77,6,0,380,267,74,97,109,129,45,8,8,13,1,33093,51412,19456,10184,38740,10659,11,30,54,84,190,441,256,476,396,695,182,318,0,
27,Admirals,NOR,Norfolk,Southeast Division,Eastern Conference,0,0,0,0,1618167,0,16,0,76,True,11,0,,L1,1,4,0,1,0,0,0,6,2,4,0,0,0,0,0,4,6,8,3,1,2,0,0,0,0,0,4,4,9,0,23,3,0,84,66,23,25,24,22,13,2,2,1,1,7093,12359,4428,2066,9401,2515,1,6,10,16,89,123,73,109,111,151,57,77,0,
28,Marlies,TOR,Toronto,Northeast Division,Eastern Conference,0,0,0,0,576167,0,124,0,48,True,13,0,,L2,1,2,0,0,2,0,0,5,1,4,0,0,0,0,0,2,4,8,2,1,1,0,0,0,0,0,2,2,20,0,10,1,0,107,114,41,22,27,27,31,1,1,2,0,13042,8132,4597,2833,5922,1997,1,4,8,12,82,109,65,159,63,132,33,72,0,
29,Wolves,CHI,Chicago,Northwest Division,Western Conference,0,0,0,0,583083,0,103,0,48,True,28,0,,L1,1,4,0,0,0,0,0,5,1,4,0,0,0,0,0,2,5,9,2,1,1,0,0,0,0,0,2,3,6,0,14,2,0,38,89,17,7,16,15,0,0,4,1,0,9882,4958,3160,2111,3532,1294,0,5,8,13,30,63,53,130,25,61,21,54,1,
30,Bears,HER,Hershey,Southeast Division,Eastern Conference,0,0,0,0,220000,0,109,0,15,True,27,0,,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
