Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,21,4,13,2,False,False
2,1,True,4,3,22,2,False,False
3,1,True,6,3,28,2,True,False
4,1,True,20,2,27,5,False,False
5,2,True,15,5,7,3,False,False
6,2,True,11,4,12,2,False,False
7,2,True,26,3,10,4,True,False
8,2,True,5,0,25,4,False,False
9,3,True,21,3,13,2,False,False
10,3,True,4,3,22,2,True,False
11,3,True,6,3,28,2,False,False
12,3,True,20,2,27,1,False,False
13,4,True,15,4,7,5,False,False
14,4,True,11,1,12,3,False,False
15,4,True,26,2,10,3,False,False
16,4,True,5,3,25,2,False,False
17,5,True,13,3,21,5,False,False
18,5,True,22,2,4,6,False,False
19,5,True,28,4,6,3,True,False
20,5,True,27,3,20,4,True,False
21,6,True,7,6,15,1,False,False
22,6,True,12,3,11,4,False,False
23,6,True,10,1,26,0,False,False
24,6,True,25,3,5,0,False,False
25,7,True,13,1,21,6,False,False
26,7,True,22,5,4,4,True,False
27,7,True,28,2,6,4,False,False
28,7,True,27,3,20,4,True,False
29,8,True,7,0,15,2,False,False
30,8,True,12,2,11,3,True,False
31,8,True,10,4,26,5,True,False
32,8,True,25,3,5,0,False,False
34,9,True,4,1,22,2,False,False
35,9,True,6,4,28,5,False,False
36,9,True,20,3,27,5,False,False
37,10,True,15,1,7,4,False,False
38,10,True,11,4,12,5,True,False
39,10,True,26,3,10,2,False,False
40,10,True,5,2,25,4,False,False
42,11,True,22,3,4,2,True,False
43,11,True,28,3,6,4,True,False
44,11,True,27,4,20,3,False,False
45,12,True,7,5,15,2,False,False
46,12,True,12,1,11,2,False,False
47,12,True,10,3,26,6,False,False
50,13,True,4,3,22,7,False,False
52,13,True,20,6,27,5,False,False
55,14,True,26,1,10,0,False,False
57,15,True,21,2,22,3,True,False
58,15,True,6,1,20,2,True,False
59,16,True,11,3,7,4,True,False
60,16,True,26,3,25,2,False,False
61,17,True,21,2,22,4,False,False
62,17,True,6,2,20,3,True,False
63,18,True,11,3,7,2,True,False
64,18,True,26,4,25,2,False,False
65,19,True,22,5,21,4,True,False
66,19,True,20,2,6,3,True,False
67,20,True,7,2,11,1,False,False
68,20,True,25,4,26,1,False,False
69,21,True,22,3,21,5,False,False
70,21,True,20,2,6,3,False,False
71,22,True,7,4,11,5,False,False
72,22,True,25,0,26,2,False,False
73,23,True,21,2,22,1,False,False
74,23,True,6,3,20,1,False,False
75,24,True,11,4,7,0,False,False
76,24,True,26,2,25,1,True,False
77,25,True,22,2,21,5,False,False
78,25,True,20,4,6,5,True,False
79,26,True,7,2,11,3,False,False
81,27,True,21,3,22,4,True,False
85,29,True,6,5,22,2,False,False
86,29,True,11,2,26,3,False,False
87,31,True,6,1,22,3,False,False
88,31,True,11,4,26,2,False,False
89,33,True,22,4,6,3,True,False
90,33,True,26,5,11,3,False,False
91,35,True,22,4,6,3,False,False
92,35,True,26,3,11,5,False,False
93,37,True,6,5,22,3,False,False
94,37,True,11,4,26,3,True,False
95,39,True,22,2,6,1,False,False
96,39,True,26,3,11,1,False,False
98,41,True,11,3,26,4,False,False
99,43,True,26,3,22,4,False,False
100,44,True,26,3,22,2,True,False
101,45,True,22,3,26,2,False,False
102,46,True,22,5,26,2,False,False
103,47,True,26,3,22,4,False,False
