Team Number,Prospect Name,Year,Overall Pick
11,Luca Cunti,0,0
22,Brandon Kozun,0,0
4,Justin Vaive,0,0
15,Nail Yakupov,2012,1
4,Ivan Telegin,2010,91
3,Daniil Zharkov,2012,66
4,Tony Lucia,0,0
14,Jonathan Huberdeau,2011,4
1,Joey Leach,2010,92
21,Ryan Strome,2011,5
4,Niklas Lucenius,0,0
15,Stephen Silas,2010,93
9,Ryan Murray,2012,2
18,Nicolas Blanchard,0,0
7,Calle Andersson,2012,98
21,Alex Galchenyuk,2012,3
1,Griffin Reinhart,2012,4
4,Nick Larson,0,0
1,Morgan Rielly,2012,5
15,Dougie Hamilton,2011,8
17,Mark Scheifele,2011,9
9,Jonas Brodin,2011,10
28,Mathew Dumba,2012,6
16,Peter Olvecky,0,0
1,Sven Baertschi,2011,11
1,Filip Forsberg,2012,7
1,Jacob Trouba,2012,8
1,Radek Faksa,2012,9
7,Ryan Murphy,2011,12
24,Bradley Eidsness,0,0
13,John Ramage,2010,94
1,Zemgus Girgensons,2012,10
4,Mikhail Grigorenko,2012,11
8,Hampus Lindholm,2012,12
9,Joel Armia,2011,13
22,Kevin Lalande,0,0
21,Nathan Beaulieu,2011,14
23,Tanner Richard,2012,99
14,Duncan Siemens,2011,15
24,Kyle Lawson,0,0
23,Olli Maatta,2012,13
9,Oscar Klefbom,2011,16
4,Joseph Lavin,0,0
2,Jamieson Oleksiak,2011,17
24,Drew MacKenzie,0,0
4,Brett Bellemore,0,0
23,Derrick Pouliot,2012,14
7,Thomas Wilson,2012,15
22,Maxim Chudinov,2010,95
8,Jonathan Miller,2011,18
7,Teuvo Teravainen,2012,16
1,Mark McNeill,2011,19
14,Connor Murphy,2011,20
4,Corbin McPherson,0,0
14,Malcolm Subban,2012,17
12,Joe Morrow,2011,21
1,Bill Arnold,2010,96
13,Ryan Garlock,0,0
5,Jerome Gauthier-Leduc,2010,97
21,Cody Ceci,2012,18
27,Alexander Guptill,2010,98
21,Troy Rutkowski,2010,99
20,Stefan Noesen,2011,22
14,Tyler Biggs,2011,23
13,Jonas Enlund,0,0
22,Vladislav Namestnikov,2011,24
10,Matthew Puempel,2011,25
