Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,30,1,24,0,False,False
2,1,True,23,4,14,2,False,False
3,1,True,26,1,29,0,False,False
4,1,True,4,4,13,2,False,False
5,1,True,9,1,12,3,False,False
6,1,True,11,3,25,0,False,False
7,1,True,5,2,10,0,False,False
8,1,True,27,2,22,0,False,False
9,1,True,8,1,20,2,True,True
10,1,True,1,3,7,0,False,False
11,1,True,6,1,3,2,True,True
12,1,True,19,2,2,0,False,False
13,1,True,18,4,16,2,False,False
14,1,True,17,0,15,1,True,True
15,1,True,21,1,28,0,True,True
16,2,True,27,1,21,2,True,True
17,2,True,20,2,18,3,True,True
18,2,True,5,0,11,1,False,False
19,2,True,10,2,8,3,True,False
20,2,True,13,0,26,3,False,False
21,2,True,22,1,6,0,True,True
22,2,True,25,3,9,0,False,False
23,2,True,24,0,19,1,False,False
24,2,True,12,2,1,0,False,False
25,2,True,2,2,4,5,False,False
26,2,True,3,1,30,2,True,True
27,2,True,29,2,17,1,False,False
28,3,True,7,0,23,5,False,False
29,3,True,15,1,14,0,False,False
30,3,True,16,0,28,3,False,False
31,4,True,11,0,5,1,True,False
32,4,True,13,0,27,4,False,False
33,4,True,10,4,17,1,False,False
34,4,True,22,2,21,1,True,True
35,4,True,18,4,2,1,False,False
36,4,True,25,0,8,1,True,False
37,4,True,1,1,12,0,True,True
38,4,True,29,0,26,3,False,False
39,4,True,23,4,9,2,False,False
40,4,True,24,1,19,2,False,False
41,4,True,20,1,3,2,True,False
42,4,True,4,0,30,2,False,False
43,5,True,16,0,6,3,False,False
44,5,True,15,5,7,4,True,True
45,5,True,28,2,18,0,False,False
46,5,True,14,0,11,2,False,False
47,5,True,4,2,24,0,False,False
48,5,True,30,0,27,2,False,False
49,5,True,8,1,1,2,True,True
50,5,True,20,2,22,1,False,False
51,5,True,3,4,13,1,False,False
52,5,True,26,0,5,1,True,True
53,5,True,19,2,10,1,False,False
54,5,True,17,2,29,3,False,False
55,5,True,9,0,25,2,False,False
56,5,True,21,5,2,1,False,False
57,6,True,12,0,23,4,False,False
58,6,True,7,3,15,5,False,False
59,6,True,6,2,16,1,False,False
60,6,True,28,1,20,3,False,False
61,6,True,19,2,4,1,True,True
62,6,True,29,2,14,1,False,False
63,6,True,11,2,25,0,False,False
64,6,True,13,1,21,5,False,False
65,6,True,2,0,24,3,False,False
66,6,True,5,3,17,1,False,False
67,6,True,27,3,9,0,False,False
68,6,True,10,1,3,2,False,False
69,6,True,26,1,1,0,False,False
