Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Crunch,SYR,Syracuse,Pacific Division,Western Conference,0,0,0,2006021,2066766,17368,117,82,98,False,2,0,Y,L1,6,1,0,2,0,1,0,82,52,15,0,3,0,8,4,130,141,47,41,29,6,0,1,0,4,1,71,22,218,25,256,12,0,1046,683,195,330,349,355,63,49,40,41,16,82250,162152,54919,26190,124748,32409,47,141,235,376,567,1551,797,1303,1220,1767,604,951,1,
2,IceCaps,STJ,St John's,Southeast Division,Eastern Conference,0,0,0,252910,408000,3429,42,82,20,False,26,0,E,W1,2,7,0,1,0,0,0,82,13,60,0,1,0,1,7,37,97,248,41,8,28,0,1,0,0,4,54,118,134,7,169,27,0,1315,1741,503,460,429,411,66,39,29,27,5,158711,88243,50726,32017,63767,21504,2,97,172,269,416,1482,616,1574,650,1476,391,978,2,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,0,0,0,523972,625000,5252,34,82,32,False,28,0,E,L9,1,9,0,0,0,0,0,82,15,51,0,3,1,7,5,56,98,193,41,9,22,0,2,0,4,4,47,85,163,10,210,17,0,1200,1571,430,391,401,386,86,36,26,26,17,142448,105236,51718,31338,78369,23887,8,98,164,262,511,1525,637,1636,675,1469,416,999,0,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,1318485,1419444,11928,79,82,61,False,11,0,X,W4,6,3,0,0,0,1,0,82,36,24,0,2,1,10,9,106,144,101,41,22,12,0,2,0,2,3,77,44,183,18,186,23,0,1577,1202,343,524,556,469,115,67,37,28,24,124006,125697,51497,29857,97316,25006,24,144,222,366,445,1416,632,1673,780,1707,499,982,0,
5,Heat,ABH,Abbotsford,Northwest Division,Western Conference,260,653,687,674124,740250,6221,119,82,59,False,7,0,X,SOL1,6,2,0,0,0,1,1,82,36,25,0,2,3,8,8,103,123,95,41,17,12,0,2,2,4,4,62,45,157,12,189,13,1,1225,1235,327,401,383,424,83,47,35,31,13,116875,130954,52936,29524,100138,26828,24,123,189,312,506,1555,806,1739,853,1557,508,966,2,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,1270214,1230000,10336,120,82,87,False,6,0,X,W4,7,1,0,0,0,0,2,82,45,11,0,4,2,8,12,128,141,64,41,24,4,0,1,2,5,5,78,28,200,12,159,10,1,1206,746,219,395,402,389,90,43,41,45,17,85990,161929,54430,26545,126715,31214,38,141,227,368,459,1211,769,1305,1162,1738,598,966,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,332128,560683,4712,57,82,20,False,29,0,E,L10,0,10,0,0,0,0,0,82,8,70,0,0,2,0,2,20,89,263,41,5,33,0,0,2,0,1,53,130,113,1,125,23,0,1232,2102,561,402,434,391,38,40,25,24,0,176585,68939,50346,34217,46993,19526,0,89,176,265,312,1406,585,1770,491,1358,352,1030,0,
8,Monsters,LEM,Lake  Erie,Northwest Division,Western Conference,0,0,0,589456,589667,4955,125,82,42,False,22,0,E,W1,4,5,0,0,0,0,1,82,29,28,0,6,4,2,13,91,135,145,41,16,14,0,3,2,0,6,67,69,149,16,175,12,1,1358,1573,459,416,464,439,93,38,42,47,15,146575,100901,53939,32730,73877,24336,14,135,240,375,436,1633,699,1888,593,1440,378,1011,0,
9,Falcons,SPR,Springfield,Central Division,Western Conference,419,1459,1823,519271,549000,4613,104,82,41,False,19,0,E,W3,4,3,0,0,1,1,1,82,22,42,0,3,2,7,6,72,127,170,41,13,17,0,2,1,3,5,68,80,142,9,192,25,1,1318,1743,499,432,416,437,136,43,39,35,13,141671,104571,53182,31881,76426,24463,10,127,215,342,466,1693,704,1714,718,1549,409,1000,2,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,604289,391000,3286,93,82,10,False,27,0,E,L4,1,9,0,0,0,0,0,82,15,56,0,0,4,2,5,43,97,191,41,5,30,0,0,2,2,2,48,97,204,23,162,23,2,1071,1137,314,354,359,346,32,37,26,32,3,112314,131766,53828,29177,100151,28005,4,97,159,256,421,1368,631,1252,928,1548,645,1045,3,
11,Griffins,GRP,Grand Rapids,Central Division,Western Conference,0,0,0,547644,956333,8036,82,82,76,False,18,0,Y,W1,3,3,0,1,0,1,2,82,43,16,0,4,1,10,8,123,157,86,41,26,6,0,1,0,5,3,85,38,200,25,174,9,1,1374,1194,377,453,434,451,116,67,36,40,18,123146,124276,53896,30410,94075,26987,24,157,254,411,458,1519,788,1739,802,1566,450,938,2,
12,City Barons,OCB,Oklahoma,Northwest Division,Western Conference,0,0,0,823929,645750,5426,37,82,79,False,15,0,Y,L2,2,4,0,1,0,2,1,82,42,19,0,3,2,10,6,118,129,66,41,20,9,0,0,2,6,4,66,32,203,17,121,6,1,1261,931,249,385,421,434,86,44,38,34,19,97896,148475,54729,27658,114286,30134,37,129,201,330,342,1305,876,1475,1192,1782,620,957,0,
13,Rampage,SAR,San Antonio,Southeast Division,Eastern Conference,0,0,0,414137,427500,3592,3,82,41,False,12,0,E,SOW1,2,3,0,0,0,4,1,82,17,47,0,3,1,7,7,62,113,188,41,10,22,0,0,1,4,4,71,96,143,13,127,8,1,1336,1697,498,451,397,461,76,38,37,28,14,155225,94347,50379,31788,70326,21269,7,113,165,278,355,1299,660,1735,587,1431,363,957,0,
14,Monarchs,MAN,Manchester,Pacific Division,Western Conference,0,0,0,513521,488025,4101,99,82,32,False,23,0,E,L1,4,6,0,0,0,0,0,82,22,46,0,3,3,3,5,64,120,183,41,15,21,0,1,1,1,2,71,85,173,21,173,33,1,1289,1257,346,444,407,423,41,51,37,26,11,126719,120699,51211,29725,93315,24322,5,120,181,301,414,1393,613,1308,812,1480,536,1029,2,
15,Aeros,HOU,Houston,Northwest Division,Western Conference,0,0,0,951374,933750,7847,48,82,19,False,30,0,E,L3,0,9,0,0,1,0,0,82,3,73,0,0,2,2,2,14,76,280,41,1,37,0,0,1,1,1,42,137,120,8,111,13,0,1182,2095,626,431,365,376,51,24,24,26,3,177858,69091,49742,33108,47431,19256,2,76,145,221,267,1366,527,1638,480,1292,310,1012,0,
16,Bulldogs,HAM,Hamilton,Northeast Division,Eastern Conference,0,0,0,1131937,1168167,9817,114,82,57,False,20,0,,L1,4,5,0,0,0,0,1,82,33,23,0,1,4,10,11,103,112,94,41,18,9,0,1,2,5,6,63,43,213,14,143,10,1,1132,1117,282,378,382,350,94,43,29,29,16,109363,138233,54888,29096,105413,28780,23,112,176,288,394,1338,635,1453,796,1627,424,936,0,
