Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1,Jonas Gustavsson,http://tsn.ca/nhl/teams/players/bio/?id=7800,1,SWE,7/1/1984,192,75,2,False,False,False,False,False,True,True,False,0,1800000,1800000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,76,76,79,77,78,80,76,76,76,79,76,68,70,39,50,75,26,74156,6,13,2,2,73,626,0,0,0,9,1,17,67,1,2,0,0,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,Ondrej Pavelec,http://tsn.ca/nhl/teams/players/bio/?id=5337,1,CZE,7/1/1987,220,75,3,False,False,False,False,False,True,True,False,0,4500000,4500000,4500000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,85,94,95,77,80,82,84,85,85,82,78,62,73,63,50,80,70,230349,28,30,7,2,195,1787,0,36,2,30,11,68,14,1,5,6,2,1196,2523,7483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,Nikolai Khabibulin,http://tsn.ca/nhl/teams/players/bio/?id=1061,13,RUS,7/1/1973,206,73,1,False,False,False,False,False,True,True,False,0,3000000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,2,2,2,2,2,2,75,78,81,69,78,84,80,80,81,69,68,90,86,5,50,77,33,111950,20,7,3,2,80,827,0,2,1,23,5,29,53,0,2,0,1,0,997,3482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,Ray Emery,http://tsn.ca/nhl/teams/players/bio/?id=2514,14,CAN,7/1/1982,196,74,1,False,False,False,False,False,True,True,False,0,1500000,0,0,0,0,0,0,0,0,0,,0,100,0,3,2,2,2,2,2,2,2,2,2,73,71,73,73,75,77,74,74,74,78,75,72,78,23,50,73,22,63946,1,10,4,0,61,597,0,2,0,9,2,14,68,1,0,0,0,0,728,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
5,Miikka Kiprusoff,http://tsn.ca/nhl/teams/players/bio/?id=292,20,FIN,7/1/1976,185,73,2,False,False,False,False,False,True,True,False,0,7900000,7900000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,2,2,2,87,96,94,69,90,94,91,91,92,75,82,84,87,5,50,85,67,239174,38,22,6,4,162,1779,0,21,3,41,10,66,16,1,5,6,3,0,2438,9250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,Alexander Salak,http://tsn.ca/nhl/teams/players/bio/?id=4453,0,CZE,7/1/1987,189,75,0,True,False,False,False,False,True,True,False,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,45,49,59,77,60,56,50,50,49,49,49,62,67,63,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,Jonathan Bernier,http://tsn.ca/nhl/teams/players/bio/?id=5874,25,CAN,7/1/1988,186,71,3,True,False,False,False,False,True,True,False,0,3000000,3000000,3000000,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,68,64,67,61,77,80,76,76,76,68,62,60,69,71,50,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,270844,39,21,14,30,68,1119,0,6,4,62,15,74,0,0,20,13,9,250,3641,16085,False
8,Curtis McElhinney,http://tsn.ca/nhl/teams/players/bio/?id=2967,22,CAN,7/1/1983,197,74,1,False,False,False,False,False,True,True,False,0,750000,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,59,61,72,73,65,64,61,63,63,70,58,70,70,31,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,43214,5,5,1,4,9,148,0,15,0,10,2,12,2,0,1,4,2,0,0,1850,False
9,Kari Lehtonen,http://tsn.ca/nhl/teams/players/bio/?id=2893,9,FIN,7/1/1983,217,76,4,False,False,False,False,True,True,True,False,0,5500000,5500000,5500000,5500000,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,98,96,91,81,87,90,91,90,90,96,90,70,78,31,50,86,56,192167,21,28,5,3,152,1588,0,2,0,30,8,54,23,0,8,2,2,0,1424,7882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
10,Martin Biron,http://tsn.ca/nhl/teams/players/bio/?id=125,17,CAN,7/1/1977,173,74,1,False,False,False,False,False,True,True,False,0,1450000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,2,2,80,67,73,73,83,82,79,78,77,91,77,82,81,5,50,77,23,68091,7,8,1,0,45,476,0,2,0,0,0,15,67,0,1,1,1,0,0,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
