Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProMinutePlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPMinutePlay,ProPKG,ProPKA,ProPKShots,ProPKMinutePlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmMinutePlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPMinutePlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKMinutePlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1580,Tommy Sestito,http://tsn.ca/nhl/teams/players/bio/?id=5628,15,USA,7/1/1987,228,77,False,True,False,False,2,True,False,False,False,False,True,True,False,0,550000,550000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,72,91,50,63,88,52,45,56,32,50,47,51,49,62,60,63,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,8,1,0,0,20,27,0,1,0,2301,0,0,0,0,67,0,0,0,289,0,0,292,0,0,0,0,0,0,0,0,2,2,0,0,120,False
2,Kyle Quincey,http://tsn.ca/nhl/teams/players/bio/?id=3471,17,CAN,7/1/1985,207,74,False,False,False,True,4,False,False,False,False,False,True,True,False,0,4350000,4350000,4350000,4350000,0,0,0,0,0,0,,21,96,0,2,2,2,2,2,2,2,2,2,2,65,42,60,69,76,77,79,58,30,55,54,77,58,66,64,47,50,67,77,94,13,21,34,6,89,5,82,0,0,163,66,2,0,0,1,0,0,0,96310,0,7,5,55,13677,0,0,0,11689,0,0,8811,0,0,1,1,1,3,120,1145,6485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False
3,Radim Vrbata,http://tsn.ca/nhl/teams/players/bio/?id=2231,17,CZE,7/1/1981,194,73,False,False,True,False,4,False,False,False,False,True,True,True,False,0,5700000,5700000,5700000,5700000,0,0,0,0,0,0,,2,100,0,3,3,3,3,3,3,3,3,2,2,52,35,80,79,71,83,89,83,41,68,84,69,86,74,70,15,50,72,77,271,30,34,64,15,14,0,14,0,0,47,135,4,1,104,301,2,5,0,100596,0,1,10,62,15614,2,0,6,6849,0,0,12686,0,0,0,3,6,5,250,2030,10905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,False
4,Luke Schenn,http://tsn.ca/nhl/teams/players/bio/?id=6496,8,CAN,7/1/1989,229,74,False,False,False,True,1,False,False,False,False,False,True,True,False,0,3250000,0,0,0,0,0,0,0,0,0,Sprained Right Ankle Injury,33,77,0,2,2,2,2,2,2,2,2,2,2,88,68,80,66,81,64,89,58,30,59,51,75,57,58,64,79,50,68,78,71,9,30,39,-4,139,35,110,0,0,230,77,0,0,0,0,0,0,0,104901,0,4,9,32,14600,0,2,1,10368,0,0,8877,0,0,4,1,1,3,0,670,5890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,True
5,Bryan Bickell,http://tsn.ca/nhl/teams/players/bio/?id=4509,19,CAN,7/1/1986,233,76,False,True,False,False,1,False,False,False,False,False,True,True,False,0,542000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,2,2,2,2,80,53,74,69,87,53,73,71,31,66,62,58,61,64,66,55,50,64,82,34,7,3,10,-9,20,0,4,0,0,49,18,0,0,14,51,0,0,0,34609,0,0,0,0,132,0,0,3,5815,0,0,2542,0,1,0,1,0,0,250,525,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False
6,Joel Ward,http://tsn.ca/nhl/teams/players/bio/?id=2737,27,CAN,7/1/1980,226,73,False,True,True,False,1,False,False,False,False,False,True,True,False,0,1500000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,59,37,75,68,78,60,81,66,59,62,55,73,57,76,69,7,50,64,82,65,4,5,9,-13,16,0,12,0,0,25,47,1,0,24,55,0,0,0,51900,0,0,0,1,233,0,0,0,4850,0,0,4309,0,0,0,0,1,0,0,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,0,0,0,False
7,Chuck Kobasew,http://tsn.ca/nhl/teams/players/bio/?id=2470,2,CAN,7/1/1982,192,72,False,True,True,False,1,False,False,False,False,False,True,True,False,0,1000000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,2,2,2,2,58,42,68,72,68,50,59,64,37,55,58,62,60,72,69,23,50,60,49,39,0,5,5,-1,2,0,7,0,0,14,20,0,0,13,34,0,0,0,21068,0,0,0,0,193,0,0,3,3881,0,0,1750,0,0,0,0,0,0,10,345,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,0,0,False
8,Jordan Staal,http://tsn.ca/nhl/teams/players/bio/?id=5023,28,CAN,7/1/1988,220,76,True,False,False,False,1,False,False,False,False,False,True,True,False,0,3900000,0,0,0,0,0,0,0,0,0,,11,100,0,3,3,3,3,3,2,2,2,2,2,63,39,80,72,84,86,77,81,75,67,75,78,70,60,70,71,50,72,79,284,28,36,64,5,41,15,14,0,0,100,213,10,2,1103,2100,1,4,0,96572,0,10,17,71,16372,0,0,9,17309,0,0,11869,1,0,2,1,5,5,525,2170,10450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,False
9,Jay McClement,http://tsn.ca/nhl/teams/players/bio/?id=2518,28,CAN,7/1/1983,205,73,True,True,False,False,2,False,False,False,False,False,True,True,False,0,1600000,1600000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,2,2,2,2,2,60,40,79,69,74,66,88,67,78,59,59,78,58,70,67,31,50,65,82,70,9,9,18,3,8,0,12,0,0,42,157,2,0,634,1166,0,0,0,60344,0,0,0,0,386,0,1,2,15678,0,0,4997,0,0,0,0,2,2,95,275,3700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,0,0,0,False
10,Jeff Schultz,http://tsn.ca/nhl/teams/players/bio/?id=4786,8,CAN,7/1/1986,230,78,False,False,False,True,2,False,False,False,False,False,True,True,False,0,2750000,2750000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,2,2,58,37,81,60,91,56,63,52,30,49,47,70,52,64,65,55,50,61,73,35,3,15,18,-8,49,5,65,0,0,80,38,0,0,0,0,0,0,0,74690,0,3,4,7,4321,0,0,4,9273,0,0,4806,0,1,0,0,1,0,35,880,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,False
