Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,6,1,22,2,False,False
2,1,True,9,5,29,3,False,False
3,1,True,7,4,1,5,True,True
4,1,True,17,1,5,3,False,False
5,1,True,14,6,15,1,False,False
6,1,True,16,1,28,4,False,False
7,1,True,19,3,3,1,False,False
8,1,True,21,3,2,1,False,False
9,1,True,12,4,10,3,True,True
10,1,True,24,5,13,6,False,False
11,1,True,30,4,20,3,True,True
12,1,True,23,4,25,2,False,False
13,1,True,27,7,8,4,False,False
14,2,True,11,4,26,2,False,False
15,2,True,4,5,18,4,False,False
16,2,True,9,4,7,5,True,True
17,2,True,21,3,6,6,False,False
18,2,True,5,2,17,1,False,False
19,2,True,28,6,19,3,False,False
20,2,True,23,3,12,4,False,False
21,2,True,22,3,27,5,False,False
22,2,True,30,3,16,2,False,False
23,2,True,10,3,14,4,False,False
24,2,True,3,2,24,4,False,False
25,2,True,20,8,13,4,False,False
26,2,True,15,1,2,3,False,False
27,2,True,25,3,1,2,True,True
28,2,True,29,0,8,3,False,False
29,3,True,26,2,4,3,False,False
30,3,True,18,3,11,1,False,False
31,4,True,25,5,23,4,True,True
32,4,True,29,0,9,3,False,False
33,4,True,20,5,21,1,False,False
34,4,True,22,2,30,5,False,False
35,4,True,28,3,6,4,True,True
36,4,True,13,5,3,3,False,False
37,4,True,15,2,12,3,False,False
38,4,True,14,1,7,5,False,False
39,4,True,10,3,5,4,True,True
40,4,True,24,6,27,2,False,False
41,4,True,8,4,17,2,False,False
42,4,True,2,3,16,8,False,False
43,5,True,4,5,19,2,False,False
44,5,True,1,4,11,6,False,False
45,5,True,2,4,18,3,True,False
46,5,True,5,2,26,3,False,False
47,5,True,28,2,24,0,False,False
48,5,True,3,7,10,6,True,True
49,5,True,15,1,29,2,False,False
50,5,True,7,3,25,0,False,False
51,5,True,8,2,9,1,False,False
52,5,True,30,4,22,3,True,True
53,5,True,16,2,20,3,False,False
54,5,True,14,3,21,4,False,False
55,5,True,12,3,23,2,False,False
56,5,True,13,1,6,2,True,False
57,5,True,27,2,17,1,False,False
58,6,True,3,3,4,4,True,True
59,6,True,1,1,15,2,False,False
60,6,True,26,2,14,3,True,True
61,6,True,20,1,28,2,False,False
62,6,True,27,3,30,1,False,False
63,6,True,23,3,11,5,False,False
64,6,True,24,1,19,4,False,False
65,6,True,21,1,18,2,True,True
66,6,True,17,0,8,2,False,False
67,6,True,10,5,25,4,True,True
68,6,True,7,3,12,4,True,True
69,6,True,13,3,2,0,False,False
70,6,True,9,4,5,1,False,False
71,7,True,22,5,16,4,True,False
72,7,True,6,2,29,4,False,False
73,8,True,20,3,4,0,False,False
74,8,True,17,3,1,2,False,False
75,8,True,10,1,26,3,False,False
76,8,True,12,1,9,3,False,False
77,8,True,25,0,14,3,False,False
78,8,True,13,5,28,2,False,False
79,8,True,2,2,24,0,False,False
80,8,True,27,3,3,5,False,False
81,8,True,30,1,21,4,False,False
82,8,True,11,4,23,2,False,False
83,8,True,7,7,15,6,True,True
84,8,True,18,5,22,1,False,False
85,8,True,8,3,19,4,False,False
86,8,True,29,3,5,4,False,False
87,8,True,6,4,16,0,False,False
88,9,True,21,3,20,4,True,False
89,9,True,30,1,27,4,False,False
90,9,True,5,4,10,3,False,False
91,9,True,2,1,7,6,False,False
92,9,True,3,2,13,1,False,False
93,9,True,19,3,18,2,True,True
94,9,True,11,4,1,1,False,False
95,9,True,24,3,4,5,False,False
96,9,True,23,0,26,3,False,False
97,9,True,8,1,25,3,False,False
98,9,True,17,8,12,4,False,False
99,9,True,9,3,14,2,False,False
100,9,True,28,2,15,1,False,False
101,10,True,22,4,6,3,False,False
102,11,True,16,4,30,6,False,False
103,11,True,7,4,29,2,False,False
104,11,True,26,2,11,3,False,False
105,11,True,14,2,17,5,False,False
106,11,True,18,0,2,4,False,False
107,11,True,28,4,21,1,False,False
108,11,True,19,3,13,5,False,False
109,11,True,5,3,8,2,False,False
110,11,True,4,4,24,5,True,True
111,11,True,9,5,23,4,True,True
112,11,True,27,3,3,0,False,False
113,11,True,25,3,10,5,False,False
114,11,True,22,3,20,5,False,False
115,11,True,15,1,1,2,False,False
116,11,True,6,2,12,5,False,False
117,12,True,18,3,28,1,False,False
118,12,True,27,2,30,3,False,False
119,12,True,25,2,9,1,True,True
120,12,True,1,0,7,3,False,False
121,12,True,3,4,22,2,False,False
122,12,True,15,5,29,3,False,False
123,12,True,14,4,11,3,False,False
124,12,True,6,4,16,3,False,False
125,12,True,19,4,4,5,True,False
126,12,True,2,1,26,3,False,False
127,12,True,23,0,8,5,False,False
128,12,True,5,2,17,3,False,False
129,12,True,24,2,13,6,False,False
130,13,True,12,2,20,3,False,False
131,13,True,10,3,21,5,False,False
132,14,True,3,2,27,0,False,False
133,14,True,6,2,18,1,False,False
134,14,True,16,3,19,2,False,False
135,14,True,8,2,14,3,False,False
136,14,True,13,0,22,5,False,False
137,14,True,29,3,25,2,True,False
138,14,True,11,5,9,2,False,False
139,14,True,17,2,15,6,False,False
140,14,True,24,1,2,6,False,False
141,14,True,30,0,28,2,False,False
142,14,True,26,3,5,2,False,False
143,14,True,4,0,7,2,False,False
144,14,True,1,1,23,2,True,True
145,15,True,8,2,10,5,False,False
146,15,True,21,4,24,0,False,False
147,15,True,20,1,3,3,False,False
148,15,True,13,6,6,2,False,False
149,15,True,18,5,30,7,False,False
150,15,True,16,2,27,3,False,False
151,15,True,9,3,12,7,False,False
152,15,True,1,6,29,4,False,False
153,15,True,17,3,11,2,True,False
154,15,True,2,3,4,0,False,False
155,15,True,23,3,26,4,False,False
156,15,True,22,6,19,2,False,False
157,15,True,15,4,25,2,False,False
158,15,True,5,5,14,2,False,False
159,15,True,7,3,28,2,True,False
160,16,True,20,2,21,5,False,False
161,16,True,12,6,10,1,False,False
162,17,True,23,1,1,3,False,False
163,17,True,16,2,18,1,False,False
164,17,True,9,7,8,3,False,False
165,17,True,2,1,6,2,False,False
166,17,True,27,3,22,5,False,False
167,17,True,26,1,5,5,False,False
168,17,True,28,0,13,5,False,False
169,17,True,25,1,7,3,False,False
170,17,True,19,3,24,5,False,False
171,17,True,17,3,30,1,False,False
172,17,True,29,2,15,3,True,True
173,17,True,4,2,3,1,False,False
174,17,True,14,4,11,2,False,False
175,18,True,21,1,20,2,True,False
176,18,True,24,2,16,4,False,False
177,18,True,10,3,9,2,True,True
178,18,True,22,3,2,5,False,False
179,18,True,12,4,17,1,False,False
180,18,True,7,5,23,3,False,False
181,18,True,30,2,27,3,True,True
182,18,True,3,3,19,2,False,False
183,18,True,15,3,26,4,True,True
184,18,True,5,3,1,2,False,False
185,18,True,18,5,4,4,True,True
186,18,True,11,3,29,2,False,False
187,18,True,6,4,13,5,False,False
188,18,True,28,3,14,4,False,False
189,18,True,25,2,8,0,False,False
190,19,True,21,0,12,2,False,False
191,19,True,10,2,20,0,False,False
192,20,True,19,1,16,2,False,False
193,20,True,24,3,18,4,True,True
194,20,True,23,4,15,3,False,False
195,20,True,4,3,27,4,False,False
196,20,True,14,2,5,3,False,False
197,20,True,2,6,30,2,False,False
198,20,True,1,5,6,3,False,False
199,20,True,25,4,9,1,False,False
200,20,True,22,6,3,3,False,False
201,20,True,13,0,28,2,False,False
202,20,True,17,2,7,1,False,False
203,20,True,8,5,11,2,False,False
204,20,True,26,3,29,0,False,False
205,21,True,1,2,10,7,False,False
206,21,True,24,4,21,5,False,False
207,21,True,20,2,2,3,True,True
208,21,True,12,4,25,1,False,False
209,21,True,4,3,22,2,True,False
210,21,True,14,2,23,4,False,False
211,21,True,15,1,17,2,True,True
212,21,True,28,3,16,2,False,False
213,21,True,18,0,19,2,False,False
214,21,True,7,3,26,2,False,False
215,21,True,29,6,5,4,False,False
216,21,True,30,3,3,1,False,False
217,21,True,27,2,9,0,False,False
218,21,True,11,2,6,5,False,False
219,21,True,8,2,13,6,False,False
220,22,True,10,1,12,2,True,False
221,22,True,21,3,20,7,False,False
222,23,True,30,2,24,4,False,False
223,23,True,23,4,1,3,False,False
224,23,True,3,6,4,7,True,True
225,23,True,28,3,18,5,False,False
226,23,True,17,2,7,5,False,False
227,23,True,19,5,2,1,False,False
228,23,True,13,2,22,3,False,False
229,23,True,26,0,8,1,False,False
230,23,True,11,4,14,2,False,False
231,23,True,5,0,15,3,False,False
232,23,True,9,2,25,3,True,True
233,23,True,6,2,27,5,False,False
234,23,True,29,2,16,3,True,True
235,24,True,19,4,21,6,False,False
236,24,True,7,1,10,2,True,True
237,24,True,3,1,28,2,False,False
238,24,True,14,4,23,2,False,False
239,24,True,20,3,24,2,True,True
240,24,True,1,3,17,5,False,False
241,24,True,6,2,30,5,False,False
242,24,True,15,1,12,4,False,False
243,24,True,22,3,18,2,True,True
244,24,True,25,2,26,1,True,False
245,24,True,27,3,4,1,False,False
246,24,True,5,6,11,5,False,False
247,24,True,8,3,29,5,False,False
248,25,True,13,3,2,2,True,True
249,25,True,21,4,9,1,False,False
250,25,True,16,1,10,2,False,False
251,26,True,29,1,1,4,False,False
252,26,True,27,2,19,3,True,True
253,26,True,22,3,20,2,True,True
254,26,True,25,4,17,1,False,False
255,26,True,28,2,30,0,False,False
256,26,True,4,5,3,1,False,False
257,26,True,6,6,24,5,False,False
258,26,True,12,2,15,1,True,False
259,26,True,18,0,8,2,False,False
260,26,True,7,4,14,5,True,True
261,26,True,26,6,5,5,True,True
262,26,True,10,3,23,4,True,True
263,26,True,16,2,13,4,False,False
264,27,True,2,3,21,2,True,True
265,27,True,11,3,7,1,False,False
266,27,True,20,2,6,1,False,False
267,27,True,13,1,27,4,False,False
268,27,True,4,1,28,3,False,False
269,27,True,18,3,22,0,False,False
270,27,True,9,3,25,1,False,False
271,27,True,5,4,29,1,False,False
272,27,True,3,4,16,5,True,True
273,27,True,26,5,1,1,False,False
274,27,True,8,1,12,2,False,False
275,27,True,23,2,19,1,False,False
276,27,True,15,3,17,1,False,False
277,27,True,30,5,24,3,False,False
278,28,True,10,3,11,1,False,False
279,28,True,29,9,14,1,False,False
280,28,True,16,3,2,5,False,False
