Number,Transaction
20001,[2/9/2013 8:49:23 PM] - Avalanche are expected to be under the minimum salary cap by $25-000!
20002,[2/9/2013 8:49:23 PM] - Bruins are expected to be under the minimum salary cap by $25-000!
20003,[2/9/2013 8:49:23 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20004,[2/9/2013 8:49:23 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20005,[2/9/2013 8:49:23 PM] - Predators are expected to be under the minimum salary cap by $1-333-332!
20006,[2/9/2013 8:49:24 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20007,[2/9/2013 8:49:24 PM] - Predators are expected to be under the minimum salary cap by $1-333-332!
20008,[2/9/2013 8:49:25 PM] - Current fund for Rangers is under $0.
20009,[2/9/2013 8:49:25 PM] - Current fund for Coyotes is under $0.
20010,[2/9/2013 8:49:26 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20011,[2/9/2013 8:49:26 PM] - Current fund for Canucks is under $0.
20012,<font color="Black">[2/11/2013 8:54:32 PM] - Successfully loaded Ducks lines done with STHS Client - 2.1.5.5</font>
20013,<font color="Black">[2/11/2013 8:54:32 PM] - Peter Regin of Bruins was sent to pro.</font>
20014,[2/11/2013 8:54:32 PM] - Korbinian Holzer of Bruins was sent to farm.
20015,<font color="Black">[2/11/2013 8:54:32 PM] - Successfully loaded Bruins lines done with STHS Client - 2.1.6.6</font>
20016,<font color="Black">[2/11/2013 9:04:00 PM] - Successfully loaded Flames lines done with STHS Client - 2.1.2.2</font>
20017,[2/11/2013 9:04:00 PM] - Aaron Palushaj of Hurricanes was sent to farm.
20018,[2/11/2013 9:04:00 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20019,<font color="Black">[2/11/2013 9:04:00 PM] - Successfully loaded Hurricanes lines done with STHS Client - 2.1.5.5</font>
20020,<font color="Black">[2/11/2013 9:04:01 PM] - Successfully loaded Blackhawks lines done with STHS Client - 2.1.6.6</font>
20021,<font color="Black">[2/11/2013 9:04:01 PM] - Cory Emmerton of Avalanche was sent to pro.</font>
20022,<font color="Black">[2/11/2013 9:04:01 PM] - Successfully loaded Avalanche lines done with STHS Client - 2.1.5.5</font>
20023,<font color="Black">[2/11/2013 9:04:06 PM] - Successfully loaded Red Wings lines done with STHS Client - 2.1.6.6</font>
20024,<font color="Black">[2/11/2013 9:04:08 PM] - Successfully loaded Wild lines done with STHS Client - 2.1.3.3</font>
20025,<font color="Black">[2/11/2013 9:04:08 PM] - Scott Parse of Flyers was sent to pro.</font>
20026,<font color="Black">[2/11/2013 9:04:08 PM] - Successfully loaded Flyers lines done with STHS Client - 2.1.6.6</font>
20027,<font color="Black">[2/11/2013 9:04:08 PM] - Nino Niederreiter of Penguins was sent to pro.</font>
20028,<font color="Black">[2/11/2013 9:04:08 PM] - Successfully loaded Penguins lines done with STHS Client - 2.1.6.6</font>
20029,<font color="#0080C0">[2/11/2013 9:04:11 PM] - Sharks sent Bracken Kearns to waiver.</font>
20030,[2/11/2013 9:04:12 PM] - Bracken Kearns of Sharks was sent to farm.
20031,<font color="Black">[2/11/2013 9:04:21 PM] - Successfully loaded Sharks lines done with STHS Client - 2.1.6.6</font>
20032,<font color="Black">[2/11/2013 9:04:21 PM] - Successfully loaded Canucks lines done with STHS Client - 2.1.8.8</font>
20033,<font color="#0080C0">[2/11/2013 9:05:24 PM] - Avalanche show interest in Mike Zigomanis from waiver.</font>
20034,[2/11/2013 9:10:20 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20035,[2/11/2013 9:10:20 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20036,[2/11/2013 9:10:20 PM] - Predators are expected to be under the minimum salary cap by $1-333-332!
20037,[2/11/2013 9:10:20 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20038,<font color="Red">[2/11/2013 9:10:30 PM] - Game 411 - Sami Salo from Penguins is injured  (Right Knee) and is out for 1 week.</font>
20039,<font color="Red">[2/11/2013 9:10:30 PM] - Game 411 - Nino Niederreiter from Penguins is injured  (Lower Body) and is out for 4 days.</font>
20040,[2/11/2013 9:10:33 PM] - Ducks lines for next game are empty. Current rosters/lines are not erased.
20041,[2/11/2013 9:10:33 PM] - Crunch lines for next game are empty. Current rosters/lines are not erased.
20042,[2/11/2013 9:10:33 PM] - IceCaps lines for next game are empty. Current rosters/lines are not erased.
20043,[2/11/2013 9:10:33 PM] - Bruins lines for next game are empty. Current rosters/lines are not erased.
20044,[2/11/2013 9:10:33 PM] - Sabres lines for next game are empty. Current rosters/lines are not erased.
20045,[2/11/2013 9:10:33 PM] - Americans lines for next game are empty. Current rosters/lines are not erased.
20046,[2/11/2013 9:10:33 PM] - Heat lines for next game are empty. Current rosters/lines are not erased.
20047,[2/11/2013 9:10:33 PM] - Checkers lines for next game are empty. Current rosters/lines are not erased.
20048,[2/11/2013 9:10:33 PM] - IceHogs lines for next game are empty. Current rosters/lines are not erased.
20049,[2/11/2013 9:10:33 PM] - Monsters lines for next game are empty. Current rosters/lines are not erased.
20050,[2/11/2013 9:10:33 PM] - Falcons lines for next game are empty. Current rosters/lines are not erased.
20051,[2/11/2013 9:10:33 PM] - Stars lines for next game are empty. Current rosters/lines are not erased.
20052,[2/11/2013 9:10:33 PM] - Rampage lines for next game are empty. Current rosters/lines are not erased.
20053,[2/11/2013 9:10:33 PM] - Monarchs lines for next game are empty. Current rosters/lines are not erased.
20054,[2/11/2013 9:10:33 PM] - Aeros lines for next game are empty. Current rosters/lines are not erased.
20055,[2/11/2013 9:10:33 PM] - Bulldogs lines for next game are empty. Current rosters/lines are not erased.
20056,[2/11/2013 9:10:33 PM] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20057,[2/11/2013 9:10:33 PM] - Devils lines for next game are empty. Current rosters/lines are not erased.
20058,[2/11/2013 9:10:33 PM] - Whale lines for next game are empty. Current rosters/lines are not erased.
20059,[2/11/2013 9:10:33 PM] - Senators lines for next game are empty. Current rosters/lines are not erased.
20060,[2/11/2013 9:10:33 PM] - Pirates lines for next game are empty. Current rosters/lines are not erased.
20061,[2/11/2013 9:10:33 PM] - Rivermen lines for next game are empty. Current rosters/lines are not erased.
20062,[2/11/2013 9:10:33 PM] - Sharks lines for next game are empty. Current rosters/lines are not erased.
20063,[2/11/2013 9:10:33 PM] - Admirals lines for next game are empty. Current rosters/lines are not erased.
20064,[2/11/2013 9:10:33 PM] - Marlies lines for next game are empty. Current rosters/lines are not erased.
20065,[2/11/2013 9:10:33 PM] - Wolves lines for next game are empty. Current rosters/lines are not erased.
20066,[2/11/2013 9:10:33 PM] - Bears lines for next game are empty. Current rosters/lines are not erased.
20067,<font color="#0080C0">[2/11/2013 9:10:33 PM] - Avalanche claimed Mike Zigomanis from waiver from Blues for $100-000.00.</font>
20068,<font color="#FF8000">[2/11/2013 9:10:33 PM] - Mike Zigomanis was added to Avalanche.</font>
20069,<font color="Red">[2/11/2013 9:10:33 PM] - Brian Gionta is back from Sprained Left Finger Injury.</font>
20070,<font color="Red">[2/11/2013 9:10:33 PM] - T.J. Oshie is back from Exhaustion.</font>
20071,<font color="Red">[2/11/2013 9:10:33 PM] - Nino Niederreiter is back from Lower Body Injury.</font>
20072,[2/11/2013 9:10:37 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20073,[2/11/2013 9:10:37 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20074,[2/11/2013 9:10:37 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20075,[2/11/2013 9:10:54 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20076,[2/11/2013 9:10:55 PM] - Maximum Pro Players Limit Reached for Red Wings!
20077,[2/11/2013 9:10:55 PM] - Canadiens are expected to be under the minimum salary cap by $6-020-232!
20078,[2/11/2013 9:10:56 PM] - Current fund for Rangers is under $0.
20079,[2/11/2013 9:10:56 PM] - Current fund for Coyotes is under $0.
20080,[2/11/2013 9:10:57 PM] - Coyotes are expected to be under the minimum salary cap by $1-292-500!
20081,[2/11/2013 9:10:58 PM] - Current fund for Canucks is under $0.
20082,<font color="Red">[2/11/2013 9:13:45 PM] - Jonathan Toews is back from Bruised Left Arm Injury.</font>
20083,<font color="Red">[2/11/2013 9:13:45 PM] - Sami Salo is back from Right Knee Injury.</font>
20084,[2/11/2013 9:13:46 PM] - Manual rest day was been done.
20085,[2/11/2013 9:13:49 PM] - Hurricanes are expected to be under the minimum salary cap by $700-000!
20086,[2/11/2013 9:13:49 PM] - Red Wings roster errors : Too many Players available in Pro Team! 19 Dressed. Maximum is 18.
Maximum Players Limit Reached in Pro Team!
Some errors will be automatically fixed.

20087,<font color="Black">[2/11/2013 9:13:50 PM] - Auto Roster Partial Function has been run for Red Wings.</font>
20088,[2/11/2013 9:13:50 PM] - Red Wings roster errors : Maximum Players Limit Reached in Pro Team!
Some errors will be automatically fixed.

20089,[2/11/2013 9:13:50 PM] - Kings roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.
