Number,Transaction
20001,<font color="Black">[4/5/2013 11:27:27 PM] - Auto Lines Partial Function has been run for Wild.</font>
20002,[4/5/2013 11:27:27 PM] - Wild lines errors : Clarke MacArthur is used twice in PP lines 1 and 2.

20003,<font color="Black">[4/5/2013 11:27:27 PM] - Auto Lines Function has been run for Wild.</font>
20004,[4/5/2013 11:27:27 PM] - Canadiens roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20005,<font color="Black">[4/5/2013 11:27:27 PM] - Auto Roster Partial Function has been run for Canadiens.</font>
20006,<font color="Black">[4/5/2013 11:27:27 PM] - Auto Lines Partial Function has been run for Canadiens.</font>
20007,[4/5/2013 11:27:27 PM] - Canadiens lines errors : Johnny Boychuk is used twice in PP lines 1 and 2.
Bryce Salvador is used twice in PK lines 1 and 2.
Johnny Boychuk is used twice in 4vs4 lines 1 and 2.
Bryce Salvador is used twice in PK3 lines 1 and 2.

20008,<font color="Black">[4/5/2013 11:27:27 PM] - Auto Lines Function has been run for Canadiens.</font>
20009,[4/5/2013 11:27:27 PM] - Predators are expected to be under the minimum salary cap by $4-383-332!
20010,[4/5/2013 11:27:27 PM] - Senators are expected to be over the salary cap by $150-000!
20011,[4/5/2013 11:27:27 PM] - Penguins roster errors : Not enough Defenseman available in Pro Team! 5 Dressed. 6 Required.
Not enough Players available in Pro Team! 15 Dressed. 18 Required.
Some errors will be automatically fixed.

20012,[4/5/2013 11:27:27 PM] - Penguins are expected to be under the minimum salary cap by $6-050-832!
20013,<font color="Black">[4/5/2013 11:27:27 PM] - Auto Roster Partial Function has been run for Penguins.</font>
20014,[4/5/2013 11:27:27 PM] - Penguins are expected to be under the minimum salary cap by $6-050-832!
20015,[4/5/2013 11:27:27 PM] - Penguins are expected to be under the minimum salary cap by $6-050-832!
20016,<font color="Black">[4/5/2013 11:27:27 PM] - Auto Lines Partial Function has been run for Penguins.</font>
20017,[4/5/2013 11:27:27 PM] - Penguins lines errors : Tomas Fleischmann is used twice in PP lines 1 and 2.
Troy Brouwer is used twice in PK lines 1 and 2.
Troy Brouwer is used twice in 4vs4 lines 1 and 2.

20018,[4/5/2013 11:27:27 PM] - Penguins are expected to be under the minimum salary cap by $6-050-832!
20019,<font color="Black">[4/5/2013 11:27:27 PM] - Auto Lines Function has been run for Penguins.</font>
20020,<font color="Red">[4/5/2013 11:27:33 PM] - Game 883 - Curtis Glencross from Coyotes is injured  (Torso) and is out for 1 week.</font>
20021,<font color="Red">[4/5/2013 11:27:33 PM] - Game 884 - Marco Scandella from Red Wings is injured  (Bruised Right Foot) and is out for 2 months.</font>
20022,[4/5/2013 11:27:33 PM] - Mikhail Grabovski from Red Wings has scored a Hat Trick!
20023,<font color="Red">[4/5/2013 11:27:34 PM] - Game 888 - Travis Hamonic from Blackhawks is injured  (Lower Body) and is out for 5 days.</font>
20024,<font color="Red">[4/5/2013 11:27:34 PM] - Game 889 - Mark Giordano from Sabres is injured  (Right Forearm) and is out for 3 weeks.</font>
20025,<font color="Red">[4/5/2013 11:27:34 PM] - Game 890 - Guillaume Latendresse from Bruins is injured  (Bruised Right Arm) and is out for 1 week.</font>
20026,<font color="Red">[4/5/2013 11:27:34 PM] - Game 891 - Jordan Caron from Penguins is injured  (Strained Left Knee) and is out for 3 days.</font>
20027,<font color="Red">[4/5/2013 11:27:34 PM] - Game 893 - Dmitry Kulikov from Blues is injured  (Right Leg) and is out for 1 week.</font>
20028,<font color="Red">[4/5/2013 11:27:35 PM] - Game 895 - Joni Pitkanen from Flames is injured  (Left Hand) and is out for 2 weeks.</font>
20029,[4/5/2013 11:27:35 PM] - Last 7 Days Pro Star : 1 - Curtis Glencross (7-1-8) / 2 - Patrice Bergeron (4-8-12) / 3 - Brooks Laich (8-3-11)
20030,[4/5/2013 11:27:35 PM] - Last 7 Days Farm Star : 1 - Jonathan Bernier (1.000) / 2 - Andrew Gordon (4-1-5) / 3 - Daniel Larsson (0.971)
20031,[4/5/2013 11:27:35 PM] - Ducks lines for next game are empty. Current rosters/lines are not erased.
20032,[4/5/2013 11:27:35 PM] - Crunch lines for next game are empty. Current rosters/lines are not erased.
