Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,18,3,2,0,False,False
2,1,True,26,0,1,1,False,False
3,1,True,8,3,25,0,False,False
4,1,True,12,2,15,1,False,False
5,1,True,11,5,17,4,True,True
6,1,True,19,2,7,0,False,False
7,1,True,24,3,6,2,True,False
8,1,True,4,2,3,1,False,False
9,1,True,29,3,20,0,False,False
10,2,True,30,1,22,2,True,True
11,2,True,21,0,13,2,False,False
12,2,True,23,4,9,2,False,False
13,2,True,27,2,10,1,False,False
14,2,True,14,3,5,4,False,False
15,2,True,28,2,16,1,True,False
16,3,True,7,0,11,7,False,False
17,3,True,3,1,4,2,False,False
18,3,True,20,1,18,0,False,False
19,3,True,24,1,19,4,False,False
20,3,True,1,1,26,3,False,False
21,3,True,8,3,12,2,True,False
22,3,True,6,1,29,2,False,False
23,3,True,2,0,27,3,False,False
24,3,True,15,1,28,5,False,False
25,3,True,25,0,14,3,False,False
26,4,True,9,2,23,4,False,False
27,4,True,30,0,21,3,False,False
28,4,True,5,3,8,2,False,False
29,4,True,22,2,24,0,False,False
30,4,True,10,2,17,4,False,False
31,4,True,16,1,13,2,False,False
32,4,True,12,0,29,1,True,True
33,4,True,26,2,11,0,False,False
34,4,True,2,2,20,6,False,False
35,5,True,3,3,30,2,True,True
36,5,True,25,5,7,2,False,False
37,5,True,18,0,4,6,False,False
38,5,True,19,2,6,1,False,False
39,5,True,10,2,1,1,True,False
40,6,True,13,1,27,4,False,False
41,6,True,16,2,22,5,False,False
42,6,True,15,4,14,3,True,False
43,6,True,21,4,28,1,False,False
44,6,True,9,1,5,3,False,False
45,6,True,6,3,23,1,False,False
46,7,True,4,4,2,1,False,False
47,7,True,18,0,24,3,False,False
48,7,True,1,3,3,2,False,False
49,7,True,26,0,19,2,False,False
50,7,True,7,0,12,4,False,False
51,7,True,17,1,8,2,True,True
52,7,True,11,5,25,1,False,False
53,7,True,20,3,9,5,False,False
54,7,True,29,2,10,0,False,False
55,8,True,28,6,16,1,False,False
56,8,True,22,0,21,1,True,True
57,8,True,27,4,30,3,True,False
58,8,True,5,5,15,1,False,False
59,8,True,13,3,18,2,False,False
60,8,True,23,0,26,4,False,False
61,9,True,29,3,14,2,True,True
62,9,True,11,4,17,1,False,False
63,9,True,12,3,25,0,False,False
64,9,True,6,1,2,2,False,False
65,9,True,24,2,4,3,False,False
66,9,True,3,0,1,2,False,False
67,9,True,19,1,8,0,False,False
68,9,True,20,2,7,4,False,False
69,9,True,21,1,28,3,False,False
70,9,True,23,3,9,4,True,True
71,10,True,22,3,30,0,False,False
72,10,True,5,4,10,3,False,False
73,10,True,27,3,13,0,False,False
74,10,True,7,4,15,2,False,False
75,10,True,20,1,16,3,False,False
76,10,True,19,2,18,0,False,False
77,10,True,1,4,3,1,False,False
78,10,True,14,1,26,4,False,False
79,10,True,8,2,24,0,False,False
80,10,True,2,5,6,2,False,False
81,11,True,12,0,11,1,True,False
82,11,True,17,1,29,2,False,False
83,11,True,4,3,5,0,False,False
