Number,Transaction
20001,[12-Nov-13 12:09:25 AM] - Current fund for Rangers is under $0.
20002,[12-Nov-13 12:09:26 AM] - Current fund for Senators is under $0.
20003,[12-Nov-13 12:09:26 AM] - Current fund for Canucks is under $0.
20004,[12-Nov-13 12:09:45 AM] - Sabres roster errors : Not enough Defenseman available in Pro Team! 3 Dressed. 6 Required.
Not enough Players available in Pro Team! 13 Dressed. 18 Required.
Some errors will be automatically fixed.

20005,[12-Nov-13 12:09:45 AM] - Sabres are expected to be under the minimum salary cap by $358-888!
20006,<font color="Black">[12-Nov-13 12:09:45 AM] - Brett Clark of Sabres was sent to pro.</font>
20007,<font color="Black">[12-Nov-13 12:09:45 AM] - Brett Bellemore of Sabres was sent to pro.</font>
20008,<font color="Black">[12-Nov-13 12:09:45 AM] - Jacob Josefson of Sabres was sent to pro.</font>
20009,<font color="Black">[12-Nov-13 12:09:45 AM] - Auto Roster Partial Function has been run for Sabres.</font>
20010,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Lines Partial Function has been run for Sabres.</font>
20011,[12-Nov-13 12:09:46 AM] - Hurricanes roster errors : Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.

20012,<font color="Black">[12-Nov-13 12:09:46 AM] - Greg Rallo of Hurricanes was sent to pro.</font>
20013,<font color="Black">[12-Nov-13 12:09:46 AM] - Alexandre Bolduc of Hurricanes was sent to pro.</font>
20014,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Roster Partial Function has been run for Hurricanes.</font>
20015,[12-Nov-13 12:09:46 AM] - Hurricanes lines errors : Normal line # 2 C is empty.
Normal line # 4 C is empty.
PP line 2 C is empty.
PK line 2 C is empty.
4 vs 4 line 2 C is empty.

20016,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Lines Partial Function has been run for Hurricanes.</font>
20017,[12-Nov-13 12:09:46 AM] - Canadiens roster errors : Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.

20018,<font color="Black">[12-Nov-13 12:09:46 AM] - J.T. Wyman of Canadiens was sent to pro.</font>
20019,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Roster Partial Function has been run for Canadiens.</font>
20020,[12-Nov-13 12:09:46 AM] - Canadiens lines errors : Normal line # 2 LW is empty.
Normal line # 4 C is empty.

20021,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Lines Partial Function has been run for Canadiens.</font>
20022,[12-Nov-13 12:09:46 AM] - Coyotes roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20023,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Roster Partial Function has been run for Coyotes.</font>
20024,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Lines Partial Function has been run for Coyotes.</font>
20025,[12-Nov-13 12:09:46 AM] - Capitals roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20026,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Roster Partial Function has been run for Capitals.</font>
20027,[12-Nov-13 12:09:46 AM] - Capitals lines errors : Normal line # 3 C is empty.
PK line 2 LW is empty.
4 vs 4 line 2 LW is empty.
Penalty Shot Player #4 is empty.

20028,<font color="Black">[12-Nov-13 12:09:46 AM] - Auto Lines Partial Function has been run for Capitals.</font>
20029,[12-Nov-13 12:10:09 AM] - Current fund for Rangers is under $0.
20030,[12-Nov-13 12:10:10 AM] - Current fund for Senators is under $0.
20031,[12-Nov-13 12:10:11 AM] - Current fund for Canucks is under $0.
20032,[12-Nov-13 2:39:55 PM] - Current fund for Rangers is under $0.
20033,[12-Nov-13 2:40:08 PM] - Current fund for Rangers is under $0.
20034,[12-Nov-13 2:40:31 PM] - Mark Cundari of Rangers was sent to farm.
20035,<font color="Black">[12-Nov-13 2:40:33 PM] - Wade Redden of Rangers was sent to pro.</font>
20036,<font color="Black">[12-Nov-13 2:40:50 PM] - Mark Cundari of Rangers was sent to pro.</font>
20037,[12-Nov-13 3:04:27 PM] - Current fund for Rangers is under $0.
20038,<font color="#FF8000">[12-Nov-13 3:04:34 PM] - Andy Rogers has been deleted from Rangers.</font>
20039,<font color="#FF8000">[12-Nov-13 3:04:37 PM] - Brett Hemingway has been deleted from Rangers.</font>
20040,<font color="#FF8000">[12-Nov-13 3:04:41 PM] - Chris Hickey has been deleted from Rangers.</font>
20041,<font color="#FF8000">[12-Nov-13 3:04:43 PM] - Cody Blanshan has been deleted from Rangers.</font>
20042,<font color="#FF8000">[12-Nov-13 3:04:51 PM] - Ken Roche has been deleted from Rangers.</font>
20043,<font color="#FF8000">[12-Nov-13 3:04:58 PM] - Mike Egener has been deleted from Rangers.</font>
