Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,2,2,27,10,False,False
2,1,True,22,0,4,5,False,False
3,1,True,3,3,24,4,False,False
4,1,True,21,1,18,3,False,False
5,2,True,23,0,26,5,False,False
6,2,True,5,4,9,2,False,False
7,2,True,10,1,12,4,False,False
8,2,True,25,1,1,9,False,False
9,3,True,2,1,27,9,False,False
10,3,True,22,0,4,5,False,False
11,3,True,3,3,24,2,False,False
12,3,True,21,4,18,3,True,False
13,4,True,23,2,26,4,False,False
14,4,True,5,2,9,5,False,False
15,4,True,10,2,12,7,False,False
16,4,True,25,2,1,6,False,False
17,5,True,27,6,2,1,False,False
18,5,True,4,6,22,1,False,False
19,5,True,24,3,3,0,False,False
20,5,True,18,3,21,0,False,False
21,6,True,26,4,23,3,False,False
22,6,True,9,7,5,3,False,False
23,6,True,12,7,10,3,False,False
24,6,True,1,7,25,1,False,False
25,7,True,27,3,2,1,False,False
26,7,True,4,3,22,2,True,False
27,7,True,24,4,3,5,False,False
28,7,True,18,1,21,4,False,False
29,8,True,26,5,23,2,False,False
30,8,True,9,6,5,0,False,False
31,8,True,12,4,10,3,True,False
32,8,True,1,2,25,0,False,False
35,9,True,3,6,24,2,False,False
36,9,True,21,2,18,0,False,False
38,10,True,5,2,9,6,False,False
43,11,True,24,2,3,3,False,False
44,11,True,18,2,21,6,False,False
57,15,True,3,2,27,3,False,False
58,15,True,21,1,4,2,False,False
59,16,True,1,4,26,2,False,False
60,16,True,12,1,9,4,False,False
61,17,True,3,3,27,8,False,False
62,17,True,21,2,4,4,False,False
63,18,True,1,0,26,5,False,False
64,18,True,12,3,9,1,False,False
65,19,True,27,2,3,1,False,False
66,19,True,4,5,21,1,False,False
67,20,True,26,9,1,2,False,False
68,20,True,9,4,12,1,False,False
69,21,True,27,5,3,3,False,False
70,21,True,4,6,21,2,False,False
71,22,True,26,7,1,2,False,False
72,22,True,9,2,12,4,False,False
75,24,True,1,4,26,8,False,False
76,24,True,12,5,9,1,False,False
80,26,True,9,3,12,0,False,False
84,28,True,12,2,9,1,False,False
85,29,True,4,1,27,2,True,False
86,30,True,12,2,26,5,False,False
87,31,True,4,2,27,4,False,False
88,32,True,12,6,26,1,False,False
89,33,True,27,1,4,4,False,False
90,34,True,26,7,12,3,False,False
91,35,True,27,3,4,5,False,False
92,36,True,26,7,12,1,False,False
93,37,True,4,2,27,3,False,False
94,38,True,12,1,26,6,False,False
95,39,True,27,3,4,5,False,False
97,41,True,4,4,27,1,False,False
99,43,True,4,5,26,2,False,False
100,44,True,4,2,26,4,False,False
101,45,True,26,5,4,3,False,False
102,46,True,26,0,4,5,False,False
103,47,True,4,7,26,4,False,False
104,48,True,26,3,4,4,True,False
