Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
1,1,True,4,2,27,3,True,False
2,1,True,21,3,13,4,False,False
3,1,True,28,4,6,3,False,False
4,1,True,22,3,9,4,False,False
5,2,True,15,2,25,3,False,False
6,2,True,7,2,10,4,False,False
7,2,True,17,2,12,3,True,False
8,2,True,26,3,1,2,False,False
9,3,True,4,1,27,3,False,False
10,3,True,21,2,13,0,False,False
11,3,True,28,5,6,3,False,False
12,3,True,22,1,9,0,False,False
13,4,True,15,6,25,5,False,False
14,4,True,7,2,10,3,True,False
15,4,True,17,4,12,2,False,False
16,4,True,26,0,1,3,False,False
17,5,True,27,2,4,3,False,False
18,5,True,13,0,21,3,False,False
19,5,True,6,6,28,3,False,False
20,5,True,9,0,22,1,False,False
21,6,True,25,5,15,3,False,False
22,6,True,10,3,7,4,False,False
23,6,True,12,3,17,2,True,False
24,6,True,1,3,26,1,False,False
25,7,True,27,3,4,2,True,False
26,7,True,13,4,21,6,False,False
27,7,True,6,5,28,4,True,False
28,7,True,9,1,22,2,True,False
29,8,True,25,2,15,0,False,False
30,8,True,10,4,7,3,False,False
31,8,True,12,1,17,5,False,False
32,8,True,1,4,26,5,True,False
33,9,True,4,1,27,3,False,False
34,9,True,21,5,13,2,False,False
35,9,True,28,3,6,2,True,False
36,9,True,22,3,9,2,True,False
37,10,True,15,2,25,5,False,False
38,10,True,7,3,10,4,False,False
39,10,True,17,3,12,2,False,False
40,10,True,26,3,1,2,True,False
43,11,True,6,1,28,5,False,False
47,12,True,12,5,17,3,False,False
48,12,True,1,1,26,5,False,False
55,14,True,17,2,12,3,True,False
57,15,True,21,1,27,3,False,False
58,15,True,28,3,22,2,False,False
59,16,True,10,3,25,2,False,False
60,16,True,26,1,12,3,False,False
61,17,True,21,1,27,2,False,False
62,17,True,28,3,22,1,False,False
63,18,True,10,4,25,2,False,False
64,18,True,26,3,12,4,True,False
65,19,True,27,2,21,4,False,False
66,19,True,22,3,28,5,False,False
67,20,True,25,5,10,2,False,False
68,20,True,12,3,26,2,False,False
69,21,True,27,2,21,4,False,False
70,21,True,22,3,28,4,False,False
71,22,True,25,5,10,2,False,False
72,22,True,12,3,26,1,False,False
73,23,True,21,3,27,2,False,False
75,24,True,10,2,25,1,False,False
77,25,True,27,3,21,1,False,False
79,26,True,25,2,10,5,False,False
81,27,True,21,1,27,3,False,False
85,29,True,28,2,27,5,False,False
86,30,True,12,1,10,2,False,False
87,31,True,28,4,27,3,True,False
88,32,True,12,1,10,2,False,False
89,33,True,27,4,28,3,True,False
90,34,True,10,3,12,2,False,False
91,35,True,27,4,28,2,False,False
92,36,True,10,2,12,6,False,False
93,37,True,28,4,27,2,False,False
94,38,True,12,2,10,5,False,False
95,39,True,27,4,28,2,False,False
99,43,True,10,4,27,3,False,False
100,44,True,10,5,27,2,False,False
101,45,True,27,2,10,5,False,False
102,46,True,27,3,10,2,True,False
103,47,True,10,1,27,3,False,False
104,48,True,27,3,10,1,False,False
105,49,True,10,1,27,2,False,False
