GameNumber,Link,VisitorTeam,VisitorTeamAbbre,VisitorTeamScore,VisitorTeamGoal,VisitorTeamGoaler,HomeTeam,HomeTeamAbbre,HomeTeamScore,HomeTeamGoal,HomeTeamGoaler
Farm1132,OTHL-Farm-1132.html,Sound Tigers,BPT,3,Unknown Player(1:2:3),Unknown Goalie (BPT): 86 saves from 95 shots - (0:905): L: 0-1-0: 60:00 minutes ,Checkers,CHR,9,Rod Pelley(86:87:88:89): Unknown Player(1:2:3:4): Nathan McIver(15),Unknown Goalie (CHR): 51 saves from 54 shots - (0:944): W: 1-0-0: 60:00 minutes 
Farm1133,OTHL-Farm-1133.html,Senators,BNG,9,Phillip Danault(19): Tyler Toffoli(38:39:40:41:42): Nicholas Shore(25): Matt Fraser(48:49),Anton Forsberg (BNG): 23 saves from 24 shots - (0:958): W: 20-10-1: 60:00 minutes ,Whale,CON,1,Unknown Player(1),Unknown Goalie (CON): 10 saves from 14 shots - (0:714): L: 0-1-0: 22:22 minutes Unknown Goalie (CON): 48 saves from 53 shots - (0:906): 37:38 minutes 
Farm1134,OTHL-Farm-1134.html,Marlies,TOR,7,Kyle Clifford(23): Tyler Pitlick(20): George Parros(27:28): Taylor Beck(14:15:16),Scott Stajcer (TOR): 38 saves from 39 shots - (0:974): W: 6-6-2: 60:00 minutes ,Bears,HER,1,Unknown Player(1),Unknown Goalie (HER): 53 saves from 60 shots - (0:883): L: 0-1-0: 60:00 minutes 
Farm1135,OTHL-Farm-1135.html,Griffins,GRP,7,Unknown Player(1:2:3): Brandon Yip(72:73): Evan Oberg(32),Richard Bachman (GRP): 34 saves from 40 shots - (0:850): W: 24-11-3: 65:00 minutes ,IceHogs,RCK,6,Unknown Player(1:2:3:4:5:6),Unknown Goalie (RCK): 81 saves from 87 shots - (0:931): OTL: 0-0-1: 65:00 minutes 
Farm1136,OTHL-Farm-1136.html,Devils,ALB,4,Tyler Eckford(10): Patrick Brown(13): Carter Camper(28): Ben Holmstrom(31),Robin Lehner (ALB): 23 saves from 25 shots - (0:920): W: 51-14-6: 60:00 minutes ,Phantoms,ADP,2,Conor Allen(11): Patrick Holland(93),Joey MacDonald (ADP): 26 saves from 30 shots - (0:867): L: 44-23-8: 60:00 minutes 
Farm1137,OTHL-Farm-1137.html,Sharks,WOR,10,Michal Jordan(12): Triston Grant(14): Erik Haula(61): Kris Newbury(42): Aleksander Barkov(57): Brock Nelson(67:68:69): Dmitry Orlov(10): Melker Karlsson(34),Dan Ellis (WOR): 20 saves from 22 shots - (0:909): W: 39-2-4: 60:00 minutes ,Admirals,MIL,2,Jared Staal(16): Zack FitzGerald(19),Unknown Goalie (MIL): 34 saves from 39 shots - (0:872): L: 0-1-0: 39:57 minutes Unknown Goalie (MIL): 12 saves from 17 shots - (0:706): 20:03 minutes 
Farm1138,OTHL-Farm-1138.html,Bruins,PRO,8,Cam Janssen(33): Michael Latta(49:50:51:52): Jason Akeson(65): Cody McCormick(40): Pierre-Edouard Bellemare(31),Keith Kinkaid (PRO): 36 saves from 38 shots - (0:947): W: 52-13-1: 60:00 minutes ,Wolves,CHI,2,Gabriel Dumont(47): Shane Prince(13),Andrew Hammond (CHI): 32 saves from 36 shots - (0:889): L: 46-21-4: 41:02 minutes Unknown Goalie (CHI): 15 saves from 19 shots - (0:789): 18:58 minutes 
Farm1139,OTHL-Farm-1139.html,Penguins,WBS,7,Jed Ortmeyer(30): Jamie Devane(31:32): Tom Sestito(23): Justin Florek(45:46): Sean Collins(65),Ilya Bryzgalov (WBS): 22 saves from 22 shots - (1:000): W: 61-14-2: 60:00 minutes ,Sound Tigers,BPT,0,,Unknown Goalie (BPT): 54 saves from 61 shots - (0:885): L: 0-1-0: 60:00 minutes 
Farm1140,OTHL-Farm-1140.html,Bears,HER,1,Unknown Player(1),Unknown Goalie (HER): 55 saves from 64 shots - (0:859): L: 0-1-0: 60:00 minutes ,Admirals,NOR,9,Andrew Ebbett(55): Aaron Rome(12): Magnus Paajarvi(34): Chris Mueller(52): Mike Rupp(21): Craig Cunningham(47): Chris Conner(56): Aaron Johnson(12): Ryan Craig(18),Marek Mazanec (NOR): 10 saves from 11 shots - (0:909): W: 69-8-0: 60:00 minutes 
Farm1141,OTHL-Farm-1141.html,Rampage,SAR,1,Unknown Player(1),Unknown Goalie (SAR): 1 saves from 5 shots - (0:200): L: 0-1-0: 1:56 minutes Unknown Goalie (SAR): 50 saves from 56 shots - (0:893): 58:04 minutes ,Devils,ALB,10,Patrick Brown(14): Chris Breen(8): Mike Sislo(44:45): Jayson Megna(40:41:42:43:44): Keith Aulie(11),Robin Lehner (ALB): 12 saves from 13 shots - (0:923): W: 52-14-6: 60:00 minutes 
