Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1,Jonas Gustavsson,,13,SWE,1984-10-24,212,76,2,False,False,False,False,True,True,True,False,0,1850000,1850000,0,0,0,0,0,0,0,0,,16,100,0,3,2,2,2,2,3,2,2,2,2,66,57,67,81,71,75,70,70,69,70,64,74,70,15,50,69,13,36269,5,3,1,0,24,248,0,0,0,0,0,10,68,0,0,1,1,0,339,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
2,Ondrej Pavelec,,23,CZE,1987-08-31,218,75,2,False,False,False,False,False,True,True,False,0,3800000,3800000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,85,87,85,77,82,86,86,85,85,79,69,68,73,39,50,80,73,259005,35,30,7,6,185,1945,0,2,0,25,7,72,10,1,6,2,5,0,384,9847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
376,Henri Kiviaho,,16,FIN,1994-07-01,195,75,1,True,False,False,False,False,True,True,False,0,600000,0,0,0,0,0,0,0,0,0,,0,100,0,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,Ray Emery,,2,CAN,1982-09-28,196,74,1,False,False,False,True,False,True,True,False,0,4000000,0,0,0,0,0,0,0,0,0,,15,100,0,3,3,3,3,3,3,3,3,3,3,65,68,73,73,73,75,71,70,71,67,59,78,79,5,50,70,42,135872,14,21,3,0,121,1168,0,2,1,18,5,37,40,1,0,3,1,0,314,2876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
377,Matt O'Conner,,23,CAN,1992-07-01,205,79,2,True,False,False,False,False,True,True,False,0,1775000,1775000,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,Jonathan Bernier,,25,CAN,1988-08-07,185,72,5,False,False,False,False,False,True,True,False,0,4200000,4200000,4200000,4200000,4200000,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,86,89,92,65,84,83,83,86,88,79,64,66,69,47,50,79,68,236249,32,28,7,4,156,1567,0,2,4,51,13,67,15,0,6,6,3,0,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,Curtis McElhinney,,15,CAN,1983-05-23,205,75,3,False,False,False,False,True,True,True,False,0,1950000,1950000,1950000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,76,66,79,77,76,74,76,79,79,71,65,76,73,7,50,73,21,60401,11,4,0,0,40,409,0,0,3,17,7,13,69,0,0,1,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,Kari Lehtonen,,1,FIN,1983-11-16,210,76,1,False,False,False,False,False,True,True,False,0,5500000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,91,96,93,81,82,83,84,83,83,96,75,76,78,7,50,82,70,237037,40,22,4,5,164,1597,0,4,0,20,6,69,13,0,8,5,1,0,371,9142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
11,Dan Ellis,,22,CAN,1980-06-19,195,73,2,False,False,False,False,True,True,True,False,0,1150000,1150000,0,0,0,0,0,0,0,0,,10,100,0,3,3,3,3,3,3,3,3,3,3,58,60,68,69,67,67,64,64,64,67,70,82,79,5,50,65,21,69790,7,8,3,0,53,501,0,0,1,14,8,19,62,0,2,0,1,0,0,1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
12,Ryan Miller,,4,USA,1980-07-17,168,74,1,False,False,False,False,False,True,True,False,0,7950000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,84,85,84,73,88,85,84,84,85,79,75,82,85,5,50,81,61,206401,30,19,10,5,162,1502,0,8,3,32,7,60,22,2,4,3,2,0,0,6740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
343,Andrei Vasilevskiy,,21,RUS,1994-07-25,207,75,3,True,False,False,False,False,True,True,False,0,1475000,1475000,1475000,0,0,0,0,0,0,0,,0,100,0,3,1,1,1,1,1,1,1,1,1,62,55,70,77,70,65,69,69,69,62,55,54,53,95,50,65,4,8868,0,0,0,0,10,67,0,0,1,0,0,0,22,0,0,0,0,0,0,0,52,185642,47,4,0,11,82,1216,0,17,1,0,0,52,0,0,1,1,0,0,0,11842,False
17,Steve Mason,,21,CAN,1988-05-29,217,76,5,False,False,False,False,False,True,True,False,0,5000000,5000000,5000000,5000000,5000000,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,96,86,88,81,85,88,89,89,89,95,69,66,72,47,50,84,57,183243,29,24,2,6,134,1339,0,0,2,12,3,54,28,1,10,1,2,0,138,8466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
19,Ben Bishop,,8,USA,1986-11-21,209,79,5,False,False,False,False,False,True,True,False,0,5500000,5500000,5500000,5500000,5500000,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,95,93,87,93,87,86,89,86,85,96,74,70,71,31,50,85,63,221361,35,21,6,2,160,1704,0,8,0,25,7,62,20,1,2,8,4,0,284,8655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
20,Peter Mannino,,15,USA,1984-02-17,195,73,1,False,False,False,False,False,True,True,False,0,625000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,45,52,61,69,60,57,52,52,52,54,55,74,69,15,50,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2338,1,0,0,0,2,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,False
