Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProMinutePlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPMinutePlay,ProPKG,ProPKA,ProPKShots,ProPKMinutePlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmMinutePlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPMinutePlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKMinutePlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1580,Tom Sestito,,24,USA,1987-09-28,228,77,False,True,False,False,2,False,False,False,False,False,True,True,False,0,750000,750000,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,72,85,57,61,88,47,51,58,33,52,58,51,55,68,60,39,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,2,6,8,8,2,0,3,0,0,18,2,1,0,5,7,0,0,0,5949,0,0,0,0,48,0,0,0,246,0,0,937,0,0,0,0,1,0,0,5,2,0,0,0,1800,False
2,Kyle Quincey,,23,CAN,1985-08-12,216,74,False,False,False,True,1,False,False,False,False,False,True,True,False,0,4350000,0,0,0,0,0,0,0,0,0,,7,100,0,3,2,2,2,2,2,2,2,2,2,70,45,64,65,78,69,82,51,30,54,49,83,50,72,64,23,50,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3,Radim Vrbata,,17,CZE,1981-06-13,194,73,False,False,True,False,1,False,False,False,False,False,True,True,False,0,5700000,0,0,0,0,0,0,0,0,0,,23,100,0,3,3,3,3,3,3,3,3,3,3,54,36,81,81,71,71,87,85,35,74,85,61,88,80,74,5,50,72,24,79,10,7,17,-5,0,0,2,0,0,6,47,4,0,16,32,0,0,0,24673,0,1,3,8,4723,0,0,0,67,0,0,4088,0,0,0,2,0,0,1260,1260,2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,False
4,Luke Schenn,,8,CAN,1989-11-02,229,74,False,False,False,True,2,False,False,False,False,False,True,True,False,0,4250000,4250000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,85,60,87,65,81,58,69,48,30,53,51,75,51,64,64,55,50,65,13,13,1,3,4,1,21,5,16,0,0,27,7,0,0,0,0,0,0,0,16460,0,0,1,3,1864,0,0,0,2026,0,0,1023,1,0,0,0,0,1,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,False
5,Bryan Bickell,,29,CAN,1986-03-09,223,76,False,True,False,False,3,False,False,False,False,False,True,True,False,0,4000000,4000000,4000000,0,0,0,0,0,0,0,,19,100,0,3,3,3,3,3,3,3,3,3,3,93,61,80,71,85,48,79,70,31,61,69,55,61,70,66,31,50,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
6,Joel Ward,,27,CAN,1980-12-02,226,73,False,True,True,False,3,False,False,False,False,True,True,True,False,0,3750000,3750000,3750000,0,0,0,0,0,0,0,,10,100,0,3,3,3,3,3,3,3,3,3,3,53,35,77,72,78,69,90,74,68,62,74,71,79,82,73,5,50,68,24,51,4,4,8,-1,4,0,4,0,0,21,22,1,0,11,22,0,0,0,20325,0,0,0,0,252,0,0,1,3517,0,0,2103,0,0,0,0,1,1,380,930,1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,False
3042,Erik Gustafsson,,19,SWE,1992-07-01,205,73,False,False,False,True,2,True,False,False,False,False,True,True,False,0,667500,667500,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,50,50,51,50,50,51,51,51,51,51,51,51,51,51,51,51,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,Jordan Staal,,2,CAN,1988-09-10,220,76,True,False,False,False,2,False,False,False,False,False,True,True,False,0,5750000,5750000,0,0,0,0,0,0,0,0,,46,100,0,2,2,2,2,2,2,2,2,2,2,70,42,84,69,84,79,64,70,87,69,59,63,59,66,72,47,50,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,Jay McClement,,28,CAN,1983-03-02,205,73,True,True,False,False,1,False,False,False,False,False,True,True,False,0,1440000,0,0,0,0,0,0,0,0,0,,23,100,0,3,3,3,3,3,3,3,3,3,3,60,41,81,70,74,53,89,63,86,60,58,75,57,76,74,7,50,64,7,8,0,0,0,-2,0,0,4,0,0,4,18,0,0,68,121,0,0,0,5268,0,0,0,1,50,0,0,0,1676,0,0,504,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,False
10,Jeff Schultz,,11,CAN,1986-02-25,225,78,False,False,False,True,1,False,False,False,False,True,True,True,False,0,850000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,51,35,77,60,90,51,43,49,30,45,43,66,48,70,65,31,50,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
