Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Avalanche,CAN,53,81,83,77,75,86,87,85,1,1450000
Pat Quinn,2,,CAN,69,70,69,67,70,90,88,85,0,2000000
Andy Murray,3,,CAN,53,72,71,70,71,80,78,85,0,850000
Barry Trotz,4,,CAN,52,69,80,71,83,90,90,85,0,2500000
Andre Tourigny,5,Rivermen,CAN,40,50,50,50,50,50,50,50,1,650000
Luke Richardson,6,Sharks,CAN,44,75,69,71,64,65,65,85,2,850000
Bob Hartley,7,Islanders,CAN,53,71,75,71,81,78,78,85,1,1850000
Mark French,8,Admirals,CAN,41,65,69,68,74,71,70,85,2,650000
Willie Desjardins,9,Falcons,CAN,56,60,66,72,75,83,82,85,1,700000
Brian Sutter,10,Americans,CAN,55,68,66,65,65,82,80,85,1,800000
Bruce Boudreau,11,,CAN,57,77,82,79,81,88,89,85,0,2550000
Bruce Cassidy,12,,CAN,45,70,69,70,69,72,71,85,3,500000
Craig Berube,13,,CAN,48,75,68,65,67,68,69,85,0,775000
Dean Chynoweth,14,Monsters,CAN,46,75,64,67,65,65,65,85,2,500000
Claude Julien,15,,CAN,54,82,85,81,79,85,86,85,0,2750000
Claude Noel,16,Monarchs,CAN,58,78,77,75,81,86,87,85,1,800000
Gerald Gallant,17,Rampage,CAN,52,69,71,69,66,69,70,50,2,700000
Craig MacTavish,18,,CAN,54,70,67,69,71,80,79,85,0,925000
Curt Fraser,19,,USA,53,66,65,67,66,81,79,85,0,1000000
Darryl Sutter,21,Flames,CAN,54,82,84,78,71,85,86,85,3,2500000
Dave Allison,22,,CAN,51,61,65,64,75,80,78,85,1,650000
Dave Tippett,27,Hurricanes,CAN,51,74,80,83,83,81,82,85,2,3000000
John Hynes,37,City Barons,CAN,36,73,71,66,62,70,69,85,1,675000
Jacques Martin,38,,CAN,60,66,75,71,70,92,91,85,1,2650000
Joel Quenneville,40,,CAN,54,67,84,85,85,85,86,85,0,2000000
John Torchetti,42,,USA,47,63,68,68,74,74,73,85,0,700000
John Tortorella,43,Senators,USA,54,73,83,85,85,83,84,85,2,2950000
Ken Hitchcock,44,,CAN,61,77,85,75,80,93,94,85,0,2500000
Ray Edwards 3,46,Unknown,CAN,42,73,63,69,62,70,68,85,0,650000
Lindy Ruff,50,Sabres,CAN,52,82,73,73,77,87,87,85,1,1850000
Dallas Eakins,52,,USA,46,69,67,71,70,70,69,85,0,700000
Mark Morris,54,,USA,54,64,66,68,74,81,80,85,1,750000
Michel Therrien,55,,CAN,48,85,85,82,75,72,73,85,0,2000000
Mike Babcock,56,Flyers,CAN,49,68,85,79,83,84,85,85,1,3500000
Mike Haviland,57,,USA,44,69,66,66,73,70,69,85,0,650000
Mike Keenan,58,Lightning,CAN,61,71,68,67,69,85,83,85,1,1500000
Mike Sullivan,60,Phantoms,USA,44,68,67,66,72,68,69,85,2,900000
Craig Berubeeeee,61,Unknown,CAN,48,75,68,65,67,68,69,85,0,775000
Paul Maurice,63,Coyotes,CAN,45,71,73,75,71,82,82,85,2,2000000
Peter Laviolette,64,,USA,48,84,79,78,70,82,83,85,0,2000000
Randy Carlyle,65,,CAN,56,83,77,76,71,86,86,85,0,1850000
Randy Cunneyworth,66,,CAN,51,65,66,67,67,77,75,85,0,600000
Ron Wilson,71,Canucks,CAN,57,72,71,75,74,89,89,85,2,2500000
Roy Sommer,73,Bulldogs,USA,53,73,65,66,64,84,82,85,3,750000
Scott Arniel,75,Admirals,CAN,50,66,68,68,73,75,74,85,1,650000
Scott Gordon,76,,USA,49,69,67,70,71,76,75,85,0,825000
Terry Murray,80,,CAN,61,74,67,67,66,93,92,85,0,1800000
Todd Richards,81,,USA,46,81,78,72,77,74,74,85,0,850000
Tom Renney,82,,CAN,57,69,70,75,75,87,86,85,0,700000
Trent Yawney,85,,CAN,45,74,67,66,63,72,71,85,1,450000
Brent Sutter,88,,CAN,50,71,66,67,70,83,82,85,0,1875000
Kevin Dineen,89,IceHogs,CAN,49,76,71,72,79,75,75,85,2,1000000
Guy Boucher,92,Blues,CAN,42,79,74,75,78,71,71,85,2,1500000
Kirk Muller,93,,CAN,46,74,71,77,79,72,72,85,0,1250000
Lane Lambert,94,Aeros,CAN,46,63,67,63,61,72,70,85,1,800000
Ken Gernander,95,Pirates,USA,41,71,65,67,67,70,69,85,2,650000
Cory Clouston,96,,CAN,42,69,70,68,70,71,72,85,0,800000
John Stevens,97,,CAN,46,74,68,72,69,75,74,85,0,650000
Mike Yeo,99,Blackhawks,CAN,39,75,81,74,78,68,68,85,1,1250000
Glen Gulutzan,100,Penguins,CAN,42,81,74,73,75,71,71,85,1,750000
Peter DeBoer,102,Wild,CAN,44,72,83,74,80,75,75,85,2,1650000
Benoit Groulx,103,Wolves,CAN,43,67,65,66,69,65,65,85,1,700000
Bill Peters,104,,CAN,48,65,63,66,64,71,69,85,0,750000
Todd McLellan,106,Sharks,CAN,45,75,82,81,81,87,88,85,2,2250000
Davis Payne,107,,CAN,42,67,68,70,67,71,70,85,0,1500000
Dale Hunter,109,,CAN,52,69,74,69,67,80,79,85,0,750000
Dan Bylsma,110,Kings,USA,42,80,82,84,80,76,77,85,1,2000000
Jack Capuano,114,,USA,44,69,78,84,83,71,72,85,0,1000000
Jeff Daniels,115,Whale,CAN,43,62,67,70,73,69,68,85,1,850000
Jim Playfair,117,,CAN,46,63,66,64,65,74,72,85,0,850000
Joe Sacco,118,Heat,USA,43,81,73,74,78,73,73,85,1,650000
Rick Tocchet,119,Bruins,CAN,48,68,67,69,71,69,69,85,1,750000
Rob Murray,120,,CAN,45,68,65,63,64,65,65,85,0,650000
Ray Edwards,122,Unknown,CAN,42,73,63,69,62,70,68,85,0,650000
Ray Edwards,123,,CAN,42,73,63,69,62,70,68,85,2,650000
Paul MacLean,124,Rangers,CAN,54,81,79,80,75,83,84,85,1,2500000
Adam Oates,125,Panthers,CAN,51,75,77,78,83,74,75,85,2,2000000
Ron Rolston,126,Sound Tigers,USA,47,81,72,73,73,69,69,85,1,875000
Steve Spott,127,Marlies,CAN,46,67,68,66,69,70,68,85,1,300000
Patrick Roy,128,Blue Jackets,CAN,48,78,74,72,73,68,69,85,1,2000000
Jeff Blashill,129,Griffins,USA,40,69,66,71,70,65,65,85,1,700000
