Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Islanders,CAN,55,86,94,99,86,85,80,62,3,3500000
Andy Murray,3,Americans,CAN,54,72,71,70,71,80,78,85,1,700000
Barry Trotz,4,Red Wings,CAN,54,72,90,96,85,90,85,64,1,3250000
Andre Tourigny,5,,CAN,41,50,50,50,50,50,50,50,1,650000
Luke Richardson,6,Barracuda,CAN,47,47,62,80,63,60,61,78,1,850000
Bob Hartley,7,Crunch,CAN,55,90,86,95,87,83,79,62,1,1500000
Mark French,8,Admirals,CAN,42,65,69,68,74,71,70,85,1,650000
Willie Desjardins,9,Blackhawks,CAN,59,97,84,95,84,71,68,54,3,2500000
Brian Sutter,10,,CAN,56,68,66,65,65,82,80,85,0,800000
Bruce Boudreau,11,Kings,CAN,61,73,83,92,84,79,73,50,3,3000000
Bruce Cassidy,12,Wild,CAN,51,78,78,74,70,61,61,70,1,800000
Craig Berube,13,IceHogs,CAN,60,66,82,86,85,72,68,52,4,1000000
Dean Chynoweth,14,Rampage,CAN,47,72,65,72,68,60,61,78,1,500000
Claude Julien,15,Capitals,CAN,56,79,88,87,86,83,78,60,3,3000000
Claude Noel,16,,CAN,60,58,64,70,66,58,55,42,0,800000
Craig MacTavish,18,,CAN,55,70,67,69,71,80,79,85,0,925000
Curt Fraser,19,,USA,54,66,65,67,66,81,79,85,0,1000000
Brent Thompson,20,,CAN,42,42,65,73,61,60,63,88,0,0
Darryl Sutter,21,Flames,CAN,57,62,90,90,86,87,81,58,2,2500000
Dave Allison,22,,CAN,52,61,65,64,75,80,78,85,1,650000
Chadd Cassidy,23,,USA,42,68,63,71,67,60,63,88,0,0
Craig Ramsay,24,,CAN,65,50,36,44,42,36,33,21,0,0
Dave Cameron,25,Blues,CAN,58,74,87,94,85,71,68,56,1,2000000
Dean Evason,26,,CAN,51,68,71,72,67,60,60,70,0,0
Dave Tippett,27,Hurricanes,CAN,54,67,67,68,86,85,81,64,1,3000000
Derek Laxdal,28,Wolf Pack,CAN,50,82,73,82,71,60,60,72,2,1000000
Gerard Gallant,29,Pirates,CAN,52,74,84,82,86,73,72,68,1,700000
Gerry Fleming,30,,CAN,49,72,73,77,69,60,60,74,0,0
Gord Dineen,31,Comets,CAN,54,71,74,72,68,60,59,64,1,800000
Jacques Lemaire,32,,CAN,70,49,42,37,43,45,39,16,0,0
Jared Bednar,33,Monsters,CAN,44,64,72,68,66,60,62,84,1,750000
Jarrod Skalde,34,,CAN,45,55,69,61,65,60,61,82,0,0
John Anderson,35,Bruins,CAN,59,74,76,74,69,62,59,54,1,800000
John Slaney,36,,CAN,44,68,77,72,67,60,62,84,0,0
John Hynes,37,Penguins,USA,41,60,80,76,65,60,63,90,3,675000
Jacques Martin,38,,CAN,63,47,44,44,41,45,41,23,1,2650000
Jon Cooper,39,Senators,CAN,48,91,89,99,85,73,74,76,2,1000000
Joel Quenneville,40,Maple Leafs,CAN,57,99,93,91,88,91,84,58,4,3000000
Keith McCambridge,41,,CAN,42,67,65,65,67,60,63,88,0,0
John Torchetti,42,Moose,USA,52,77,63,61,70,60,60,68,2,770000
John Tortorella,43,,USA,58,74,66,64,65,67,62,45,2,2950000
Ken Hitchcock,44,Jets,CAN,64,88,91,97,84,90,81,44,2,2750000
Marc Crawford,45,,CAN,55,38,41,45,41,44,42,31,0,0
Ray Edwards 3,46,Unknown,CAN,43,73,63,69,62,70,68,85,0,650000
Mike Johnston,47,Devils,CAN,59,66,87,89,81,71,68,54,2,1000000
Mike Stothers,48,Senators,CAN,54,62,81,84,66,60,59,64,3,750000
Peter Horachek,49,,CAN,56,50,59,70,66,58,56,48,0,0
Lindy Ruff,50,Sabres,CAN,56,94,74,99,85,90,84,60,3,3250000
Ralph Krueger,51,,CAN,56,69,64,49,59,50,48,42,0,0
Dallas Eakins,52,,USA,49,73,55,64,66,58,58,59,0,700000
Rick Kowalsky,53,,CAN,44,60,75,71,65,60,62,84,0,0
Mark Morris,54,,USA,55,64,66,68,74,81,80,85,1,750000
Michel Therrien,55,Bruins,CAN,52,93,93,89,85,80,78,68,3,3200000
Mike Babcock,56,Flyers,CAN,53,97,86,93,86,85,81,66,3,4000000
Mike Haviland,57,,USA,45,69,66,66,73,70,69,85,0,650000
Mike Keenan,58,Lightning,CAN,62,71,68,67,69,85,83,85,2,2500000
Rob Zettler,59,,CAN,48,50,71,76,64,60,60,76,0,0
Mike Sullivan,60,Phantoms,USA,45,68,67,66,72,68,69,85,1,900000
Craig Berube,61,Unknown,CAN,49,75,68,65,67,68,69,85,0,0
Ryan Huska,62,Penguins,CAN,41,58,66,78,65,60,63,90,3,1100000
Paul Maurice,63,Coyotes,CAN,49,69,88,91,82,88,85,74,1,2000000
Peter Laviolette,64,Predators,USA,51,93,88,92,87,83,80,70,2,2100000
Randy Carlyle,65,,CAN,60,65,72,83,85,81,75,52,0,1500000
Randy Cunneyworth,66,,CAN,55,53,50,51,50,43,41,37,0,600000
Sylvain Lefebvre,67,,CAN,48,69,73,71,68,60,60,76,0,0
Ted Dent,68,,CAN,46,68,80,78,67,60,61,80,0,0
Ted Nolan,69,Sound Tigers,CAN,58,76,66,64,85,77,73,56,3,600000
Todd Nelson,70,Condors,CAN,47,84,66,77,87,71,72,78,3,600000
Ron Wilson,71,Canucks,CAN,61,46,44,54,51,55,50,30,1,2500000
Tom Rowe,72,,USA,60,65,71,84,67,60,56,52,0,0
Roy Sommer,73,Icecaps,USA,59,84,77,78,71,60,57,54,2,750000
Travis Green,74,Marlies,CAN,45,78,80,77,70,60,61,82,2,800000
Scott Arniel,75,,CAN,53,49,43,48,49,43,43,40,0,650000
Scott Gordon,76,,USA,53,45,37,45,39,37,36,33,0,825000
Troy Mann,77,,CAN,46,53,80,77,64,60,61,80,0,0
Dave Hakstol,78,Canadiens,CAN,48,71,73,70,77,50,72,70,2,1500000
Scott Niedermayer,79,Devils,CAN,43,60,77,65,71,60,73,70,2,725000
Terry Murray,80,,CAN,66,37,65,68,60,73,65,40,0,1800000
Todd Richards,81,Ducks,USA,49,66,76,90,83,76,76,74,2,1500000
Tom Renney,82,,CAN,61,57,47,50,50,47,44,30,0,700000
Trent Yawney,85,,CAN,46,74,67,66,63,72,71,85,1,450000
Brent Sutter,88,Bears,CAN,54,58,50,49,50,46,44,38,2,750000
Kevin Dineen,89,,CAN,52,70,56,62,68,58,57,54,1,1000000
Guy Boucher,92,Wolves,CAN,44,69,64,49,58,51,53,59,2,650000
Kirk Muller,93,Stars,CAN,50,71,65,67,70,58,58,58,1,900000
Lane Lambert,94,,CAN,47,63,67,63,61,72,70,85,0,800000
Ken Gernander,95,Falcons,USA,47,71,72,77,68,60,61,78,1,650000
Cory Clouston,96,,CAN,46,47,38,39,41,37,37,40,0,800000
John Stevens,97,,CAN,50,44,56,49,50,44,44,43,0,650000
Mike Yeo,99,Rangers,CAN,42,99,90,93,86,75,78,88,3,2500000
Glen Gulutzan,100,Heat,CAN,44,69,64,49,57,50,52,59,3,700000
Peter DeBoer,102,Wild,CAN,48,95,84,75,86,78,78,76,1,1650000
Benoit Groulx,103,,CAN,44,67,65,66,69,65,65,85,0,700000
Bill Peters,104,Checkers,CAN,50,84,81,77,88,71,71,72,1,875000
Todd McLellan,106,Sharks,CAN,48,85,82,90,86,78,78,76,1,2250000
Davis Payne,107,,CAN,45,51,56,53,49,43,44,49,0,1500000
Dale Hunter,109,,CAN,55,50,49,53,52,43,41,37,0,750000
Dan Bylsma,110,Blue Jackets,USA,45,62,71,78,68,61,62,66,2,2000000
Jack Capuano,114,Oilers,USA,50,60,83,97,87,76,75,72,2,2000000
Jeff Daniels,115,,CAN,48,62,66,61,66,60,60,76,0,850000
Jim Playfair,117,Gulls,CAN,47,63,66,64,65,74,72,85,2,700000
Joe Sacco,118,,USA,47,69,63,48,58,53,53,55,0,650000
Rick Tocchet,119,Griffins,CAN,49,68,67,69,71,69,69,85,1,800000
Rob Murray,120,,CAN,46,68,65,63,64,65,65,85,0,650000
Ray Edwards,122,Unknown,CAN,43,73,63,69,62,70,68,85,0,650000
Ray Edwards,123,,CAN,43,73,63,69,62,70,68,85,2,650000
Paul MacLean,124,Reign,CAN,58,57,58,72,66,59,56,45,3,750000
Adam Oates,125,Panthers,CAN,53,69,65,73,66,58,57,53,1,2000000
Ron Rolston,126,,USA,49,66,58,53,67,57,58,59,0,875000
Steve Spott,127,,CAN,47,67,68,66,69,70,68,85,0,300000
Patrick Roy,128,Stars,CAN,50,82,82,86,86,73,73,72,2,2000000
Jeff Blashill,129,Avalanche,USA,42,84,80,84,71,60,63,88,2,800000
