Number,Transaction
20001,[2015-12-03 5:56:10 AM] - Maximum Farm Players Limit Reached for Americans!
20002,[2015-12-03 5:56:11 AM] - Hurricanes are expected to be under the minimum salary cap by $920-000!
20003,[2015-12-03 5:56:12 AM] - Current fund for Avalanche is under $0.
20004,[2015-12-03 5:56:13 AM] - Red Wings are expected to be under the minimum salary cap by $3-700-833!
20005,[2015-12-03 5:56:16 AM] - Senators are expected to be over the salary cap by $790-000!
20006,[2015-12-03 5:57:01 AM] - Current fund for Jets is under $0.
20007,[2015-12-03 5:57:02 AM] - Maximum Farm Players Limit Reached for Americans!
20008,[2015-12-03 5:57:02 AM] - Hurricanes are expected to be under the minimum salary cap by $920-000!
20009,[2015-12-03 5:57:03 AM] - Current fund for Avalanche is under $0.
20010,[2015-12-03 5:57:04 AM] - Red Wings are expected to be under the minimum salary cap by $3-700-833!
20011,[2015-12-03 5:57:05 AM] - Senators are expected to be over the salary cap by $790-000!
20012,[2015-12-03 2:56:44 PM] - Matt Donovan of Bruins was sent to pro.
20013,[2015-12-03 2:56:44 PM] - Successfully loaded Bruins lines done with STHS Client - 2.3.1.1
20014,[2015-12-03 2:56:47 PM] - Klas Dahlbeck of Coyotes was sent to farm.
20015,[2015-12-03 2:56:47 PM] - Successfully loaded Coyotes lines done with STHS Client - 2.3.1.1
20016,[2015-12-03 2:56:48 PM] - Successfully loaded Maple Leafs lines done with STHS Client - 2.3.2.2
20017,[2015-12-03 2:57:06 PM] - Game 356 - Martin Havlat from Rangers is injured  (Sprained Left Knee) and is out for 1 month.
20018,[2015-12-03 2:57:06 PM] - Game 357 - Andy Greene from Oilers is injured  (Bruised Right Leg) and is out for 6 days.
20019,[2015-12-03 2:57:06 PM] - Game 357 - Derek Stepan from Oilers is injured  (Back Spasms) and is out for 2 weeks.
20020,[2015-12-03 2:57:06 PM] - Zemgus Girgensons from Ducks completes suspension
20021,[2015-12-03 2:57:06 PM] - Ducks lines for next game are empty. Current rosters/lines are not erased.
20022,[2015-12-03 2:57:06 PM] - Hurricanes lines for next game are empty. Current rosters/lines are not erased.
20023,[2015-12-03 2:57:06 PM] - Andy Greene from Oilers is back from Bruised Right Leg Injury.
20024,[2015-12-03 2:57:20 PM] - Current fund for Jets is under $0.
20025,[2015-12-03 2:57:21 PM] - Maximum Farm Players Limit Reached for Americans!
20026,[2015-12-03 2:57:22 PM] - Hurricanes are expected to be under the minimum salary cap by $920-000!
20027,[2015-12-03 2:57:23 PM] - Current fund for Avalanche is under $0.
20028,[2015-12-03 2:57:23 PM] - Red Wings are expected to be under the minimum salary cap by $3-700-833!
20029,[2015-12-03 2:57:24 PM] - Senators are expected to be over the salary cap by $790-000!
20030,[2015-12-03 2:57:53 PM] - Sabres roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20031,[2015-12-03 2:57:53 PM] - Brayden McNabb of Sabres was sent to pro.
20032,[2015-12-03 2:57:53 PM] - Auto Roster Partial Function has been run for Sabres.
20033,[2015-12-03 2:57:53 PM] - Auto Lines Partial Function has been run for Sabres.
20034,[2015-12-03 2:57:53 PM] - Kings roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20035,[2015-12-03 2:57:53 PM] - Auto Roster Partial Function has been run for Kings.
20036,[2015-12-03 2:57:53 PM] - Auto Lines Partial Function has been run for Kings.
20037,[2015-12-03 2:57:53 PM] - Canadiens roster errors : Not enough Players available in Pro Team! 16 Dressed. 18 Required.
Some errors will be automatically fixed.

20038,[2015-12-03 2:57:53 PM] - Auto Roster Partial Function has been run for Canadiens.
20039,[2015-12-03 2:57:53 PM] - Auto Lines Partial Function has been run for Canadiens.
20040,[2015-12-03 2:57:53 PM] - Predators roster errors : Not enough Players available in Pro Team! 17 Dressed. 18 Required.
Some errors will be automatically fixed.

20041,[2015-12-03 2:57:53 PM] - Auto Roster Partial Function has been run for Predators.
20042,[2015-12-03 2:57:53 PM] - Predators lines errors : Normal line # 1 C is empty.
Normal line # 4 C is empty.
Normal line # 4 LW is empty.
Unknown Player is used twice in Normal line #4
4 vs 4 line 1 LW is empty.
PP line 2 LW is empty.
PK line 2 LW is empty.
PK3 line 2 forward is empty.
LastMinOff line LW is empty.
LastMinDef line LW is empty.
Penalty Shot Player #3 is empty.

20043,[2015-12-03 2:57:53 PM] - Auto Lines Partial Function has been run for Predators.
20044,[2015-12-03 2:57:53 PM] - Admirals (Predators) lines errors : Goalie 'Minimum # of Goals before Remove from Game' is incorrect.
Goalie 'Save PCT Under before Remove from Game' is incorrect.
Goalie 'When to remove the goalies from goal if trailing by 1 in third period (In second)' is incorrect.

20045,[2015-12-03 2:57:53 PM] - Auto Lines Farm Function has been run for Admirals.
20046,[2015-12-03 2:57:53 PM] - Devils lines errors : Normal line # 1 RW is empty.
PP line 1 RW is empty.
4 vs 4 line 2 LW is empty.
LastMinOff line RW is empty.
LastMinDef line RW is empty.
Penalty Shot Player #4 is empty.

20047,[2015-12-03 2:57:53 PM] - Auto Lines Partial Function has been run for Devils.
20048,[2015-12-03 2:58:08 PM] - Current fund for Jets is under $0.
20049,[2015-12-03 2:58:11 PM] - Maximum Farm Players Limit Reached for Americans!
20050,[2015-12-03 2:58:12 PM] - Hurricanes are expected to be under the minimum salary cap by $920-000!
20051,[2015-12-03 2:58:13 PM] - Current fund for Avalanche is under $0.
20052,[2015-12-03 2:58:14 PM] - Red Wings are expected to be under the minimum salary cap by $3-700-833!
20053,[2015-12-03 2:58:15 PM] - Senators are expected to be over the salary cap by $790-000!
20054,[2015-12-04 1:59:55 PM] - Successfully loaded Jets lines done with STHS Client - 3.0.0.0
20055,[2015-12-04 1:59:58 PM] - Mitch Callahan of Oilers was sent to pro.
20056,[2015-12-04 1:59:58 PM] - Successfully loaded Oilers lines done with STHS Client - 2.3.1.1
20057,[2015-12-04 1:59:59 PM] - Successfully loaded Rangers lines done with STHS Client - 2.3.1.1
20058,[2015-12-04 2:00:01 PM] - Senators sent Chris Wideman to waiver.
20059,[2015-12-04 2:00:01 PM] - Senators sent Patrick Eaves to waiver.
20060,[2015-12-04 2:00:01 PM] - Patrick Eaves of Senators was sent to farm.
20061,[2015-12-04 2:00:01 PM] - Andrej Sustr of Senators was sent to pro.
20062,[2015-12-04 2:00:01 PM] - Chris Wideman of Senators was sent to farm.
20063,[2015-12-04 2:00:01 PM] - Successfully loaded Senators lines done with STHS Client - 2.3.1.1
20064,[2015-12-04 2:00:02 PM] - Successfully loaded Sharks lines done with STHS Client - 2.3.1.1
20065,[2015-12-04 2:00:03 PM] - Successfully loaded Lightning lines done with STHS Client - 2.3.2.2
20066,[2015-12-04 2:00:15 PM] - Chris Wideman was removed from waiver.
20067,[2015-12-04 2:00:31 PM] - Cody Hodgson from Admirals has scored a Hat Trick!
20068,[2015-12-04 2:00:31 PM] - Jack Skille from Admirals has scored a Hat Trick!
20069,[2015-12-04 2:00:32 PM] - Tobias Enstrom from Avalanche has scored a Hat Trick!
20070,[2015-12-04 2:00:32 PM] - Game 360 - Marko Dano from Blue Jackets is injured  (Left Leg) and is out for 2 weeks.
20071,[2015-12-04 2:00:32 PM] - Game 363 - Jonathan Toews from Panthers is injured  (Lower Body) and is out for 2 weeks.
20072,[2015-12-04 2:00:32 PM] - Game 364 - Kris Russell from Predators is injured  (Right Knee) and is out for 1 week.
20073,[2015-12-04 2:00:33 PM] - Game 365 - Brendan Smith from Wild is injured  (Bruised Right Leg) and is out for 2 months.
20074,[2015-12-04 2:00:33 PM] - Game 365 - Lauri Korpikoski from Blackhawks is injured  (Right Foot) and is out for 1 week.
20075,[2015-12-04 2:00:33 PM] - Last 7 Days Pro Star : 1 - Derick Brassard of Blackhawks (3-3-6) / 2 - Gabriel Landeskog of Blackhawks (3-2-5) / 3 - Zdeno Chara of Coyotes (2-2-4)
20076,[2015-12-04 2:00:33 PM] - Last 7 Days Farm Star : 1 - Dennis Everberg of Bruins (10-2-12) / 2 - Darren Archibald of Bruins (5-9-14) / 3 - Jason Akeson of Bruins (8-3-11)
20077,[2015-12-04 2:00:33 PM] - Moose lines for next game are empty. Current rosters/lines are not erased.
20078,[2015-12-04 2:00:33 PM] - Brayden McNabb of Sabres was sent to farm.
