Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,1045602,1038166,5612,117,76,50,False,12,0,X,L1,5,5,0,0,0,0,0,76,51,19,0,1,1,1,3,110,438,230,38,25,9,0,1,1,0,2,231,116,179,24,206,34,5,3985,2174,572,1279,1402,1288,27,201,139,96,4,83995,140443,50739,24724,109441,27839,4,438,757,1195,482,1792,1203,1884,1989,2975,896,1348,1,
2,Moose,MAN,Manitoba,Southeast Division,Eastern Conference,0,0,0,959922,546333,2953,42,76,50,False,11,0,X,W1,7,3,0,0,0,0,0,76,54,15,0,1,1,2,3,118,389,176,38,27,7,0,1,0,1,2,197,82,151,33,171,17,4,3625,2372,656,1201,1156,1251,32,182,113,91,3,88003,138593,48984,25134,109250,26478,8,389,631,1020,465,1855,1276,2343,1716,2724,757,1258,1,
3,Bruins,PRO,Providence,Northeast Division,Eastern Conference,0,2784,0,767870,895033,4838,35,76,50,False,9,0,X,OTW1,8,0,0,1,0,1,0,76,48,19,0,4,0,2,3,111,343,198,38,23,11,0,2,0,1,1,181,100,140,33,153,14,1,3466,2722,814,1173,1154,1118,37,163,103,71,7,103084,121207,51385,28138,92156,26241,3,343,591,934,384,1966,1220,2662,1252,2532,625,1223,0,
4,Americans,ROC,Rochester,Northeast Division,Eastern Conference,0,0,0,1526275,1417083,7660,3,76,50,False,6,0,X,W6,9,1,0,0,0,0,0,76,52,22,0,0,0,1,1,107,375,190,38,28,9,0,0,0,0,1,196,85,156,23,210,19,5,3575,2308,604,1178,1152,1239,12,159,124,91,1,86330,137170,50700,25671,106011,28086,14,375,682,1057,517,1864,1222,2052,1841,2807,765,1239,1,
5,Heat,STK,Stockton,Northwest Division,Western Conference,2520,740,0,595801,453375,2451,100,76,50,False,13,0,X,L3,6,4,0,0,0,0,0,76,41,27,0,1,2,2,3,93,278,230,38,22,13,0,0,1,0,2,142,109,147,32,147,26,2,3185,2747,805,1081,1062,1029,29,127,86,62,3,100907,123854,50771,26937,95264,26443,6,278,461,739,342,1778,1336,2323,1630,2574,735,1193,0,
6,Checkers,CHR,Charlotte,Southeast Division,Eastern Conference,0,0,0,393393,445800,2410,104,76,50,False,19,0,E,W1,4,6,0,0,0,0,0,76,16,57,0,1,0,1,1,37,213,469,38,8,28,0,0,0,1,1,103,235,128,11,48,16,0,3061,4795,1299,984,1002,1060,23,97,65,49,3,143860,79710,50778,30777,56025,21926,2,213,398,611,138,1679,1178,2872,1032,2254,588,1405,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,610598,810833,4383,13,76,50,False,28,0,E,L2,1,8,0,1,0,0,0,76,9,60,0,2,0,3,2,30,230,560,38,6,28,0,2,0,2,0,120,263,101,14,36,13,1,3144,5419,1538,1016,1045,1047,50,95,67,63,5,151040,73209,51058,30556,50272,21389,0,230,446,676,103,1585,1094,2768,928,2251,549,1459,1,
8,Rampage,SAR,San Antonio,Northwest Division,Western Conference,0,0,0,751977,644000,3481,14,76,50,False,18,0,E,W3,5,5,0,0,0,0,0,76,21,52,0,1,0,2,0,48,207,348,38,11,25,0,1,0,1,0,112,165,119,14,50,10,0,3084,4707,1267,997,1001,1065,31,90,58,56,3,151777,71809,50825,32080,48733,21261,0,207,399,606,120,1789,1416,3908,919,2244,472,1242,1,
9,Monsters,LEM,Lake Erie,Central Division,Western Conference,2641,0,2470,1161970,1223167,6612,33,76,50,False,8,0,Z,W5,8,2,0,0,0,0,0,76,56,11,0,3,0,3,3,127,379,138,38,31,3,0,1,0,1,2,199,65,137,33,210,20,4,3165,1763,484,1061,1048,1042,31,170,118,85,8,73755,152574,49681,23260,120048,28963,11,379,673,1052,568,1919,1010,1826,1534,2525,748,1212,0,
10,Stars,TEX,Texas,Pacific Division,Western Conference,0,0,0,501944,598067,3233,93,76,50,False,17,0,E,L6,3,6,0,0,0,0,1,76,29,42,0,2,0,2,1,67,261,288,38,11,23,0,2,0,2,0,128,144,147,21,130,24,6,3072,3294,925,1018,994,1036,30,114,81,62,5,117018,106133,51459,28546,78725,24975,2,261,458,719,316,1872,1216,2812,1161,2375,578,1216,0,
11,Griffins,GRP,Grand Rapids,Central Division,Western Conference,0,0,0,447188,503333,2721,119,76,50,False,15,0,E,OTL1,5,4,0,0,1,0,0,76,28,41,0,0,5,2,0,65,231,319,38,17,20,0,0,1,0,0,125,154,108,14,44,7,0,3261,4147,1230,1030,1105,1115,19,96,77,56,2,142620,82087,49993,30928,58331,21891,3,231,445,676,99,1755,1358,3427,974,2280,487,1194,0,
12,Condors,BKR,Bakersfield,Northwest Division,Western Conference,0,0,0,1054748,1047333,5661,70,76,50,False,7,0,Y,W8,9,1,0,0,0,0,0,76,56,11,0,1,1,4,3,126,336,138,38,27,5,0,0,1,3,2,160,71,186,36,158,17,5,2984,1591,470,980,986,995,51,137,109,85,11,68650,157504,49901,22989,123817,29852,17,336,581,917,383,1741,1028,1742,1629,2621,705,1143,0,
13,Pirates,POR,Portland,Southeast Division,Eastern Conference,0,0,0,718280,1000333,5407,29,76,50,False,29,0,E,L5,0,9,0,0,0,0,1,76,5,62,0,1,1,2,5,22,200,546,38,4,29,0,1,1,0,3,108,253,105,8,39,11,0,2905,5258,1508,973,947,919,89,74,71,52,6,156315,68815,50715,31452,46455,20855,0,200,384,584,107,1593,924,2771,849,2109,522,1456,0,
14,Reign,ONT,Ontario,Pacific Division,Western Conference,0,0,0,731793,500750,2707,124,76,50,False,25,0,E,L5,1,9,0,0,0,0,0,76,16,58,0,0,1,0,1,34,256,489,38,9,28,0,0,1,0,0,137,231,102,11,70,16,0,3003,4247,1245,1008,1037,951,14,108,87,61,0,131610,91653,50812,28914,66545,23147,0,256,440,696,155,1841,794,2307,884,2291,500,1424,2,
15,Wild,IOA,Iowa,Northwest Division,Western Conference,0,0,0,701713,449467,2430,12,76,50,False,21,0,E,L1,3,7,0,0,0,0,0,76,29,43,0,0,0,2,2,64,218,257,38,18,17,0,0,0,1,2,129,120,108,14,85,22,0,3099,3662,1046,1032,1041,1016,22,100,67,49,2,129863,92337,52600,30506,65548,24338,4,218,411,629,211,1922,1142,3250,938,2325,420,1177,1,
16,Icecaps,STJ,St. John's,Northeast Division,Eastern Conference,0,0,0,1508526,1255750,6788,73,76,50,False,27,0,E,W1,2,8,0,0,0,0,0,76,7,64,0,2,1,1,1,22,189,573,38,5,31,0,0,1,1,0,105,271,112,13,42,11,0,2777,5309,1509,842,1000,919,21,80,65,41,3,159156,65746,49787,31177,44255,20129,0,189,365,554,109,1701,945,2712,770,2063,505,1441,1,
17,Admirals,MIL,Milwaukee,Central Division,Western Conference,0,0,0,500906,350250,1893,8,76,50,False,30,0,E,L5,1,9,0,0,0,0,0,76,8,59,0,2,3,1,3,28,208,573,38,4,29,0,0,2,1,2,106,272,98,10,45,13,0,2990,5387,1520,984,984,977,58,98,66,41,4,153905,70368,51171,31441,47722,21074,0,208,399,607,118,1665,1060,2781,893,2175,533,1465,0,
18,Devils,ALB,Albany,Orr Division,Eastern Conference,0,0,0,711984,670000,3622,79,76,50,False,20,0,X,W1,4,6,0,0,0,0,0,76,41,28,0,1,2,1,3,91,379,293,38,21,13,0,1,1,0,2,187,149,128,27,171,44,5,3508,2129,588,1168,1175,1159,17,169,116,92,4,79326,146673,49168,22943,116587,27896,6,379,635,1014,380,1523,1067,1581,1864,2633,912,1311,1,
19,Sound Tigers,BPT,Bridgeport,Orr Division,Eastern Conference,0,0,0,1552400,1485796,8031,69,76,50,False,23,0,E,L2,0,8,0,1,1,0,0,76,6,65,0,1,2,1,1,19,193,554,38,5,29,0,1,1,1,1,116,257,96,7,35,14,0,2775,5433,1568,896,938,914,31,78,61,52,2,158091,66307,50239,30838,44718,20139,0,193,376,569,71,1559,1006,2795,838,2049,522,1424,1,
20,Wolf Pack,HFD,Hartford,Orr Division,Eastern Conference,0,0,0,1549052,1266333,6845,28,76,50,False,24,0,E,L2,1,7,0,0,1,0,1,76,29,40,0,1,2,2,2,68,291,342,38,17,19,0,0,1,1,0,147,167,100,15,55,10,0,3657,4020,1116,1197,1195,1255,26,128,95,65,6,133278,90026,52017,30384,64822,23670,3,291,534,825,132,1793,1160,3074,1041,2414,523,1345,2,
21,Senators,BNG,Binghamton,Northeast Division,Eastern Conference,0,0,0,1893854,2247444,12148,48,76,50,False,2,0,X,L1,9,1,0,0,0,0,0,76,58,14,0,1,1,1,1,122,479,172,38,30,7,0,0,0,0,1,232,81,162,30,224,47,13,4108,1592,466,1327,1396,1375,17,214,170,93,3,64616,161526,48310,21327,129761,29048,13,479,839,1318,542,1907,1034,1658,2057,3018,891,1300,0,
