Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,PosC,PosLW,PosRW,PosD,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,CK,FG,DI,SK,ST,EN,DU,PH,FO,PA,SC,DF,PS,EX,LD,PO,MO,Overall,ProGP,ProShots,ProG,ProA,ProPoint,ProPlusMinus,ProPim,Pro5Pim,ProShotsBlock,ProOwnShotsBlock,ProOwnShotsMissGoal,ProHits,ProHitsTook,ProGW,ProGT,ProFaceOffWon,ProFaceOffTotal,ProPenalityShotsScore,ProPenalityShotsTotal,ProEmptyNetGoal,ProMinutePlay,ProHatTrick,ProPPG,ProPPA,ProPPShots,ProPPMinutePlay,ProPKG,ProPKA,ProPKShots,ProPKMinutePlay,ProGiveAway,ProTakeAway,ProPuckPossesionTime,ProFightW,ProFightL,ProFightT,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGP,FarmShots,FarmG,FarmA,FarmPoint,FarmPlusMinus,FarmPim,Farm5Pim,FarmShotsBlock,FarmOwnShotsBlock,FarmOwnShotsMissGoal,FarmHits,FarmHitsTook,FarmGW,FarmGT,FarmFaceOffWon,FarmFaceOffTotal,FarmPenalityShotsScore,FarmPenalityShotsTotal,FarmEmptyNetGoal,FarmMinutePlay,FarmHatTrick,FarmPPG,FarmPPA,FarmPPShots,FarmPPMinutePlay,FarmPKG,FarmPKA,FarmPKShots,FarmPKMinutePlay,FarmGiveAway,FarmTakeAway,FarmPuckPossesionTime,FarmFightW,FarmFightL,FarmFightT,FarmStar(1),FarmStar(2),FarmStar(3),GameInRowWithAGoal,GameInRowWithAPoint,GameInRowWithOutAGoal,GameInRowWithOutAPoint,FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
1580,Tom Sestito,http://www.tsn.ca/nhl/player-bio/tom-sestito,24,USA,1987-07-01,228,77,False,False,True,False,1,False,False,False,False,False,True,True,False,0,750000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,67,85,25,60,85,50,51,45,69,53,41,54,39,59,60,1,50,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,339,37,38,75,34,77,25,43,0,0,290,105,4,3,63,79,1,3,0,61361,1,1,0,7,1174,0,0,0,0,0,0,14321,2,1,2,8,4,9,0,4,2,0,0,220,17500,False
2,Kyle Quincey,http://www.tsn.ca/nhl/player-bio/kyle-quincey,10,ONT,1985-07-01,216,74,False,False,False,True,3,False,False,False,False,True,True,True,False,0,2250000,2250000,2250000,0,0,0,0,0,0,0,,65,100,0,3,3,3,3,3,3,3,3,3,3,75,44,78,72,79,74,77,57,25,56,53,84,63,71,74,1,50,69,56,45,5,17,22,11,56,0,73,0,0,90,42,0,0,0,0,0,0,0,66750,0,1,3,25,7449,0,0,0,9322,0,0,5369,0,0,0,1,2,0,0,0,3990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,False
3,Radim Vrbata,http://www.tsn.ca/nhl/player-bio/radim-vrbata,27,CZE,1981-07-01,194,73,False,True,True,False,1,False,False,False,False,False,True,True,False,0,2500000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,67,41,93,83,71,67,88,82,33,79,73,66,80,84,87,1,50,73,82,166,17,26,43,31,4,0,7,0,0,21,85,1,1,43,107,2,4,0,67221,0,3,8,24,10259,0,0,1,1740,0,0,6683,0,0,0,3,0,4,0,0,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,False
4,Luke Schenn,http://www.tsn.ca/nhl/player-bio/luke-schenn,8,SKW,1989-07-01,229,74,False,False,False,True,1,False,False,False,False,False,True,True,False,0,4250000,0,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,98,97,69,75,85,69,82,59,44,57,51,81,25,73,74,1,50,71,82,75,10,22,32,26,170,20,89,0,0,268,75,2,0,0,0,0,0,1,102119,0,2,7,34,17116,0,0,0,13910,0,0,8623,1,1,2,2,2,8,0,0,6290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,False
5,Bryan Bickell,http://www.tsn.ca/nhl/player-bio/bryan-bickell,19,ONT,1986-07-01,223,76,False,True,False,False,2,False,False,False,False,False,True,True,False,0,4000000,4000000,0,0,0,0,0,0,0,0,,38,100,0,3,3,3,3,3,3,3,3,3,3,88,47,97,73,83,50,92,59,45,58,55,54,25,68,72,1,50,61,28,9,0,1,1,-1,8,0,3,0,0,13,14,0,0,42,103,0,0,0,21511,0,0,0,2,2330,0,1,0,4200,0,0,450,0,0,0,0,0,0,0,0,140,23,156,19,16,35,14,12,0,10,0,0,50,62,2,1,85,130,0,0,0,28164,1,0,3,12,1785,0,0,1,2022,0,0,6471,0,0,0,0,1,3,0,0,19,19,0,0,6970,False
6,Joel Ward,http://www.tsn.ca/nhl/player-bio/joel-ward,27,ONT,1980-07-01,226,73,False,True,True,False,2,False,False,False,False,False,True,True,False,0,3750000,3750000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,73,44,89,76,81,67,98,77,69,73,78,79,50,74,77,1,50,73,82,153,17,17,34,18,35,5,12,0,0,58,78,4,3,49,86,0,1,0,62124,0,0,2,8,3207,0,0,2,7756,0,0,6436,0,1,0,2,0,1,0,0,6170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,False
3042,Erik Gustafsson,http://www.tsn.ca/nhl/player-bio/erik-gustafsson,19,SWE,1992-07-01,176,72,False,False,False,True,1,False,False,False,False,False,True,True,False,0,667500,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,69,42,96,76,65,64,56,73,25,69,50,58,25,47,47,1,50,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,Jordan Staal,http://www.tsn.ca/nhl/player-bio/jordan-staal,17,ONT,1988-07-01,220,76,True,False,False,False,1,False,False,False,False,False,True,True,False,0,5750000,0,0,0,0,0,0,0,0,0,,29,100,0,3,3,3,3,3,3,3,3,3,3,73,44,87,76,83,71,81,79,88,77,75,86,25,77,81,1,50,74,76,186,19,27,46,4,16,0,21,0,0,49,176,4,0,834,1414,0,0,1,75819,0,1,3,18,4449,0,0,5,8076,0,0,8783,0,0,0,4,3,4,0,0,7495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,False
9,Jay McClement,http://www.tsn.ca/nhl/player-bio/jay-mcclement,30,ONT,1983-07-01,205,73,True,True,False,False,3,False,False,False,False,True,True,True,False,0,1750000,1750000,1750000,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,75,44,90,74,75,54,97,58,89,60,56,86,60,81,82,1,50,67,82,68,6,8,14,5,14,0,11,0,0,63,98,2,0,473,862,0,0,0,55627,0,0,0,3,310,1,0,6,15270,0,0,3253,0,0,0,1,1,1,0,0,3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,False
10,Jeff Schultz,http://www.tsn.ca/nhl/player-bio/jeff-schultz,8,AB,1986-07-01,230,78,False,False,False,True,1,False,False,False,False,False,True,True,False,0,600000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,91,88,99,68,88,73,80,43,25,53,37,68,35,69,71,1,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
