Name,Number,Team,Country,Age,PH,DF,OF,PD,EX,LD,PO,Contract,Salary
Alain Vigneault,1,Islanders,CAN,52,76,82,94,93,99,84,88,2,3500000
Peter Andersson,2,,SWE,51,34,49,48,65,47,35,46,1,500000
Barry Trotz,4,Red Wings,CAN,51,78,99,96,66,99,80,86,3,5000000
Willie Desjardins,9,Blackhawks,CAN,56,58,63,57,94,71,56,66,2,2500000
Bruce Boudreau,11,Kings,CAN,58,57,90,97,91,90,83,85,2,3000000
Bruce Cassidy,12,Wild,CAN,48,74,82,76,78,68,56,72,2,1200000
Craig Berube,13,IceHogs,CAN,47,43,64,75,65,51,41,57,3,1000000
Claude Julien,15,Capitals,CAN,53,81,86,80,82,98,87,86,2,3000000
Dave Barr,17,,CAN,56,47,46,43,41,45,46,45,1,500000
Curt Fraser,19,,USA,55,47,43,56,57,53,32,48,0,1000000
Brent Thompson,20,,CAN,42,65,55,61,47,54,45,55,0,0
Darryl Sutter,21,Devils,CAN,55,99,91,64,83,99,90,88,3,3000000
Dave Cameron,25,,CAN,54,46,59,56,41,45,57,51,0,2000000
Dean Evason,26,,CAN,49,71,53,65,38,56,48,55,0,0
Dave Tippett,27,,CAN,52,93,58,60,67,99,76,75,0,3000000
Derek Laxdal,28,Wolf Pack,CAN,49,60,38,64,52,53,44,52,1,1000000
Gerry Fleming,30,,CAN,47,36,74,52,79,51,42,56,0,0
Gord Dineen,31,,CAN,51,47,50,60,42,50,41,48,0,800000
Jared Bednar,33,Phantoms,CAN,41,73,55,55,72,65,34,59,2,1000000
John Anderson,35,,CAN,56,43,68,73,68,50,51,59,0,800000
John Hynes,37,Penguins,USA,53,70,63,58,69,68,48,63,2,675000
Jacques Martin,38,,CAN,64,66,56,74,59,81,77,69,1,2650000
Jon Cooper,39,Senators,CAN,34,81,76,79,58,76,68,73,1,1000000
Joel Quenneville,40,Maple Leafs,CAN,55,55,84,87,97,99,99,87,3,3000000
Keith McCambridge,41,,CAN,39,34,30,37,60,47,35,41,0,0
John Torchetti,42,Moose,USA,50,50,46,46,62,48,52,51,1,770000
John Tortorella,43,Panthers,USA,58,67,97,91,85,99,84,87,4,3750000
Ken Hitchcock,44,Jets,CAN,61,65,72,72,68,99,94,78,1,2750000
Marc Crawford,45,,CAN,56,53,53,53,53,81,80,62,0,0
Ray Edwards 3,46,Unknown,CAN,44,73,63,69,62,70,68,85,0,650000
Mike Stothers,48,Senators,CAN,53,74,71,50,61,52,53,60,2,750000
Lindy Ruff,50,Sabres,CAN,53,63,57,75,76,99,83,76,2,3250000
Dallas Eakins,52,,USA,46,65,76,62,59,57,49,61,0,700000
Rick Kowalsky,53,,CAN,41,78,62,53,43,59,45,57,0,0
Michel Therrien,55,Bruins,CAN,50,72,84,68,71,90,70,76,2,3200000
Mike Babcock,56,Flyers,CAN,50,87,67,93,75,99,94,86,2,4000000
Mike Keenan,58,Lightning,CAN,63,71,68,67,69,85,83,85,1,2500000
Mike Sullivan,60,Coyotes,USA,49,88,75,99,79,75,74,82,4,4500000
Craig Berube,61,Unknown,CAN,50,75,68,65,67,68,69,85,0,0
Ryan Huska,62,Penguins,CAN,39,76,68,57,37,52,42,55,2,1100000
Paul Maurice,63,,CAN,46,85,60,90,60,99,69,77,0,2000000
Peter Laviolette,64,Predators,USA,48,69,78,84,73,99,82,81,1,2100000
Randy Carlyle,65,Flames,CAN,57,97,96,73,57,91,78,82,3,3500000
Sylvain Lefebvre,67,,CAN,46,56,49,59,40,56,45,51,0,0
Ted Dent,68,,CAN,43,68,40,35,62,57,45,51,0,0
Ted Nolan,69,Sound Tigers,CAN,59,76,66,64,85,77,73,56,2,600000
Todd Nelson,70,Condors,CAN,44,38,71,75,74,56,58,62,2,600000
Tom Rowe,72,,USA,58,67,66,62,59,65,46,61,0,0
Roy Sommer,73,Icecaps,USA,56,62,77,69,53,74,53,65,1,750000
Travis Green,74,Marlies,CAN,43,36,49,45,68,51,63,52,1,800000
Scott Arniel,75,Americans,CAN,51,57,62,71,70,49,44,59,2,700000
Scott Gordon,76,,USA,54,47,52,79,64,59,50,58,0,825000
Troy Mann,77,,CAN,45,60,56,77,50,53,50,58,0,0
Dave Hakstol,78,Canadiens,USA,48,90,71,70,70,69,57,71,1,1500000
Scott Niedermayer,79,Devils,CAN,44,60,77,65,71,60,73,70,1,725000
Terry Murray,80,,CAN,63,63,53,48,66,45,65,57,0,1800000
Todd Richards,81,Ducks,USA,47,61,57,59,44,45,54,53,1,1500000
Matt Bertani,83,,USA,41,68,46,60,64,45,46,55,1,500000
Pat  Boller,84,,USA,44,34,30,37,60,47,35,41,1,500000
Trent Yawney,85,,CAN,49,73,72,55,43,48,39,55,1,450000
Bob Boughner,86,Barracuda,CAN,46,45,70,54,72,45,46,55,2,1750000
Andrew Brewer,87,,CAN,31,65,50,70,56,45,46,55,1,500000
Brent Sutter,88,Bears,CAN,55,58,50,49,50,46,44,38,1,750000
Kevin Dineen,89,,CAN,50,41,63,65,73,50,46,56,1,1000000
Dan  Bylsma,90,,USA,46,84,71,64,88,83,82,79,1,500000
Matt Carkner,91,,CAN,36,55,47,52,40,48,35,46,1,500000
Guy Boucher,92,Blues,CAN,45,94,85,67,61,73,62,74,2,2000000
Kirk Muller,93,,CAN,47,54,63,51,53,45,49,52,0,900000
Lane Lambert,94,,CAN,50,59,74,72,50,45,46,58,0,800000
Ken Gernander,95,,USA,44,40,35,43,70,64,49,50,0,650000
John Stevens,97,,CAN,47,74,68,48,62,55,57,61,0,650000
Nicholas Carriere,98,,CAN,37,48,42,50,34,47,35,43,1,500000
Mike Yeo,99,Rangers,CAN,40,70,77,77,73,76,64,73,2,2500000
Glen Gulutzan,100,Heat,CAN,43,61,79,75,55,70,60,67,2,700000
Reid Cashman,101,,USA,34,51,48,65,43,47,35,48,1,500000
Peter DeBoer,102,Golden Knights,CAN,45,60,93,72,96,85,64,78,2,2000000
Bill Peters,104,Blue Jackets,CAN,53,64,73,70,99,70,50,71,3,2000000
Chris Chelios,105,Rampage,USA,55,50,46,46,62,45,46,49,3,500000
Todd McLellan,106,Sharks,CAN,46,91,88,88,88,87,74,86,3,3750000
Davis Payne,107,,CAN,43,74,68,48,62,49,57,60,0,1500000
Ryane Clowe,108,,CAN,34,53,47,44,52,45,46,48,1,500000
Dan Bylsma,110,,USA,46,62,71,78,68,61,62,66,1,2000000
