Number,Name,URLLink,Team,Country,AgeDate,Weight,Height,Contract,Rookie,PProtected,NoApplyRerate,AvailableforTrade,NoTrade,CanPlayPro,CanPlayFarm,ForceWaiver,StarPower,Salary1,Salary2,Salary3,Salary4,Salary5,Salary6,Salary7,Salary8,Salary9,Salary10,Injury,NumberOfInjury,Condition,Suspension,Status1,Status2,Status3,Status4,Status5,Status6,Status7,Status8,Status9,Status10,SK,DU,EN,SZ,AG,RB,SC,HS,RT,PH,PS,EX,LD,PO,MO,Overall,ProGP,ProSecPlay,ProW,ProL,ProOTL,ProShutout,ProGA,ProSA,ProSARebound,ProPim,ProA,ProPenalityShotsShots,ProPenalityShotsGoals,ProStartGoaler,ProBackupGoaler,ProEmptyNetGoal,ProStar(1),ProStar(2),ProStar(3),ProStarPower7Days,ProStarPower30Days,ProStarPowerYear,FarmGp,FarmSecPlay,FarmW,FarmL,FarmOTL,FarmShutout,FarmGA,FarmSA,FarmSARebound,FarmPim,FarmA,FarmPenalityShotsShots,FarmPenalityShotsGoals,FarmStartGoaler,FarmBackupGoaler,FarmEmptyNetGoal,FarmStar(1),FarmStar(2),FarmStar(3),FarmStarPower7Days,FarmStarPower30Days,FarmStarPowerYear,ExcludeFromPayroll
2,Ondrej Pavelec,http://www.tsn.ca/nhl/player-bio/ondrej-pavelec,25,CZE,1987-08-30,218,75,3,False,False,False,False,True,True,True,False,0,1500000,1500000,1500000,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,60,59,74,85,63,62,53,63,59,58,95,68,69,61,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
438,Reto Berra,,26,SWI,1992-07-09,210,77,1,False,False,False,False,False,True,True,False,0,1600000,0,0,0,0,0,0,0,0,0,,0,100,0,1,2,2,2,2,2,2,2,2,2,60,63,79,85,60,65,57,65,63,62,30,53,50,50,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
417,David Rittich,http://www.tsn.ca/nhl/player-bio/david-rittich,13,CZE,1992-08-18,202,76,3,True,False,False,False,True,True,True,False,0,1000000,1000000,1000000,0,0,0,0,0,0,0,,0,100,0,0,2,2,2,2,2,2,2,2,2,66,69,86,83,66,74,63,71,72,70,95,44,44,69,50,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
418,Alex Nedeljkovic,http://www.tsn.ca/nhl/player-bio/alex-nedeljkovic,16,USA,1996-01-07,190,71,3,True,False,False,False,False,True,True,False,0,894167,894167,894167,0,0,0,0,0,0,0,,0,100,0,1,2,2,2,2,2,2,2,2,2,51,70,88,68,45,53,50,56,49,49,30,44,44,53,50,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
379,Semyon Varlamov,http://www.tsn.ca/nhl/player-bio/semyon-varlamov,24,RUS,1988-04-26,209,74,2,False,False,False,False,True,True,True,False,0,5900000,5900000,0,0,0,0,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,59,70,70,80,64,54,57,62,63,59,90,67,69,62,50,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,Jonathan Bernier,http://www.tsn.ca/nhl/player-bio/jonathan-bernier,6,QUE,1988-08-07,185,72,3,False,False,False,False,False,True,True,False,0,4200000,4200000,4200000,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,80,70,69,68,83,76,74,78,85,80,65,64,65,78,50,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
8,Curtis McElhinney,http://www.tsn.ca/nhl/player-bio/curtis-mcelhinney,13,ONT,1983-05-22,205,75,1,False,False,False,False,False,True,True,False,0,1950000,0,0,0,0,0,0,0,0,0,,0,100,0,1,1,1,1,1,1,1,1,1,1,78,52,53,81,84,71,66,76,84,78,65,61,62,74,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
9,Kari Lehtonen,http://www.tsn.ca/nhl/player-bio/kari-lehtonen,1,FIN,1983-11-15,210,76,2,False,False,False,False,False,True,True,False,0,2500000,2500000,0,0,0,0,0,0,0,0,,0,100,0,3,3,3,3,3,3,3,3,3,3,76,81,80,85,80,71,53,76,69,75,88,75,76,73,50,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
380,Cam Talbot,http://www.tsn.ca/nhl/player-bio/cam-talbot,10,ONT,1987-07-04,195,75,6,False,False,False,False,True,True,True,False,0,6250000,6250000,6250000,6250000,6250000,6250000,0,0,0,0,,0,100,0,2,2,2,2,2,2,2,2,2,2,88,94,89,79,87,90,71,86,87,88,59,62,63,85,50,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
419,Alex Lyon,http://www.tsn.ca/nhl/player-bio/alex-lyon,0,USA,1992-12-08,201,73,3,True,False,False,False,False,True,True,False,0,600000,600000,600000,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0,0,0,61,68,85,75,61,67,54,64,62,60,30,44,44,62,50,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
