Own by Team,From Team,Year,Round
1,1,2018,1
1,1,2017,1
1,1,2019,1
1,16,2018,4
1,1,2018,2
1,1,2021,1
1,1,2018,3
1,13,2019,7
1,7,2017,1
1,1,2018,4
1,1,2019,2
1,1,2018,5
1,20,2018,1
1,1,2019,3
1,29,2017,2
1,1,2019,4
1,1,2020,1
1,1,2018,6
1,1,2021,2
1,1,2019,5
1,29,2017,3
1,1,2020,2
1,1,2019,6
1,1,2021,3
1,1,2020,3
1,1,2021,4
1,1,2020,4
1,1,2018,7
1,1,2019,7
1,1,2020,5
1,1,2020,6
1,1,2021,5
1,1,2020,7
1,20,2017,2
1,1,2021,6
1,21,2017,4
1,1,2021,7
1,14,2018,4
1,20,2017,3
1,28,2017,4
1,14,2018,5
1,28,2017,1
2,2,2018,1
2,2,2018,2
2,2,2017,1
2,19,2017,4
2,2,2021,1
2,2,2017,4
2,2,2019,1
2,2,2019,2
2,22,2017,4
2,2,2021,2
2,2,2019,3
2,2,2020,1
2,2,2019,4
2,2,2018,3
2,2,2020,2
2,2,2020,3
2,2,2019,5
2,2,2019,6
2,2,2017,5
2,2,2020,4
2,2,2020,5
2,2,2020,6
2,2,2017,6
2,2,2021,3
2,2,2021,4
2,2,2021,5
2,2,2021,6
2,2,2021,7
2,2,2017,7
2,2,2020,7
2,14,2017,4
2,17,2017,5
2,2,2018,4
2,2,2019,7
2,2,2018,5
2,2,2018,6
3,3,2018,1
3,3,2021,1
3,3,2021,2
3,3,2017,3
3,3,2021,3
3,3,2019,1
3,3,2019,2
3,3,2019,3
3,3,2019,4
3,3,2020,1
3,3,2018,2
3,3,2019,5
3,3,2019,6
3,3,2020,2
3,3,2020,3
3,3,2020,4
3,3,2020,5
3,3,2021,4
3,3,2021,5
3,3,2020,6
3,3,2020,7
3,3,2019,7
3,3,2021,6
3,3,2021,7
3,16,2017,6
3,3,2018,3
3,3,2017,6
3,3,2017,7
3,3,2018,4
3,3,2018,5
3,3,2018,6
4,4,2019,1
4,4,2018,1
4,4,2021,1
4,4,2019,2
4,4,2018,3
4,29,2017,7
4,4,2017,2
4,4,2018,5
4,4,2018,6
4,4,2019,3
4,4,2018,7
4,4,2019,4
4,4,2019,5
4,4,2019,6
4,4,2019,7
4,3,2017,5
4,4,2020,1
4,4,2021,2
4,4,2021,3
4,4,2021,4
4,4,2021,5
4,4,2021,6
4,4,2021,7
4,4,2020,2
4,4,2017,3
4,13,2017,7
4,4,2017,6
4,4,2017,7
4,4,2020,3
4,4,2020,4
4,4,2020,5
4,4,2020,6
4,4,2020,7
4,20,2017,6
4,20,2018,7
4,13,2018,5
4,6,2019,7
5,31,2017,4
5,1,2017,2
5,1,2017,3
5,13,2017,5
5,5,2018,1
5,5,2018,3
5,5,2021,1
5,5,2020,1
5,5,2018,4
5,5,2018,5
5,5,2021,2
5,5,2018,6
5,5,2019,1
5,26,2017,2
5,5,2019,2
5,5,2019,3
5,26,2017,5
5,5,2019,4
5,5,2020,2
5,5,2021,3
5,5,2021,4
5,23,2019,7
5,5,2017,1
5,5,2018,7
5,5,2017,2
5,12,2017,2
5,5,2020,3
5,5,2017,4
5,5,2020,4
5,5,2017,5
5,5,2019,5
5,5,2020,5
5,5,2021,5
5,10,2017,3
5,5,2019,6
5,5,2019,7
5,5,2020,6
5,5,2020,7
5,5,2021,6
5,5,2021,7
5,20,2017,1
5,4,2017,1
5,13,2017,4
5,17,2017,6
6,6,2017,1
6,6,2019,1
6,6,2021,1
6,6,2021,2
6,21,2018,5
