Number,Name,Abbre,City,Division,Conference,Captain,Assistant #1,Assistant #2,Payroll,TotalPlayersSalaries,ExpensePerDay,CoachID,ScheduleGameInAYear,Morale,PlayOffEliminated,PowerRanking,PlayOffWinRound,StandingPlayoffTitle,Streak,Last10W,Last10L,Last10T,Last10OTW,Last10OTL,Last10SOW,Last10SOL,GP,W,L,T,OTW,OTL,SOW,SOL,Points,GF,GA,HomeGP,HomeW,HomeL,HomeT,HomeOTW,HomeOTL,HomeSOW,HomeSOL,HomeGF,HomeGA,PPAttemp,PPGoal,PKAttemp,PKGoalGA,PKGoalGF,ShotsFor,ShotsAga,ShotsBlock,ShotsPerPeriod #1,ShotsPerPeriod #2,ShotsPerPeriod #3,ShotsPerPeriod #4,GoalsPerPeriod #1,GoalsPerPeriod #2,GoalsPerPeriod #3,GoalsPerPeriod #4,PuckTimeInZone DF,PuckTimeInZone OF,PuckTimeInZone NT,PuckTimeControlinZone DF,PuckTimeControlinZone OF,PuckTimeControlinZone NT,Shutouts,TotalGoal,TotalAssist,TotalPoint,Pim,Hits,Face Off Won Defensif Zone, Face Off Total Defensif Zone,Face Off Won Offensif Zone,Face Off Total Offensif Zone,Face Off Won Neutral Zone,Face Off Total Neutral Zone,EmptyNetGoal
1,Gulls,SDG,San Diego,Pacific Division,Western Conference,0,0,0,1689791,1871207,9645,167,68,50,False,5,0,X,W8,8,1,0,1,0,0,0,61,48,7,0,2,1,2,1,106,315,86,30,26,2,0,0,1,1,0,160,28,220,45,239,32,4,2169,884,217,707,701,753,20,129,102,80,5,53701,126958,40159,18373,99548,24308,18,315,571,886,572,1182,749,1227,1294,1848,654,974,0,
2,Moose,MAN,Manitoba,Central Division,Western Conference,0,0,0,843985,780333,4022,246,76,50,False,22,0,,L1,1,7,0,1,1,0,0,67,38,25,0,2,2,0,0,82,247,183,34,20,12,0,0,2,0,0,126,89,181,30,180,20,4,2199,2067,571,700,651,841,7,106,70,69,2,98039,98596,44918,24697,73234,22543,4,247,437,684,401,1289,903,1986,930,1815,541,1030,0,
3,Bruins,PRO,Providence,Atlantic,Eastern Conference,3005,2941,2834,626309,926833,4777,231,76,50,False,10,0,X,W3,7,1,0,0,0,2,0,68,40,16,0,1,2,7,2,100,263,151,34,21,9,0,1,1,1,1,135,69,221,54,171,22,1,1927,1694,489,611,613,695,37,111,79,65,12,89737,112469,45764,24758,85254,24136,2,263,434,697,400,1356,858,1843,833,1714,484,1001,0,
4, Americans,ROC,Rochester,Central Division,Western Conference,0,0,0,1230575,1317917,6793,75,76,50,False,7,0,X,W4,8,2,0,0,0,0,0,68,47,15,0,1,1,3,1,104,369,153,35,25,7,0,0,0,2,1,208,89,216,45,318,47,5,2385,1178,345,773,799,806,19,150,116,99,9,69032,132838,44318,21820,103941,25644,9,369,655,1024,756,1468,818,1429,1212,1900,679,1093,0,
5,Heat,STK,Stockton,Pacific Division,Western Conference,0,1168,0,1161036,1370459,7064,100,68,50,False,3,0,,W6,7,1,0,1,1,0,0,61,42,11,0,1,4,0,3,93,366,143,32,22,4,0,1,3,0,2,208,76,227,38,234,44,2,2466,1141,376,844,825,788,17,187,106,72,1,65879,116295,38960,19624,92316,21876,8,366,660,1026,596,1133,853,1335,1275,1832,676,1041,0,
6,Checkers,CHR,Charlotte,Atlantic,Eastern Conference,0,0,0,1566375,1493916,7701,164,76,50,False,6,0,X,W3,8,1,0,0,0,0,1,68,40,22,0,1,1,0,4,87,332,193,34,19,10,0,1,0,0,4,161,80,220,39,266,54,0,2088,1273,346,698,709,677,16,127,120,84,3,69472,131662,44907,21680,102452,25871,10,332,586,918,577,1368,726,1290,1095,1849,623,1124,0,
7,IceHogs,RCK,Rockford,Central Division,Western Conference,0,0,0,961366,981834,5061,13,76,50,False,1,0,Z,W5,8,1,0,1,0,0,0,68,58,5,0,2,1,1,1,124,452,157,34,29,3,0,1,0,1,0,250,82,183,36,221,32,4,3068,1327,393,1012,1025,1026,12,198,151,100,4,64869,140890,40009,19014,115429,23146,10,452,724,1176,528,1253,904,1361,1502,2110,798,1191,0,
8,Eagles,COL,Colorado,Pacific Division,Western Conference,0,0,0,476337,500533,2580,105,68,50,False,25,0,E,OTL1,2,6,0,0,1,0,1,62,4,53,0,1,2,0,2,14,126,419,32,2,27,0,0,1,0,2,71,205,140,13,109,31,2,1332,3241,931,444,395,485,14,56,30,39,2,139237,46724,38247,25530,30862,14366,0,126,247,373,248,942,532,1948,370,1123,306,1047,0,
9,Monsters,CLE,Cleveland,North,Eastern Conference,0,0,0,1526314,1609667,8297,186,76,50,False,2,0,X,W2,9,1,0,0,0,0,0,67,55,10,0,0,1,0,1,112,405,127,33,29,3,0,0,1,0,0,216,48,245,44,198,37,6,2810,1141,310,908,940,960,6,171,135,99,1,64401,135820,41307,20075,109212,24121,15,405,702,1107,476,1169,782,1311,1428,2102,718,1091,1,
10,Stars,TEX,Texas,Central Division,Western Conference,0,0,0,406379,627166,3233,119,76,50,False,16,0,E,W2,6,4,0,0,0,0,0,69,26,37,0,3,1,1,1,62,261,310,34,13,19,0,1,0,1,0,131,146,182,28,178,31,5,2278,2396,673,731,810,726,15,108,91,58,4,103622,101099,44709,24570,76854,22038,4,261,465,726,398,1343,839,1699,991,1777,658,1189,1,
